general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_brake_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.005000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.000000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 42.000000,
start_wall_break_mm_right = 42.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.300000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.000000,
angular_static_ff = 0.000000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
0.0;0.0000;0.0000;0.0061;-0.0252;5;-5;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;296.2;300.0;167.2
0.5;0.0000;0.0000;0.0031;-0.0252;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;296.8;300.0;167.2
1.0;0.0000;0.0000;0.0038;-0.0252;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;296.8;300.0;167.2
1.5;0.0000;0.0000;0.0046;-0.0252;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;296.8;300.0;167.4
2.0;0.0000;0.0000;-0.0038;-0.0252;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.8;300.0;167.4
2.5;0.0000;0.0000;0.0023;-0.0252;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.8;300.0;167.4
3.0;0.0000;0.0000;0.0069;-0.0252;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.8;300.0;167.4
3.5;0.0000;0.0000;0.0015;-0.0252;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;296.8;300.0;167.4
4.0;0.0000;0.0000;0.0008;-0.0252;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;296.2;300.0;167.4
4.5;0.0000;0.0005;0.0000;-0.0252;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.2;300.0;167.4
5.0;0.0000;0.0005;-0.0008;-0.0252;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.2;300.0;167.4
5.5;0.0000;0.0005;0.0023;-0.0252;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.2;300.0;167.4
6.0;0.0005;0.0005;0.0038;-0.0206;1;3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;296.2;300.0;167.4
6.5;0.0005;0.0009;0.0031;-0.0206;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.7
7.0;0.0005;0.0009;-0.0031;-0.0252;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.7
7.5;0.0005;0.0009;-0.0069;-0.0252;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.4
8.0;0.0005;0.0014;-0.0031;-0.0252;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;296.2;300.0;167.4
8.5;0.0009;0.0014;-0.0008;-0.0206;30;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;296.2;300.0;167.4
9.0;0.0009;0.0018;0.0015;-0.0206;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.7
9.5;0.0009;0.0018;0.0023;-0.0252;34;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;295.6;300.0;167.7
10.0;0.0014;0.0023;-0.0046;-0.0252;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;295.6;300.0;167.4
10.5;0.0014;0.0023;-0.0084;-0.0252;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;295.6;300.0;167.4
11.0;0.0014;0.0027;-0.0038;-0.0206;32;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.4
11.5;0.0014;0.0027;-0.0031;-0.0206;34;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.7
12.0;0.0018;0.0032;-0.0023;-0.0252;34;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.7
12.5;0.0018;0.0032;0.0015;-0.0252;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.4
13.0;0.0023;0.0037;0.0061;-0.0206;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.4
13.5;0.0023;0.0037;-0.0008;-0.0252;36;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.2
14.0;0.0023;0.0041;0.0015;-0.0252;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;295.0;300.0;167.4
14.5;0.0027;0.0046;0.0061;-0.0252;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;294.4;300.0;167.2
15.0;0.0027;0.0046;-0.0061;-0.0252;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;293.3;300.0;167.2
15.5;0.0027;0.0050;-0.0053;-0.0206;34;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;293.3;300.0;166.9
16.0;0.0032;0.0055;-0.0122;-0.0252;36;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;293.8;300.0;167.4
16.5;0.0032;0.0055;0.0015;-0.0252;36;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;294.4;300.0;167.2
17.0;0.0037;0.0060;-0.0038;-0.0252;36;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;295.0;300.0;167.4
17.5;0.0037;0.0064;-0.0015;-0.0252;36;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;295.6;300.0;167.2
18.0;0.0041;0.0069;0.0099;-0.0252;36;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;295.0;300.0;167.7
18.5;0.0041;0.0073;0.0084;-0.0206;36;38;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.8;295.6;300.0;167.7
19.0;0.0041;0.0078;0.0206;-0.0252;38;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;296.2;300.0;167.4
19.5;0.0055;0.0078;0.0198;-0.0252;36;36;0.0733;0.0382;0.0000;-0.0109;-0.2439;176.5;296.8;300.0;167.7
20.0;0.0060;0.0082;0.0229;-0.0252;36;36;-0.0049;0.0382;0.0000;-0.0109;-0.2439;176.2;296.8;300.0;167.4
20.5;0.0064;0.0087;0.0031;-0.0252;36;36;-0.0049;0.0382;0.0000;-0.0109;-0.2439;176.5;297.4;300.0;167.7
21.0;0.0069;0.0092;-0.0168;-0.0252;36;36;-0.0049;0.0382;0.0000;-0.0109;-0.2439;176.2;297.4;300.0;167.4
