Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;-0.1379;-0.0000;26;32;-0.1575;0.1383;0.0016;0.0118;0.0001;-0.0002
1;0.0000;0.0238;-0.0517;-0.0000;62;62;-0.0012;0.2771;0.0049;0.0035;0.0001;-0.0002
2;0.0000;0.0348;-0.0517;-0.0000;93;95;-0.0012;0.4155;0.0101;0.0035;0.0001;-0.0002
3;0.0000;0.0476;-0.0517;-0.0000;126;126;-0.0012;0.5543;0.0170;0.0035;0.0001;-0.0002
4;0.0000;0.0586;0.2586;-0.0000;165;153;-0.0061;0.6927;0.0258;-0.0255;-0.0001;-0.0002
5;0.0000;0.0714;0.2586;-0.0000;198;187;-0.0037;0.8315;0.0361;-0.0255;-0.0004;-0.0002
6;0.0000;0.0824;0.2586;-0.0000;236;224;-0.0037;0.9700;0.0482;-0.0255;-0.0006;-0.0002
7;0.0000;0.0952;-0.2586;-0.0000;257;269;0.0012;1.1088;0.0621;0.0233;-0.0004;-0.0002
8;0.0000;0.1062;-0.2586;-0.0000;298;310;0.0012;1.2472;0.0775;0.0233;-0.0001;-0.0002
9;0.0000;0.1190;-0.2586;-0.0000;333;345;0.0012;1.3856;0.0950;0.0233;0.0001;-0.0002
10;0.0000;0.1319;0.1552;-0.0000;388;380;-0.0037;1.5244;0.1137;-0.0160;-0.0001;-0.0002
11;0.0000;0.1429;0.1552;-0.0000;425;419;-0.0037;1.6629;0.1346;-0.0160;-0.0004;-0.0002
12;0.0403;0.1557;0.1552;-0.0000;351;343;-0.0037;1.3183;0.1511;-0.0160;-0.0004;-0.0002
13;0.1136;0.1667;-0.0000;-0.0000;193;193;-0.0012;0.6239;0.1588;-0.0016;-0.0004;-0.0002
14;0.1410;0.1795;-0.0000;-0.0000;150;150;-0.0012;0.4353;0.1643;-0.0016;-0.0004;-0.0002
15;0.1667;0.1905;-0.0000;-0.0000;114;112;-0.0012;0.2749;0.1676;-0.0016;-0.0006;-0.0002
16;0.2106;0.2033;-0.2414;-0.0000;21;32;0.1575;-0.0910;0.1665;0.0214;-0.0004;-0.0002
17;0.2308;0.2143;-0.2414;-0.0000;1;13;0.0012;-0.1734;0.1643;0.0214;-0.0001;-0.0002
18;0.2473;0.2271;-0.2414;-0.0000;-11;1;0.0794;-0.2313;0.1613;0.0214;0.0001;-0.0002
19;0.2473;0.2399;-0.1724;-0.0000;22;32;0.0818;-0.0870;0.1606;0.0148;0.0004;-0.0002
20;0.2216;0.2509;-0.1724;-0.0000;118;128;-0.0672;0.3375;0.1646;0.0155;0.0006;-0.0002
21;0.1886;0.2637;-0.3448;-0.0000;239;255;-0.0549;0.8689;0.1756;0.0324;0.0009;-0.0002
22;0.1777;0.2747;0.2069;-0.0000;326;316;-0.2503;1.1351;0.1895;-0.0201;0.0006;-0.0002
