Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;VelP;VelI;AngP;AngI;RotationFF
0;-0.0000;-0.0000;-0.0000;-0.0000;1;1;0.0097;-0.0002;-0.0004;-0.0001;-0.0002
1;-0.0000;0.0037;-0.0000;-0.0000;3;3;0.0200;0.0002;-0.0004;-0.0001;-0.0002
2;-0.0000;0.0037;-0.0345;-0.0000;5;5;0.0298;0.0005;-0.0001;-0.0001;-0.0002
3;-0.0000;0.0074;-0.0345;-0.0000;7;7;0.0397;0.0009;-0.0001;-0.0001;-0.0002
4;-0.0000;0.0074;-0.0345;-0.0000;11;11;0.0500;0.0016;-0.0001;-0.0001;-0.0002
5;-0.0000;0.0111;-0.0345;-0.0000;13;13;0.0599;0.0024;0.0001;-0.0001;-0.0002
6;-0.0000;0.0111;-0.0345;-0.0000;15;15;0.0698;0.0031;0.0001;-0.0001;-0.0002
7;-0.0000;0.0148;-0.0345;-0.0000;17;17;0.0797;0.0042;0.0001;-0.0001;-0.0002
8;-0.0000;0.0148;-0.0000;-0.0000;19;19;0.0899;0.0053;-0.0001;-0.0001;-0.0002
9;-0.0000;0.0185;-0.0000;-0.0000;21;21;0.0998;0.0064;-0.0001;-0.0001;-0.0002
10;-0.0000;0.0185;-0.0000;-0.0000;24;24;0.1097;0.0079;-0.0001;-0.0001;-0.0002
11;-0.0000;0.0222;-0.0345;-0.0000;26;26;0.1199;0.0093;0.0001;-0.0001;-0.0002
12;-0.0000;0.0259;-0.0345;-0.0000;28;28;0.1298;0.0108;0.0001;-0.0001;-0.0002
13;-0.0000;0.0259;-0.0345;-0.0000;30;30;0.1397;0.0123;0.0001;-0.0001;-0.0002
14;-0.0000;0.0296;-0.0345;-0.0000;34;34;0.1500;0.0141;0.0001;-0.0001;-0.0002
15;-0.0000;0.0296;-0.0345;-0.0000;36;36;0.1599;0.0163;0.0001;-0.0001;-0.0002
16;-0.0000;0.0333;-0.0345;-0.0000;38;38;0.1697;0.0181;0.0001;-0.0001;-0.0002
17;-0.0000;0.0333;-0.0000;-0.0000;40;40;0.1796;0.0203;-0.0004;-0.0001;-0.0002
18;-0.0000;0.0370;-0.0000;-0.0000;44;44;0.1899;0.0225;-0.0004;-0.0001;-0.0002
19;-0.0000;0.0370;-0.0000;-0.0000;48;48;0.1998;0.0251;-0.0006;-0.0001;-0.0002
