Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;-0.0000;-0.0000;26;26;-0.0012;0.1317;0.0013;-0.0006;-0.0001;-0.0002
1;0.0000;0.0238;-0.0000;-0.0000;56;56;-0.0012;0.2639;0.0046;-0.0006;-0.0001;-0.0002
2;0.0000;0.0348;-0.0172;-0.0000;83;83;-0.0012;0.3957;0.0097;0.0006;-0.0001;-0.0002
3;0.0000;0.0476;-0.0172;-0.0000;112;112;-0.0012;0.5279;0.0163;0.0006;-0.0001;-0.0002
4;0.0000;0.0586;-0.0172;-0.0000;142;142;-0.0012;0.6598;0.0244;0.0006;-0.0001;-0.0002
5;0.0000;0.0714;-0.0172;-0.0000;173;173;-0.0012;0.7920;0.0342;0.0004;-0.0001;-0.0002
6;0.0000;0.0824;-0.0172;-0.0000;202;202;-0.0012;0.9238;0.0460;0.0004;-0.0001;-0.0002
7;0.0000;0.0952;-0.0172;-0.0000;236;238;-0.0012;1.0557;0.0591;0.0004;-0.0001;-0.0002
8;0.0000;0.1062;0.0172;-0.0000;269;267;-0.0012;1.1879;0.0738;-0.0031;-0.0001;-0.0002
9;0.0000;0.1190;0.0172;-0.0000;306;306;-0.0012;1.3197;0.0903;-0.0031;-0.0001;-0.0002
10;0.0000;0.1319;0.0172;-0.0000;339;337;-0.0012;1.4519;0.1082;-0.0031;-0.0001;-0.0002
11;0.0403;0.1429;-0.0517;-0.0000;271;273;-0.0012;1.1260;0.1225;0.0045;-0.0001;-0.0002
12;0.0934;0.1557;-0.0517;-0.0000;181;181;-0.0794;0.6711;0.1306;0.0045;-0.0001;-0.0002
13;0.1245;0.1667;-0.0517;-0.0000;138;140;-0.0012;0.4708;0.1364;0.0045;-0.0001;-0.0002
14;0.1502;0.1795;-0.0690;-0.0000;107;107;-0.0012;0.3144;0.1405;0.0052;-0.0001;-0.0002
15;0.1758;0.1905;-0.0690;-0.0000;75;77;-0.0012;0.1738;0.1426;0.0052;0.0001;-0.0002
16;0.1960;0.2033;-0.0690;-0.0000;58;60;-0.0012;0.0881;0.1437;0.0052;0.0001;-0.0002
17;0.2143;0.2143;-0.1207;-0.0000;36;42;0.0012;-0.0013;0.1437;0.0121;0.0001;-0.0002
18;0.2344;0.2271;-0.1207;-0.0000;22;26;0.0794;-0.0731;0.1430;0.0121;0.0004;-0.0002
19;0.2271;0.2399;-0.3276;-0.0000;64;77;0.0110;0.1408;0.1445;0.0336;0.0006;-0.0002
20;0.2106;0.2509;-0.2069;-0.0000;128;138;0.0134;0.4364;0.1500;0.0199;0.0009;-0.0002
21;0.1832;0.2637;-0.4828;-0.0000;222;243;0.0305;0.8879;0.1610;0.0482;0.0011;-0.0002
22;0.1648;0.2747;-0.3448;-0.0000;306;322;0.1013;1.2216;0.1763;0.0348;0.0016;-0.0002
23;0.1868;0.2875;-0.2241;-0.0000;296;306;-0.1429;1.1047;0.1899;0.0219;0.0016;-0.0002
24;0.2179;0.2985;-0.1207;-0.0000;261;267;0.0842;0.8909;0.2012;0.0106;0.0018;-0.0002
25;0.2436;0.3114;-0.4655;-0.0000;220;243;0.1868;0.7473;0.2104;0.0472;0.0021;-0.0002
26;0.2582;0.3223;-1.4310;-0.0000;189;259;0.2527;0.7118;0.2192;0.1456;0.0035;-0.0002
27;0.2674;0.3352;-1.3103;-0.0000;200;267;0.3260;0.7425;0.2287;0.1347;0.0048;-0.0002
28;0.2729;0.3480;-1.3448;-0.0000;222;290;0.2479;0.8246;0.2390;0.1366;0.0057;-0.0002
29;0.2875;0.3590;-1.0345;-0.0000;222;277;0.2283;0.7836;0.2485;0.1063;0.0067;-0.0002
30;0.3168;0.3718;-0.9483;-0.0000;183;236;0.2991;0.5891;0.2558;0.0958;0.0077;-0.0002
31;0.3480;0.3828;-1.5517;-0.0000;120;202;0.4188;0.3814;0.2606;0.1588;0.0089;-0.0002
32;0.3791;0.3956;-1.5345;-0.0000;71;153;0.6532;0.1672;0.2628;0.1569;0.0104;-0.0002
33;0.4084;0.4066;-2.0000;-0.0000;21;124;0.6850;-0.0119;0.2628;0.2047;0.0121;-0.0002
