Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.0690;-0.0000;30;26;-0.2357;0.1383;0.0016;-0.0077;-0.0001;-0.0002
1;0.0000;0.0238;0.0690;-0.0000;60;58;-0.0012;0.2771;0.0049;-0.0077;-0.0004;-0.0002
2;0.0000;0.0348;0.0690;-0.0000;91;87;-0.0012;0.4155;0.0101;-0.0077;-0.0004;-0.0002
3;0.0000;0.0476;-0.2069;-0.0000;114;124;0.0012;0.5543;0.0170;0.0201;-0.0001;-0.0002
4;0.0000;0.0586;-0.2069;-0.0000;148;155;0.0012;0.6927;0.0258;0.0201;0.0001;-0.0002
5;0.0000;0.0714;-0.2069;-0.0000;179;189;0.0012;0.8315;0.0361;0.0201;0.0004;-0.0002
6;0.0000;0.0824;0.1552;-0.0000;220;212;-0.0037;0.9700;0.0482;-0.0175;0.0001;-0.0002
7;0.0000;0.0952;0.1552;-0.0000;253;247;-0.0037;1.1088;0.0621;-0.0175;-0.0001;-0.0002
8;0.0000;0.1062;0.1552;-0.0000;286;281;-0.0037;1.2472;0.0775;-0.0175;-0.0004;-0.0002
9;0.0000;0.1190;0.0345;-0.0000;324;324;-0.0012;1.3856;0.0950;-0.0040;-0.0004;-0.0002
10;0.0201;0.1319;0.0345;-0.0000;306;306;0.0769;1.2842;0.1108;-0.0040;-0.0004;-0.0002
11;0.0586;0.1429;0.0345;-0.0000;245;245;-0.0012;0.9762;0.1229;-0.0040;-0.0004;-0.0002
12;0.0897;0.1557;-0.0862;-0.0000;198;202;-0.0794;0.7550;0.1324;0.0072;-0.0004;-0.0002
13;0.1209;0.1667;-0.0862;-0.0000;150;155;-0.0012;0.5279;0.1390;0.0072;-0.0001;-0.0002
14;0.1465;0.1795;0.2931;-0.0000;126;114;-0.0061;0.3668;0.1437;-0.0309;-0.0006;-0.0002
15;0.1722;0.1905;0.2931;-0.0000;93;79;-0.0061;0.2108;0.1463;-0.0309;-0.0009;-0.0002
16;0.1941;0.2033;0.2931;-0.0000;69;56;-0.0061;0.0983;0.1474;-0.0309;-0.0011;-0.0002
17;0.2143;0.2143;0.2931;-0.0000;48;34;0.0720;-0.0005;0.1474;-0.0306;-0.0013;-0.0002
18;0.2344;0.2271;0.2931;-0.0000;30;17;-0.0842;-0.0833;0.1463;-0.0306;-0.0018;-0.0002
19;0.2271;0.2399;0.2586;-0.0000;77;65;0.0672;0.1397;0.1481;-0.0277;-0.0021;-0.0002
20;0.2125;0.2509;0.4655;-0.0000;150;128;-0.0354;0.4510;0.1536;-0.0494;-0.0026;-0.0002
21;0.1905;0.2637;-0.3793;-0.0000;216;234;0.1038;0.8356;0.1643;0.0382;-0.0021;-0.0002
22;0.1722;0.2747;-0.7586;-0.0000;294;329;0.1282;1.1956;0.1793;0.0768;-0.0013;-0.0002
23;0.1886;0.2875;-0.4828;-0.0000;300;324;-0.0452;1.1264;0.1932;0.0487;-0.0009;-0.0002
24;0.2088;0.2985;-0.7586;-0.0000;279;316;0.0525;1.0326;0.2060;0.0773;-0.0001;-0.0002
25;0.2363;0.3114;-0.2759;-0.0000;257;273;0.2527;0.8718;0.2170;0.0280;0.0001;-0.0002
26;0.2509;0.3223;-1.1207;-0.0000;230;286;0.2332;0.8319;0.2272;0.1139;0.0013;-0.0002
27;0.2692;0.3352;-2.0517;-0.0000;193;298;0.5336;0.7649;0.2368;0.2108;0.0033;-0.0002
28;0.2875;0.3480;-1.8793;-0.0000;179;275;0.4432;0.6799;0.2452;0.1923;0.0052;-0.0002
29;0.3187;0.3590;-1.8103;-0.0000;132;226;0.5140;0.4646;0.2511;0.1862;0.0070;-0.0002
30;0.3535;0.3718;-1.7931;-0.0000;71;167;0.5140;0.2042;0.2536;0.1832;0.0087;-0.0002
31;0.3846;0.3828;-1.8276;-0.0000;21;118;0.6752;-0.0159;0.2536;0.1876;0.0106;-0.0002
32;0.4048;0.3956;-1.7241;-0.0000;1;95;0.6679;-0.1101;0.2522;0.1769;0.0123;-0.0002
33;0.4139;0.4066;-1.8793;-0.0000;1;103;0.6777;-0.0881;0.2511;0.1920;0.0143;-0.0002
34;0.4194;0.4194;-1.1724;-0.0000;34;105;0.3944;-0.0108;0.2507;0.1200;0.0153;-0.0002
35;0.4139;0.4304;-0.7759;-0.0000;89;142;0.2869;0.2053;0.2533;0.0790;0.0160;-0.0002
36;0.3993;0.4432;1.4138;-0.0000;206;159;-0.1795;0.5063;0.2598;-0.1459;0.0148;-0.0002
37;0.3993;0.4542;3.0000;-0.0000;283;159;-0.3675;0.6546;0.2679;-0.3100;0.0116;-0.0002
38;0.4048;0.4670;2.5690;-0.0000;292;185;-0.4164;0.7140;0.2767;-0.2660;0.0092;-0.0002
39;0.4304;0.4799;2.5517;-0.0000;263;153;-0.2576;0.5554;0.2836;-0.2631;0.0065;-0.0002
40;0.4505;0.4908;0.7414;-0.0000;204;179;0.0256;0.4660;0.2895;-0.0765;0.0057;-0.0002
41;0.4524;0.5037;-0.5517;-0.0000;202;236;0.0379;0.5843;0.2968;0.0560;0.0065;-0.0002
42;0.4579;0.5147;-1.0172;-0.0000;212;269;0.3040;0.6656;0.3053;0.1041;0.0074;-0.0002
43;0.4670;0.5275;-1.1379;-0.0000;220;281;0.0769;0.6935;0.3137;0.1166;0.0084;-0.0002
44;0.4872;0.5385;-0.6207;-0.0000;214;253;0.1209;0.6059;0.3214;0.0631;0.0092;-0.0002
45;0.5128;0.5513;-0.1897;-0.0000;193;210;0.0891;0.4474;0.3269;0.0184;0.0094;-0.0002
46;0.5385;0.5623;-0.3621;-0.0000;150;177;0.1013;0.2771;0.3305;0.0360;0.0096;-0.0002
47;0.5659;0.5751;-0.5345;-0.0000;105;140;0.2723;0.1020;0.3316;0.0548;0.0101;-0.0002
48;0.5842;0.5879;-1.0517;-0.0000;77;138;0.3065;0.0390;0.3320;0.1073;0.0111;-0.0002
49;0.6007;0.5989;-1.1207;-0.0000;64;124;0.3114;-0.0189;0.3320;0.1151;0.0123;-0.0002
50;0.6154;0.6117;-1.0517;-0.0000;60;118;0.3065;-0.0430;0.3313;0.1066;0.0133;-0.0002
51;0.6154;0.6227;-0.7759;-0.0000;93;140;0.2088;0.0826;0.3324;0.0787;0.0140;-0.0002
52;0.6245;0.6355;-0.2414;-0.0000;114;138;0.1722;0.1221;0.3338;0.0236;0.0143;-0.0002
53;0.6355;0.6465;0.4138;-0.0000;132;124;0.0476;0.1262;0.3357;-0.0441;0.0140;-0.0002
54;0.6429;0.6593;0.6379;-0.0000;152;134;-0.1258;0.1859;0.3379;-0.0673;0.0133;-0.0002
55;0.6538;0.6703;1.1034;-0.0000;167;128;-0.1575;0.2089;0.3404;-0.1156;0.0121;-0.0002
56;0.6648;0.6832;1.1207;-0.0000;171;128;-0.2381;0.2133;0.3430;-0.1168;0.0111;-0.0002
57;0.6740;0.6960;0.3621;-0.0000;163;155;0.0501;0.2481;0.3463;-0.0380;0.0106;-0.0002
58;0.6850;0.7070;0.0862;-0.0000;161;165;-0.0085;0.2606;0.3496;-0.0101;0.0106;-0.0002
59;0.6941;0.7198;-0.4828;-0.0000;155;185;0.0330;0.2855;0.3529;0.0487;0.0111;-0.0002
