Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.1034;-0.0000;30;26;0.0769;0.1383;0.0016;-0.0114;-0.0001;-0.0002
1;0.0000;0.0238;0.1034;-0.0000;62;56;-0.0037;0.2771;0.0049;-0.0114;-0.0004;-0.0002
2;0.0000;0.0348;0.1034;-0.0000;93;87;-0.0037;0.4155;0.0101;-0.0114;-0.0004;-0.0002
3;0.0000;0.0476;-0.1034;-0.0000;118;122;0.0012;0.5543;0.0170;0.0089;-0.0004;-0.0002
4;0.0000;0.0586;-0.1034;-0.0000;152;153;0.0012;0.6927;0.0258;0.0089;-0.0004;-0.0002
5;0.0000;0.0714;-0.1034;-0.0000;183;187;0.0012;0.8315;0.0361;0.0089;-0.0001;-0.0002
6;0.0000;0.0824;-0.0345;-0.0000;218;220;-0.0012;0.9700;0.0482;0.0021;-0.0001;-0.0002
7;0.0000;0.0952;-0.0345;-0.0000;251;251;-0.0012;1.1088;0.0621;0.0021;-0.0001;-0.0002
8;0.0201;0.1062;-0.0345;-0.0000;236;239;0.0769;1.0106;0.0745;0.0021;-0.0001;-0.0002
9;0.0385;0.1190;0.1379;-0.0000;226;224;-0.0037;0.9363;0.0862;-0.0133;-0.0004;-0.0002
10;0.0549;0.1319;0.1379;-0.0000;220;220;0.0745;0.8846;0.0972;-0.0133;-0.0004;-0.0002
11;0.0897;0.1429;0.1379;-0.0000;163;161;-0.0818;0.6166;0.1049;-0.0133;-0.0006;-0.0002
12;0.1209;0.1557;-0.1379;-0.0000;110;120;0.0794;0.3917;0.1101;0.0121;-0.0004;-0.0002
13;0.1465;0.1667;-0.1379;-0.0000;77;87;-0.0769;0.2305;0.1126;0.0121;-0.0004;-0.0002
14;0.1703;0.1795;-0.1379;-0.0000;50;58;-0.0769;0.0950;0.1141;0.0121;-0.0001;-0.0002
15;0.1941;0.1905;0.3276;-0.0000;30;19;-0.0061;-0.0364;0.1133;-0.0314;-0.0004;-0.0002
16;0.2143;0.2033;0.3276;-0.0000;9;-3;-0.0061;-0.1383;0.1119;-0.0314;-0.0009;-0.0002
17;0.2326;0.2143;0.3276;-0.0000;-3;-15;-0.0061;-0.1950;0.1093;-0.0314;-0.0011;-0.0002
18;0.2491;0.2271;0.3793;-0.0000;-17;-30;-0.0061;-0.2584;0.1060;-0.0363;-0.0016;-0.0002
19;0.2399;0.2399;0.3448;-0.0000;36;22;-0.0916;-0.0126;0.1060;-0.0331;-0.0018;-0.0002
20;0.2234;0.2509;0.5345;-0.0000;110;89;-0.0403;0.3140;0.1101;-0.0519;-0.0023;-0.0002
21;0.1941;0.2637;-0.2586;-0.0000;202;214;0.0159;0.8026;0.1199;0.0233;-0.0021;-0.0002
22;0.1667;0.2747;-0.5345;-0.0000;306;327;0.0354;1.2564;0.1357;0.0504;-0.0016;-0.0002
23;0.1886;0.2875;-0.0862;-0.0000;300;304;0.0037;1.1362;0.1496;0.0072;-0.0016;-0.0002
24;0.2161;0.2985;-0.4483;-0.0000;257;279;0.0305;0.9531;0.1617;0.0421;-0.0011;-0.0002
25;0.2308;0.3114;-0.0690;-0.0000;269;271;0.0818;0.9363;0.1734;0.0050;-0.0011;-0.0002
26;0.2308;0.3223;-0.5345;-0.0000;294;320;0.1917;1.0736;0.1866;0.0504;-0.0006;-0.0002
27;0.2271;0.3352;-1.0862;-0.0000;327;378;0.1526;1.2538;0.2023;0.1024;0.0006;-0.0002
28;0.2399;0.3480;-0.6034;-0.0000;343;374;0.1184;1.2428;0.2177;0.0558;0.0011;-0.0002
29;0.2656;0.3590;-1.0690;-0.0000;300;353;0.1502;1.0710;0.2313;0.1002;0.0021;-0.0002
30;0.3059;0.3718;-1.3621;-0.0000;218;284;0.4066;0.7502;0.2404;0.1290;0.0035;-0.0002
31;0.3535;0.3828;-1.9138;-0.0000;109;200;0.4457;0.3452;0.2448;0.1806;0.0055;-0.0002
32;0.4048;0.3956;-2.6034;-0.0000;-13;110;0.8046;-0.1060;0.2434;0.2457;0.0079;-0.0002
33;0.4341;0.4066;-2.9828;-0.0000;-67;71;0.8339;-0.3144;0.2397;0.2824;0.0111;-0.0002
34;0.4542;0.4194;-2.9483;-0.0000;-87;54;0.9878;-0.3961;0.2346;0.2792;0.0140;-0.0002
35;0.4634;0.4304;-2.9483;-0.0000;-81;62;0.8315;-0.3639;0.2302;0.2794;0.0170;-0.0002
36;0.4469;0.4432;-2.2414;-0.0000;1;114;0.7021;-0.0522;0.2294;0.2125;0.0192;-0.0002
37;0.4341;0.4542;-0.3103;-0.0000;105;140;0.1770;0.2430;0.2324;0.0289;0.0194;-0.0002
38;0.4249;0.4670;2.2069;-0.0000;212;138;-0.3919;0.4778;0.2386;-0.2113;0.0172;-0.0002
39;0.4267;0.4799;3.5000;-0.0000;277;142;-0.6386;0.6118;0.2463;-0.3339;0.0138;-0.0002
40;0.4451;0.4908;3.5690;-0.0000;269;124;-0.5702;0.5352;0.2529;-0.3407;0.0101;-0.0002
41;0.4597;0.5037;1.8621;-0.0000;228;155;-0.2088;0.5023;0.2591;-0.1774;0.0082;-0.0002
42;0.4615;0.5147;-0.2241;-0.0000;212;232;0.2479;0.6261;0.2668;0.0209;0.0084;-0.0002
43;0.4615;0.5275;-1.5172;-0.0000;218;294;0.4188;0.7557;0.2763;0.1439;0.0099;-0.0002
44;0.4615;0.5385;-1.3103;-0.0000;257;327;0.2479;0.8865;0.2873;0.1242;0.0114;-0.0002
45;0.4817;0.5513;-0.6034;-0.0000;257;296;0.1184;0.7938;0.2972;0.0570;0.0118;-0.0002
46;0.5037;0.5623;-0.0690;-0.0000;245;261;0.0037;0.6755;0.3056;0.0052;0.0121;-0.0002
47;0.5403;0.5751;0.8966;-0.0000;206;177;-0.2210;0.4041;0.3107;-0.0858;0.0111;-0.0002
48;0.5604;0.5879;0.2414;-0.0000;171;167;-0.0965;0.3093;0.3144;-0.0243;0.0109;-0.0002
49;0.5696;0.5989;-0.4483;-0.0000;161;189;0.0305;0.3357;0.3188;0.0424;0.0114;-0.0002
50;0.5806;0.6117;-0.7759;-0.0000;159;200;0.2088;0.3591;0.3232;0.0731;0.0121;-0.0002
51;0.5971;0.6227;-1.2586;-0.0000;140;200;0.1648;0.3086;0.3272;0.1183;0.0133;-0.0002
52;0.6154;0.6355;-0.9655;-0.0000;130;179;0.0647;0.2346;0.3302;0.0900;0.0143;-0.0002
53;0.6282;0.6465;-0.5172;-0.0000;138;169;0.0354;0.2258;0.3327;0.0490;0.0148;-0.0002
54;0.6429;0.6593;-0.4138;-0.0000;134;159;0.0281;0.1910;0.3353;0.0382;0.0153;-0.0002
55;0.6520;0.6703;0.2931;-0.0000;155;150;-0.2576;0.2163;0.3379;-0.0289;0.0148;-0.0002
56;0.6575;0.6832;-0.0862;-0.0000;165;175;0.0037;0.2902;0.3415;0.0065;0.0150;-0.0002
57;0.6740;0.6960;-0.4828;-0.0000;148;175;-0.0452;0.2401;0.3444;0.0448;0.0155;-0.0002
58;0.6923;0.7070;-0.3103;-0.0000;134;155;0.0208;0.1646;0.3466;0.0284;0.0157;-0.0002
59;0.7051;0.7198;-0.5172;-0.0000;130;159;-0.0427;0.1632;0.3485;0.0490;0.0162;-0.0002
60;0.7088;0.7308;-0.0172;-0.0000;161;169;-0.0794;0.2518;0.3518;0.0011;0.0162;-0.0002
61;0.7198;0.7436;0.2414;-0.0000;171;167;-0.0965;0.2639;0.3551;-0.0240;0.0160;-0.0002
62;0.7381;0.7546;-0.1034;-0.0000;152;161;-0.0720;0.1950;0.3576;0.0084;0.0160;-0.0002
63;0.7546;0.7674;-0.0000;-0.0000;146;152;-0.0794;0.1544;0.3595;-0.0011;0.0160;-0.0002
64;0.7656;0.7784;-0.0345;-0.0000;148;153;0.0012;0.1646;0.3613;0.0021;0.0160;-0.0002
65;0.7784;0.7912;-0.1552;-0.0000;142;153;0.0867;0.1474;0.3635;0.0131;0.0162;-0.0002
66;0.7949;0.8022;-0.0690;-0.0000;134;144;0.0037;0.1005;0.3646;0.0055;0.0162;-0.0002
67;0.8040;0.8150;-0.2414;-0.0000;136;152;0.0159;0.1196;0.3661;0.0228;0.0165;-0.0002
68;0.8132;0.8278;-0.2759;-0.0000;144;161;0.0183;0.1650;0.3682;0.0250;0.0167;-0.0002
69;0.8223;0.8388;-0.3448;-0.0000;152;175;0.0232;0.2034;0.3708;0.0326;0.0172;-0.0002
70;0.8388;0.8516;-0.5517;-0.0000;136;167;0.1136;0.1426;0.3723;0.0514;0.0177;-0.0002
71;0.8516;0.8626;-0.0345;-0.0000;144;152;0.0012;0.1229;0.3741;0.0016;0.0177;-0.0002
72;0.8608;0.8755;-0.2241;-0.0000;148;165;0.0134;0.1628;0.3759;0.0209;0.0179;-0.0002
73;0.8645;0.8864;-0.1724;-0.0000;171;187;0.0891;0.2565;0.3792;0.0148;0.0179;-0.0002
74;0.8755;0.8993;0.0172;-0.0000;181;189;0.0745;0.2701;0.3825;-0.0026;0.0179;-0.0002
75;0.8901;0.9103;-0.4138;-0.0000;167;193;0.0281;0.2430;0.3855;0.0385;0.0184;-0.0002
76;0.9029;0.9231;-0.3276;-0.0000;169;191;0.0208;0.2360;0.3884;0.0302;0.0187;-0.0002
77;0.9121;0.9359;-0.3448;-0.0000;177;198;0.0232;0.2620;0.3917;0.0314;0.0192;-0.0002
78;0.9194;0.9469;-0.5000;-0.0000;185;214;-0.0452;0.3100;0.3957;0.0460;0.0197;-0.0002
79;0.9341;0.9597;-0.1724;-0.0000;189;204;0.0891;0.2913;0.3994;0.0150;0.0197;-0.0002
80;0.9469;0.9707;-0.4138;-0.0000;185;210;0.1062;0.2862;0.4030;0.0380;0.0201;-0.0002
81;0.9615;0.9835;-0.2414;-0.0000;181;202;0.1722;0.2536;0.4060;0.0223;0.0204;-0.0002
82;0.9780;0.9945;-0.0345;-0.0000;175;187;0.0794;0.2023;0.4085;0.0026;0.0204;-0.0002
83;0.9927;1.0073;-0.1724;-0.0000;163;183;0.0891;0.1635;0.4107;0.0155;0.0206;-0.0002
84;1.0073;1.0183;-0.2586;-0.0000;155;179;0.0940;0.1291;0.4122;0.0238;0.0209;-0.0002
85;1.0165;1.0311;-0.2241;-0.0000;165;187;0.0134;0.1668;0.4144;0.0204;0.0211;-0.0002
86;1.0238;1.0440;-0.2759;-0.0000;177;198;0.0965;0.2192;0.4170;0.0250;0.0214;-0.0002
87;1.0385;1.0549;-0.3621;-0.0000;169;196;0.0232;0.1892;0.4195;0.0341;0.0216;-0.0002
88;1.0513;1.0678;-0.1552;-0.0000;171;191;0.1673;0.1771;0.4217;0.0145;0.0219;-0.0002
89;1.0568;1.0788;-0.3966;-0.0000;185;214;0.1819;0.2562;0.4246;0.0372;0.0221;-0.0002
90;1.0678;1.0916;-0.0690;-0.0000;195;210;0.0037;0.2613;0.4279;0.0052;0.0223;-0.0002
91;1.0769;1.1026;0.1897;-0.0000;212;214;-0.0159;0.2983;0.4320;-0.0197;0.0221;-0.0002
92;1.0916;1.1154;-0.1552;-0.0000;196;216;0.0867;0.2631;0.4349;0.0140;0.0221;-0.0002
93;1.1007;1.1264;0.0690;-0.0000;214;224;-0.0061;0.3089;0.4389;-0.0074;0.0221;-0.0002
94;1.1081;1.1392;-0.1552;-0.0000;224;241;-0.0696;0.3628;0.4433;0.0145;0.0223;-0.0002
95;1.1209;1.1502;-0.5172;-0.0000;212;247;0.0354;0.3404;0.4477;0.0482;0.0228;-0.0002
96;1.1374;1.1630;-0.1724;-0.0000;214;234;0.0891;0.3067;0.4514;0.0150;0.0228;-0.0002
97;1.1520;1.1758;-0.4828;-0.0000;200;234;0.1111;0.2679;0.4550;0.0448;0.0233;-0.0002
98;1.1685;1.1868;-0.2759;-0.0000;195;220;0.0965;0.2229;0.4576;0.0255;0.0238;-0.0002
99;1.1795;1.1996;-0.3621;-0.0000;193;222;0.1013;0.2174;0.4605;0.0333;0.0240;-0.0002
100;1.1905;1.2106;-0.3103;-0.0000;196;224;0.0208;0.2324;0.4631;0.0289;0.0243;-0.0002
101;1.1996;1.2234;-0.1207;-0.0000;210;230;0.0842;0.2624;0.4664;0.0101;0.0245;-0.0002
102;1.2161;1.2344;-0.0000;-0.0000;202;216;0.0769;0.2104;0.4693;-0.0004;0.0245;-0.0002
103;1.2289;1.2473;0.1207;-0.0000;204;212;-0.0110;0.2086;0.4719;-0.0128;0.0243;-0.0002
104;1.2399;1.2582;-0.1379;-0.0000;206;226;0.0085;0.2302;0.4748;0.0123;0.0245;-0.0002
105;1.2491;1.2711;0.0345;-0.0000;214;226;0.0745;0.2492;0.4778;-0.0048;0.0243;-0.0002
106;1.2601;1.2839;-0.2586;-0.0000;214;239;0.0940;0.2708;0.4810;0.0243;0.0248;-0.0002
107;1.2674;1.2949;-0.0345;-0.0000;234;249;0.0012;0.3247;0.4851;0.0028;0.0248;-0.0002
108;1.2766;1.3077;-0.0690;-0.0000;239;257;0.1600;0.3463;0.4895;0.0057;0.0248;-0.0002
109;1.2894;1.3187;-0.2586;-0.0000;236;261;0.0159;0.3379;0.4939;0.0231;0.0250;-0.0002
110;1.3059;1.3315;0.1379;-0.0000;238;245;-0.0110;0.2924;0.4975;-0.0145;0.0248;-0.0002
111;1.3187;1.3425;-0.2241;-0.0000;226;249;0.0916;0.2719;0.5008;0.0209;0.0250;-0.0002
112;1.3278;1.3553;0.0690;-0.0000;241;251;0.0720;0.3056;0.5045;-0.0072;0.0250;-0.0002
113;1.3407;1.3663;0.3448;-0.0000;249;247;0.0525;0.3082;0.5085;-0.0336;0.0245;-0.0002
114;1.3516;1.3791;0.1207;-0.0000;249;257;-0.0110;0.3228;0.5125;-0.0118;0.0245;-0.0002
115;1.3700;1.3919;0.4828;-0.0000;241;234;-0.0354;0.2478;0.5155;-0.0470;0.0240;-0.0002
116;1.3883;1.4029;0.0345;-0.0000;212;224;-0.0037;0.1602;0.5177;-0.0048;0.0240;-0.0002
117;1.4011;1.4158;-0.1897;-0.0000;206;228;0.0891;0.1580;0.5195;0.0175;0.0240;-0.0002
118;1.4139;1.4267;0.0517;-0.0000;212;222;-0.0842;0.1544;0.5213;-0.0062;0.0240;-0.0002
119;1.4249;1.4396;-0.0862;-0.0000;212;228;-0.0745;0.1613;0.5235;0.0079;0.0243;-0.0002
120;1.4396;1.4505;-0.0345;-0.0000;208;222;0.0794;0.1397;0.5254;0.0031;0.0243;-0.0002
121;1.4469;1.4634;-0.0345;-0.0000;220;232;-0.2357;0.1793;0.5276;0.0016;0.0243;-0.0002
122;1.4707;1.4744;-0.2414;-0.0000;189;210;0.0940;0.0559;0.5283;0.0223;0.0245;-0.0002
123;1.4908;1.4872;-0.2759;-0.0000;165;187;-0.0623;-0.0489;0.5276;0.0245;0.0248;-0.0002
124;1.5055;1.4982;-0.0000;-0.0000;161;171;-0.1575;-0.0826;0.5265;-0.0001;0.0248;-0.0002
125;1.5128;1.5000;-0.0517;-0.0000;144;155;-0.0769;-0.1580;0.5246;0.0040;0.0248;-0.0002
126;1.5183;1.5000;0.0517;-0.0000;132;138;-0.0061;-0.2170;0.5217;-0.0065;0.0248;-0.0002
127;1.5220;1.5000;0.1379;-0.0000;120;124;-0.0110;-0.2683;0.5184;-0.0138;0.0245;-0.0002
128;1.5330;1.5000;-0.1034;-0.0000;87;101;0.0061;-0.3968;0.5136;0.0092;0.0245;-0.0002
129;1.5385;1.5000;0.1724;-0.0000;75;79;0.0647;-0.4587;0.5078;-0.0179;0.0245;-0.0002
130;1.5421;1.5000;0.0517;-0.0000;65;73;-0.0061;-0.4895;0.5016;-0.0065;0.0243;-0.0002
131;1.5385;1.5000;-0.0517;-0.0000;67;81;0.1551;-0.4561;0.4961;0.0045;0.0245;-0.0002
132;1.5403;1.5000;0.4483;-0.0000;71;64;0.1233;-0.4836;0.4898;-0.0436;0.0240;-0.0002
133;1.5275;1.5000;0.1034;-0.0000;97;103;-0.0085;-0.3291;0.4858;-0.0106;0.0238;-0.0002
