Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.1034;-0.0000;109;105;-0.0794;0.0720;0.0009;-0.0101;-0.0001;0.4223
1;0.0000;0.0238;0.1034;-0.0000;126;120;-0.0037;0.1437;0.0035;-0.0101;-0.0004;0.4242
2;0.0000;0.0348;-0.2241;-0.0000;136;146;0.0012;0.2159;0.0071;0.0211;-0.0001;0.4272
3;0.0000;0.0476;-0.2241;-0.0000;155;163;0.0012;0.2877;0.0119;0.0211;0.0001;0.4291
4;0.0000;0.0586;-0.2241;-0.0000;173;183;0.0012;0.3598;0.0178;0.0211;0.0004;0.4311
5;0.0000;0.0714;0.1724;-0.0000;198;193;-0.0037;0.4320;0.0251;-0.0167;0.0001;0.4340
6;0.0000;0.0824;0.1724;-0.0000;220;212;-0.0037;0.5038;0.0335;-0.0167;-0.0001;0.4360
7;0.0000;0.0952;0.1724;-0.0000;239;232;-0.0037;0.5759;0.0430;-0.0167;-0.0001;0.4389
8;0.0000;0.1062;-0.0345;-0.0000;257;257;-0.0012;0.6477;0.0537;0.0026;-0.0001;0.4409
9;0.0000;0.1190;-0.0345;-0.0000;277;279;-0.0012;0.7198;0.0657;0.0026;-0.0001;0.4438
10;0.0366;0.1319;-0.0345;-0.0000;249;251;-0.0012;0.5616;0.0753;0.0026;-0.0001;0.4457
11;0.0733;0.1429;-0.0862;-0.0000;218;222;-0.0012;0.4148;0.0822;0.0077;-0.0001;0.4487
12;0.1062;0.1557;-0.0862;-0.0000;193;196;-0.0012;0.2910;0.0870;0.0077;0.0001;0.4506
13;0.1337;0.1667;-0.0862;-0.0000;177;181;-0.0012;0.1983;0.0903;0.0077;0.0001;0.4536
14;0.1593;0.1795;0.2931;-0.0000;167;153;-0.0061;0.1166;0.0921;-0.0284;-0.0001;0.4555
15;0.1850;0.1905;0.2931;-0.0000;152;138;-0.0842;0.0419;0.0928;-0.0284;-0.0004;0.4575
16;0.2070;0.2033;0.2931;-0.0000;140;124;-0.0061;-0.0196;0.0925;-0.0284;-0.0009;0.4604
17;0.2234;0.2143;-0.1724;-0.0000;122;128;0.0794;-0.0500;0.0917;0.0150;-0.0006;0.4624
18;0.2418;0.2271;-0.1724;-0.0000;114;122;0.0012;-0.0866;0.0903;0.0150;-0.0004;0.4653
19;0.2344;0.2399;-0.0345;-0.0000;144;144;-0.0012;0.0258;0.0906;0.0016;-0.0004;0.4673
20;0.2198;0.2509;-0.7414;-0.0000;165;198;0.0501;0.1925;0.0939;0.0697;0.0004;0.4702
21;0.2088;0.2637;-0.1724;-0.0000;212;218;-0.0672;0.3261;0.0994;0.0155;0.0004;0.4721
22;0.2106;0.2747;-0.4138;-0.0000;224;241;0.0281;0.3829;0.1057;0.0380;0.0009;0.4751
23;0.2088;0.2875;-0.5172;-0.0000;245;269;0.1136;0.4649;0.1137;0.0480;0.0013;0.4770
24;0.2088;0.2985;-0.1724;-0.0000;279;286;-0.0672;0.5459;0.1225;0.0153;0.0016;0.4800
25;0.2179;0.3114;-0.6379;-0.0000;277;306;0.0427;0.5554;0.1320;0.0590;0.0021;0.4819
26;0.2234;0.3223;-0.6897;-0.0000;290;324;-0.0305;0.5964;0.1419;0.0643;0.0028;0.4839
27;0.2326;0.3352;0.0172;-0.0000;318;318;0.0745;0.6133;0.1522;-0.0021;0.0028;0.4868
28;0.2399;0.3480;-0.5172;-0.0000;316;341;0.0354;0.6378;0.1628;0.0482;0.0033;0.4888
29;0.2564;0.3590;-0.1897;-0.0000;324;333;0.0110;0.6202;0.1730;0.0179;0.0035;0.4917
30;0.2692;0.3718;-0.0345;-0.0000;331;333;0.0012;0.6114;0.1833;0.0023;0.0035;0.4936
31;0.2930;0.3828;-0.3448;-0.0000;312;329;0.0232;0.5433;0.1925;0.0314;0.0038;0.4966
32;0.3022;0.3956;-0.0345;-0.0000;326;327;0.0012;0.5569;0.2016;0.0028;0.0040;0.4985
33;0.3242;0.4066;-0.2759;-0.0000;310;326;0.0940;0.5023;0.2100;0.0248;0.0043;0.5015
34;0.3498;0.4194;-0.7759;-0.0000;281;322;-0.0256;0.4170;0.2170;0.0736;0.0050;0.5034
35;0.3736;0.4304;-0.6207;-0.0000;269;300;0.1209;0.3470;0.2229;0.0577;0.0055;0.5064
36;0.3938;0.4432;-0.7759;-0.0000;251;290;-0.0256;0.2917;0.2276;0.0734;0.0062;0.5083
37;0.4176;0.4542;-0.7069;-0.0000;238;275;0.0476;0.2254;0.2313;0.0658;0.0070;0.5103
38;0.4414;0.4670;-0.4655;-0.0000;228;251;-0.0476;0.1492;0.2338;0.0426;0.0074;0.5132
39;0.4689;0.4799;-0.4483;-0.0000;208;232;0.0305;0.0646;0.2349;0.0424;0.0079;0.5152
40;0.4908;0.4908;-0.4655;-0.0000;191;214;0.0305;0.0031;0.2349;0.0431;0.0084;0.5181
41;0.5165;0.5037;-0.2759;-0.0000;175;191;0.0965;-0.0819;0.2335;0.0245;0.0087;0.5200
42;0.5311;0.5147;-0.2759;-0.0000;169;187;-0.0598;-0.0998;0.2320;0.0258;0.0089;0.5230
43;0.5531;0.5275;-0.1897;-0.0000;159;171;-0.0672;-0.1536;0.2294;0.0175;0.0092;0.5249
44;0.5714;0.5385;-0.3966;-0.0000;146;167;0.1038;-0.1954;0.2261;0.0367;0.0094;0.5279
45;0.5916;0.5513;-0.4655;-0.0000;132;155;0.0305;-0.2467;0.2221;0.0438;0.0099;0.5298
46;0.6062;0.5623;-0.2069;-0.0000;132;146;-0.0647;-0.2639;0.2177;0.0189;0.0101;0.5327
47;0.6245;0.5751;-0.1724;-0.0000;124;136;0.0110;-0.3001;0.2126;0.0160;0.0104;0.5347
48;0.6410;0.5879;-0.0690;-0.0000;122;128;0.0818;-0.3225;0.2071;0.0055;0.0104;0.5367
49;0.6557;0.5989;0.0172;-0.0000;120;122;-0.0037;-0.3353;0.2016;-0.0023;0.0104;0.5396
50;0.6667;0.6117;-0.0000;-0.0000;118;122;-0.0012;-0.3364;0.1961;-0.0004;0.0104;0.5415
51;0.6777;0.6227;0.1379;-0.0000;122;120;-0.0110;-0.3316;0.1906;-0.0140;0.0101;0.5445
52;0.6886;0.6355;0.0862;-0.0000;122;122;-0.0085;-0.3261;0.1851;-0.0087;0.0101;0.5464
53;0.6941;0.6465;0.1379;-0.0000;132;130;-0.0110;-0.2851;0.1804;-0.0143;0.0099;0.5494
54;0.7033;0.6593;0.1034;-0.0000;138;138;-0.0085;-0.2598;0.1760;-0.0104;0.0099;0.5513
55;0.7106;0.6703;-0.0690;-0.0000;138;146;-0.0745;-0.2408;0.1719;0.0050;0.0099;0.5543
56;0.7179;0.6832;0.2586;-0.0000;152;144;-0.0208;-0.2122;0.1687;-0.0258;0.0096;0.5562
57;0.7289;0.6960;0.1724;-0.0000;152;150;0.0647;-0.2020;0.1650;-0.0172;0.0094;0.5591
58;0.7381;0.7070;0.0172;-0.0000;153;157;0.0745;-0.1851;0.1621;-0.0021;0.0094;0.5611
59;0.7454;0.7198;0.3276;-0.0000;167;157;-0.0256;-0.1547;0.1595;-0.0324;0.0092;0.5630
60;0.7491;0.7308;-0.0172;-0.0000;169;175;-0.0012;-0.1130;0.1577;0.0009;0.0092;0.5660
61;0.7601;0.7436;-0.3103;-0.0000;165;185;0.0208;-0.1064;0.1558;0.0282;0.0094;0.5679
62;0.7711;0.7546;-0.0690;-0.0000;177;183;0.0037;-0.0947;0.1544;0.0055;0.0094;0.5709
63;0.7766;0.7674;-0.2241;-0.0000;183;196;0.0916;-0.0526;0.1533;0.0201;0.0096;0.5728
64;0.7875;0.7784;-0.0172;-0.0000;191;195;-0.0794;-0.0493;0.1525;0.0013;0.0096;0.5758
65;0.7949;0.7912;0.3448;-0.0000;206;195;-0.1038;-0.0203;0.1522;-0.0331;0.0094;0.5777
66;0.8095;0.8022;-0.1724;-0.0000;191;204;0.0110;-0.0390;0.1514;0.0160;0.0096;0.5806
67;0.8223;0.8150;0.0517;-0.0000;196;198;-0.0061;-0.0445;0.1507;-0.0057;0.0094;0.5826
68;0.8407;0.8278;0.1207;-0.0000;193;191;-0.1673;-0.0778;0.1496;-0.0118;0.0094;0.5855
69;0.8480;0.8388;-0.1379;-0.0000;193;202;-0.0696;-0.0504;0.1489;0.0121;0.0094;0.5875
70;0.8681;0.8516;0.1724;-0.0000;189;185;-0.0916;-0.1046;0.1470;-0.0177;0.0094;0.5894
71;0.8864;0.8626;-0.0862;-0.0000;175;181;-0.0745;-0.1452;0.1445;0.0074;0.0094;0.5924
72;0.8993;0.8755;-0.3103;-0.0000;169;185;-0.1380;-0.1492;0.1419;0.0282;0.0096;0.5943
73;0.9084;0.8864;-0.1034;-0.0000;179;187;-0.0720;-0.1251;0.1401;0.0094;0.0099;0.5973
74;0.9231;0.8993;-0.0345;-0.0000;179;181;-0.0769;-0.1408;0.1375;0.0018;0.0099;0.5992
75;0.9359;0.9103;0.2241;-0.0000;183;175;-0.0965;-0.1478;0.1353;-0.0219;0.0096;0.6022
76;0.9432;0.9231;0.4655;-0.0000;195;175;-0.1917;-0.1243;0.1331;-0.0453;0.0092;0.6041
77;0.9505;0.9359;0.0517;-0.0000;193;191;-0.0842;-0.0950;0.1317;-0.0055;0.0089;0.6070
78;0.9560;0.9469;-0.0517;-0.0000;200;204;0.0012;-0.0544;0.1306;0.0035;0.0092;0.6090
79;0.9615;0.9597;0.1897;-0.0000;216;208;-0.0940;-0.0163;0.1302;-0.0189;0.0089;0.6119
80;0.9762;0.9707;0.1379;-0.0000;212;206;-0.1673;-0.0353;0.1298;-0.0138;0.0087;0.6139
81;0.9927;0.9835;0.0345;-0.0000;206;206;-0.0818;-0.0559;0.1287;-0.0035;0.0087;0.6158
82;1.0037;0.9945;-0.3621;-0.0000;200;218;-0.0549;-0.0463;0.1280;0.0336;0.0092;0.6188
83;1.0073;1.0073;-0.7759;-0.0000;202;238;-0.0256;-0.0046;0.1280;0.0721;0.0099;0.6207
84;1.0201;1.0183;-0.8276;-0.0000;200;239;-0.0232;-0.0108;0.1280;0.0770;0.0106;0.6237
85;1.0330;1.0311;-0.7069;-0.0000;206;239;-0.0305;-0.0064;0.1276;0.0656;0.0114;0.6256
86;1.0458;1.0440;-0.5000;-0.0000;208;234;0.0330;-0.0170;0.1273;0.0463;0.0118;0.6285
87;1.0586;1.0549;-0.4483;-0.0000;210;234;0.0305;-0.0185;0.1273;0.0416;0.0123;0.6305
88;1.0659;1.0678;-0.5000;-0.0000;216;241;-0.0452;0.0057;0.1273;0.0470;0.0128;0.6334
89;1.0806;1.0788;-0.5000;-0.0000;214;241;0.1111;-0.0090;0.1273;0.0460;0.0133;0.6354
90;1.0934;1.0916;-0.5172;-0.0000;212;239;-0.0427;-0.0178;0.1269;0.0482;0.0138;0.6383
91;1.1062;1.1026;-0.3103;-0.0000;220;238;0.0989;-0.0148;0.1265;0.0292;0.0140;0.6403
92;1.1154;1.1154;-0.2759;-0.0000;226;243;0.0183;0.0035;0.1265;0.0245;0.0143;0.6422
93;1.1300;1.1264;-0.3621;-0.0000;220;241;0.0232;-0.0141;0.1265;0.0341;0.0148;0.6452
94;1.1374;1.1392;-0.3621;-0.0000;226;247;0.1013;0.0057;0.1265;0.0328;0.0150;0.6471
95;1.1465;1.1502;-0.2586;-0.0000;236;253;0.0940;0.0320;0.1269;0.0240;0.0153;0.6500
96;1.1593;1.1630;-0.2414;-0.0000;234;251;0.0940;0.0185;0.1273;0.0214;0.0155;0.6520
97;1.1685;1.1758;-0.1552;-0.0000;241;255;0.0085;0.0364;0.1280;0.0140;0.0157;0.6549
98;1.1813;1.1868;-0.2586;-0.0000;239;259;0.0940;0.0335;0.1284;0.0240;0.0160;0.6569
99;1.1923;1.1996;-0.6379;-0.0000;234;271;0.1209;0.0405;0.1291;0.0597;0.0165;0.6598
100;1.2051;1.2106;-0.3621;-0.0000;239;263;0.0232;0.0306;0.1298;0.0328;0.0170;0.6618
101;1.2216;1.2234;-0.6034;-0.0000;232;267;0.1184;0.0108;0.1298;0.0560;0.0175;0.6647
102;1.2363;1.2344;-0.6897;-0.0000;226;267;0.1258;-0.0112;0.1298;0.0651;0.0182;0.6667
103;1.2454;1.2473;-0.3621;-0.0000;236;263;0.1013;0.0082;0.1298;0.0331;0.0184;0.6686
104;1.2582;1.2582;-0.6552;-0.0000;230;271;0.1233;0.0049;0.1298;0.0614;0.0192;0.6716
105;1.2729;1.2711;-0.2414;-0.0000;238;257;0.0159;-0.0134;0.1298;0.0216;0.0194;0.6735
106;1.2857;1.2839;-0.0517;-0.0000;241;255;0.0794;-0.0134;0.1295;0.0033;0.0194;0.6764
107;1.3004;1.2949;-0.4310;-0.0000;228;261;0.1062;-0.0328;0.1291;0.0407;0.0199;0.6784
108;1.3095;1.3077;-0.1724;-0.0000;239;259;0.0891;-0.0167;0.1287;0.0150;0.0199;0.6813
109;1.3150;1.3187;-0.1207;-0.0000;251;269;0.0842;0.0214;0.1291;0.0109;0.0201;0.6833
110;1.3242;1.3315;-0.3621;-0.0000;249;279;0.0232;0.0364;0.1295;0.0338;0.0204;0.6862
111;1.3333;1.3425;-0.0345;-0.0000;267;279;0.0794;0.0610;0.1306;0.0021;0.0204;0.6882
112;1.3480;1.3553;-0.4483;-0.0000;253;286;0.0281;0.0412;0.1313;0.0409;0.0209;0.6911
113;1.3626;1.3663;-0.4655;-0.0000;251;284;0.0305;0.0273;0.1317;0.0438;0.0214;0.6931
114;1.3810;1.3791;-0.3448;-0.0000;245;273;0.0232;-0.0167;0.1317;0.0314;0.0216;0.6960
115;1.3901;1.3919;-0.3103;-0.0000;251;277;0.0208;0.0009;0.1317;0.0292;0.0221;0.6979
116;1.4011;1.4029;-0.1207;-0.0000;261;277;0.0061;0.0145;0.1317;0.0106;0.0221;0.6999
117;1.4139;1.4158;-0.1207;-0.0000;257;275;0.0842;0.0038;0.1320;0.0104;0.0223;0.7028
118;1.4249;1.4267;-0.1897;-0.0000;257;279;0.0891;0.0086;0.1320;0.0167;0.0223;0.7048
119;1.4359;1.4396;-0.2241;-0.0000;263;284;0.0916;0.0196;0.1324;0.0197;0.0226;0.7077
120;1.4469;1.4505;-0.1034;-0.0000;269;284;0.0061;0.0295;0.1328;0.0092;0.0228;0.7097
121;1.4579;1.4634;0.0345;-0.0000;273;283;-0.0037;0.0273;0.1331;-0.0043;0.0226;0.7126
122;1.4707;1.4744;-0.0862;-0.0000;271;286;0.0037;0.0247;0.1339;0.0067;0.0228;0.7146
123;1.4835;1.4872;-0.1207;-0.0000;271;288;0.0842;0.0203;0.1339;0.0104;0.0228;0.7175
124;1.4963;1.4982;0.1724;-0.0000;277;281;-0.0134;0.0178;0.1342;-0.0179;0.0226;0.7195
125;1.5073;1.5000;0.0862;-0.0000;161;167;-0.0867;-0.0441;0.1335;-0.0094;0.0226;0.2991
126;1.5238;1.5000;-0.0690;-0.0000;130;144;-0.0745;-0.1470;0.1313;0.0055;0.0226;0.2991
127;1.5311;1.5000;0.1034;-0.0000;120;124;-0.0867;-0.1976;0.1280;-0.0101;0.0226;0.2991
128;1.5421;1.5000;-0.3276;-0.0000;95;116;-0.1355;-0.2635;0.1236;0.0297;0.0228;0.2991
129;1.5549;1.5000;-0.1379;-0.0000;81;97;-0.0696;-0.3335;0.1177;0.0118;0.0231;0.2991
130;1.5586;1.5000;0.0345;-0.0000;79;85;-0.1575;-0.3551;0.1119;-0.0048;0.0228;0.2991
131;1.5659;1.5000;0.9655;-0.0000;87;52;-0.2259;-0.4045;0.1053;-0.0919;0.0219;0.2991
132;1.5623;1.5000;0.9655;-0.0000;91;56;-0.2259;-0.3785;0.0991;-0.0931;0.0209;0.2991
133;1.5659;1.5000;0.7586;-0.0000;79;54;-0.1331;-0.4019;0.0921;-0.0726;0.0201;0.2991
134;1.5604;1.5000;0.2586;-0.0000;73;69;-0.1770;-0.3697;0.0862;-0.0253;0.0199;0.2991
135;1.5568;1.5000;0.2759;-0.0000;77;73;-0.0989;-0.3455;0.0804;-0.0265;0.0197;0.2991
136;1.5476;1.5000;0.2069;-0.0000;89;85;-0.0159;-0.2906;0.0756;-0.0211;0.0194;0.2991
137;1.5458;1.5000;-0.1379;-0.0000;83;95;-0.0696;-0.2760;0.0709;0.0121;0.0197;0.2991
138;1.5311;1.5000;0.1724;-0.0000;107;105;-0.0916;-0.1936;0.0676;-0.0167;0.0194;0.2991
139;1.5220;1.5000;0.0690;-0.0000;114;118;0.0720;-0.1408;0.0654;-0.0070;0.0194;0.2991
140;1.5110;1.5000;-0.4310;-0.0000;118;144;0.0281;-0.0723;0.0643;0.0397;0.0197;0.2991
141;1.5055;1.5000;-0.1207;-0.0000;134;146;-0.0720;-0.0346;0.0635;0.0101;0.0199;0.2991
142;1.5000;1.5000;-0.2759;-0.0000;138;157;0.0965;-0.0013;0.0635;0.0255;0.0201;0.2991
143;1.4982;1.5147;-0.2241;-0.0000;281;298;0.0916;0.0925;0.0650;0.0206;0.0204;0.8280
144;1.4963;1.5293;0.6034;-0.0000;335;316;-0.0452;0.2016;0.0683;-0.0585;0.0197;0.8309
