Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.1034;-0.0000;21;24;0.2332;0.1108;0.0016;0.0092;-0.0001;0.0000;-1.9922
1;0.0000;0.0238;-0.0345;-0.0000;46;48;-0.0012;0.2218;0.0049;0.0021;-0.0001;0.0000;-1.9922
2;0.0000;0.0348;-0.0345;-0.0000;69;71;-0.0012;0.3327;0.0101;0.0021;0.0001;0.0000;-1.9922
3;0.0000;0.0476;-0.0345;-0.0000;95;97;-0.0012;0.4437;0.0170;0.0021;0.0001;0.0000;-1.9922
4;0.0000;0.0586;0.0862;-0.0000;122;118;-0.0037;0.5547;0.0258;-0.0089;-0.0001;0.0000;-1.9922
5;0.0000;0.0714;0.0862;-0.0000;148;146;-0.0037;0.6660;0.0361;-0.0089;-0.0001;0.0000;-1.9922
6;0.0000;0.0824;0.0862;-0.0000;175;171;-0.0012;0.7770;0.0482;-0.0089;-0.0001;0.0000;-1.9922
7;0.0000;0.0952;-0.1552;-0.0000;196;202;0.0012;0.8879;0.0621;0.0131;-0.0001;0.0000;-1.9922
8;0.0000;0.1062;-0.1552;-0.0000;226;232;0.0012;0.9989;0.0775;0.0131;0.0001;0.0000;-1.9922
9;0.0000;0.1190;-0.1552;-0.0000;253;259;0.0012;1.1099;0.0950;0.0131;0.0001;0.0000;-1.9922
10;0.0000;0.1319;0.0172;-0.0000;288;286;-0.0012;1.2208;0.1137;-0.0028;0.0001;0.0000;-1.9922
11;0.0000;0.1429;0.0172;-0.0000;316;316;-0.0012;1.3318;0.1346;-0.0028;0.0001;0.0000;-1.9922
12;0.0183;0.1557;0.0172;-0.0000;312;312;0.0769;1.2611;0.1544;-0.0028;0.0001;0.0000;-1.9922
13;0.0366;0.1667;-0.0517;-0.0000;300;308;0.0769;1.2036;0.1730;0.0040;0.0001;0.0000;-1.9922
14;0.0696;0.1795;-0.0517;-0.0000;269;275;-0.0794;1.0194;0.1888;0.0040;0.0001;0.0000;-1.9922
15;0.1007;0.1905;-0.2586;-0.0000;226;239;-0.0769;0.8275;0.2016;0.0233;0.0004;0.0000;-1.9922
16;0.1319;0.2033;-0.2586;-0.0000;195;206;0.0794;0.6642;0.2122;0.0233;0.0006;0.0000;-1.9922
17;0.1557;0.2143;-0.2586;-0.0000;171;187;-0.0769;0.5510;0.2207;0.0233;0.0009;0.0000;-1.9922
18;0.1795;0.2271;-0.0862;-0.0000;153;159;-0.0012;0.4375;0.2276;0.0072;0.0011;0.0000;-1.9922
19;0.1795;0.2399;-0.0862;-0.0000;181;187;0.0794;0.5510;0.2360;0.0072;0.0011;0.0000;-1.9922
20;0.1685;0.2509;-0.0345;-0.0000;228;232;0.0012;0.7565;0.2478;0.0023;0.0011;0.0000;-1.9922
21;0.1685;0.2637;-0.3793;-0.0000;253;273;0.0256;0.8802;0.2617;0.0348;0.0016;0.0000;-1.9922
22;0.1703;0.2747;-0.0345;-0.0000;286;290;-0.0794;0.9663;0.2767;0.0016;0.0016;0.0000;-1.9922
23;0.1813;0.2875;-0.4138;-0.0000;288;310;0.1062;0.9828;0.2917;0.0387;0.0018;0.0000;-1.9922
24;0.1813;0.2985;-0.0000;-0.0000;327;329;-0.0794;1.0809;0.3086;-0.0006;0.0018;0.0000;-1.9922
25;0.1905;0.3114;0.1724;-0.0000;343;337;0.0647;1.1084;0.3261;-0.0175;0.0016;0.0000;-1.9922
26;0.2033;0.3223;-0.0690;-0.0000;343;349;0.0037;1.1073;0.3433;0.0060;0.0018;0.0000;-1.9922
27;0.2143;0.3352;-0.0172;-0.0000;353;357;0.1551;1.1176;0.3606;0.0004;0.0018;0.0000;-1.9922
28;0.2271;0.3480;0.1379;-0.0000;359;355;-0.0891;1.1022;0.3778;-0.0133;0.0016;0.0000;-1.9922
29;0.2436;0.3590;0.2759;-0.0000;359;345;-0.0208;1.0630;0.3943;-0.0280;0.0013;0.0000;-1.9922
30;0.2619;0.3718;0.5517;-0.0000;357;333;0.0379;1.0066;0.4100;-0.0529;0.0009;0.0000;-1.9922
