Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.2759;-0.0000;36;24;-0.0794;0.1383;0.0016;-0.0275;-0.0004;-0.0002
1;0.0000;0.0238;-0.1034;-0.0000;60;65;0.0012;0.2771;0.0049;0.0094;-0.0004;-0.0002
2;0.0000;0.0348;-0.1034;-0.0000;93;97;0.0012;0.4155;0.0101;0.0094;-0.0001;-0.0002
3;0.0000;0.0476;-0.1034;-0.0000;126;130;0.0012;0.5543;0.0170;0.0094;-0.0001;-0.0002
4;0.0000;0.0586;-0.2241;-0.0000;157;165;0.0012;0.6927;0.0258;0.0204;0.0001;-0.0002
5;0.0000;0.0714;-0.2241;-0.0000;193;202;0.0012;0.8315;0.0361;0.0204;0.0004;-0.0002
6;0.0000;0.0824;-0.2241;-0.0000;228;236;0.0012;0.9700;0.0482;0.0204;0.0006;-0.0002
7;0.0000;0.0952;0.3276;-0.0000;279;263;-0.0061;1.1088;0.0621;-0.0324;0.0001;-0.0002
8;0.0000;0.1062;0.3276;-0.0000;314;298;-0.0061;1.2472;0.0775;-0.0324;-0.0001;-0.0002
9;0.0201;0.1190;0.3276;-0.0000;300;288;0.0720;1.1505;0.0917;-0.0324;-0.0004;-0.0002
10;0.0385;0.1319;-0.2759;-0.0000;273;290;0.0012;1.0784;0.1053;0.0255;-0.0001;-0.0002
11;0.0751;0.1429;-0.2759;-0.0000;210;226;0.0037;0.7934;0.1152;0.0255;0.0001;-0.0002
12;0.1044;0.1557;0.1379;-0.0000;177;173;-0.0037;0.5847;0.1225;-0.0143;-0.0001;-0.0002
13;0.1337;0.1667;0.1379;-0.0000;132;126;-0.0818;0.3814;0.1273;-0.0143;-0.0001;-0.0002
14;0.1593;0.1795;0.1379;-0.0000;97;93;-0.0037;0.2331;0.1302;-0.0143;-0.0004;-0.0002
15;0.1832;0.1905;0.4310;-0.0000;69;52;-0.0061;0.0881;0.1313;-0.0416;-0.0009;-0.0002
16;0.2051;0.2033;0.4310;-0.0000;44;24;-0.0842;-0.0236;0.1309;-0.0416;-0.0013;-0.0002
17;0.2253;0.2143;0.4310;-0.0000;22;5;-0.0061;-0.1130;0.1295;-0.0416;-0.0016;-0.0002
18;0.2436;0.2271;0.2586;-0.0000;3;-7;-0.0842;-0.1818;0.1273;-0.0260;-0.0021;-0.0002
19;0.2344;0.2399;0.2586;-0.0000;58;46;-0.0110;0.0493;0.1280;-0.0260;-0.0023;-0.0002
20;0.2198;0.2509;-0.0690;-0.0000;122;126;0.0037;0.3686;0.1328;0.0052;-0.0021;-0.0002
21;0.1886;0.2637;-0.3276;-0.0000;232;247;0.0208;0.8517;0.1434;0.0306;-0.0018;-0.0002
