Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.2241;-0.0000;32;22;-0.1575;0.1383;0.0016;-0.0223;-0.0004;-0.0002
1;0.0000;0.0238;0.2241;-0.0000;64;54;-0.0037;0.2771;0.0049;-0.0223;-0.0006;-0.0002
2;0.0000;0.0348;-0.1897;-0.0000;83;93;0.0012;0.4155;0.0101;0.0179;-0.0004;-0.0002
3;0.0000;0.0476;-0.1897;-0.0000;114;122;0.0012;0.5543;0.0170;0.0179;-0.0001;-0.0002
4;0.0000;0.0586;-0.1897;-0.0000;146;153;0.0012;0.6927;0.0258;0.0179;-0.0001;-0.0002
5;0.0000;0.0714;-0.0345;-0.0000;181;181;-0.0012;0.8315;0.0361;0.0016;-0.0001;-0.0002
6;0.0000;0.0824;-0.0345;-0.0000;214;216;-0.0012;0.9700;0.0482;0.0016;0.0001;-0.0002
7;0.0000;0.0952;-0.0345;-0.0000;247;247;-0.0012;1.1088;0.0621;0.0016;0.0001;-0.0002
8;0.0183;0.1062;0.1897;-0.0000;239;232;0.0745;1.0179;0.0749;-0.0189;-0.0001;-0.0002
9;0.0366;0.1190;0.1897;-0.0000;226;222;-0.0037;0.9454;0.0866;-0.0189;-0.0004;-0.0002
10;0.0531;0.1319;0.1897;-0.0000;218;212;-0.0037;0.8916;0.0976;-0.0189;-0.0006;-0.0002
11;0.0678;0.1429;-0.1724;-0.0000;210;224;0.0794;0.8707;0.1086;0.0155;-0.0004;-0.0002
12;0.1007;0.1557;-0.1724;-0.0000;159;171;-0.0769;0.6275;0.1163;0.0155;-0.0001;-0.0002
13;0.1300;0.1667;-0.1724;-0.0000;120;132;0.0012;0.4272;0.1218;0.0155;-0.0001;-0.0002
14;0.1557;0.1795;0.4483;-0.0000;99;83;-0.0867;0.2631;0.1251;-0.0426;-0.0006;-0.0002
15;0.1795;0.1905;0.4483;-0.0000;71;56;-0.0867;0.1313;0.1265;-0.0426;-0.0009;-0.0002
16;0.2015;0.2033;0.4483;-0.0000;46;30;-0.0061;0.0104;0.1265;-0.0426;-0.0013;-0.0002
17;0.2234;0.2143;0.6379;-0.0000;28;5;-0.0110;-0.0895;0.1254;-0.0612;-0.0021;-0.0002
18;0.2381;0.2271;0.6379;-0.0000;21;-3;-0.0110;-0.1247;0.1240;-0.0612;-0.0028;-0.0002
19;0.2308;0.2399;0.0862;-0.0000;58;56;-0.0037;0.0961;0.1251;-0.0096;-0.0028;-0.0002
20;0.2161;0.2509;-0.5172;-0.0000;112;134;0.0354;0.4118;0.1302;0.0480;-0.0023;-0.0002
21;0.2051;0.2637;-0.5517;-0.0000;169;193;-0.0427;0.6653;0.1386;0.0509;-0.0018;-0.0002
22;0.2051;0.2747;-0.7931;-0.0000;202;236;0.1331;0.8183;0.1489;0.0748;-0.0009;-0.0002
23;0.1960;0.2875;0.1207;-0.0000;281;277;0.0672;1.0586;0.1621;-0.0118;-0.0011;-0.0002
24;0.2033;0.2985;0.9483;-0.0000;318;279;-0.1453;1.1044;0.1760;-0.0902;-0.0021;-0.0002
25;0.1978;0.3114;0.1552;-0.0000;353;345;-0.0134;1.2985;0.1921;-0.0162;-0.0023;-0.0002
26;0.1978;0.3223;-0.5517;-0.0000;378;402;0.1136;1.4417;0.2100;0.0512;-0.0016;-0.0002
27;0.2051;0.3352;-0.0862;-0.0000;408;412;-0.0745;1.4940;0.2287;0.0070;-0.0016;-0.0002
28;0.2198;0.3480;-0.0172;-0.0000;412;412;-0.0794;1.4644;0.2470;0.0001;-0.0016;-0.0002
29;0.2289;0.3590;0.1724;-0.0000;429;421;-0.0134;1.4973;0.2657;-0.0172;-0.0018;-0.0002
30;0.2454;0.3718;-0.3793;-0.0000;410;427;0.0232;1.4505;0.2836;0.0345;-0.0013;-0.0002
31;0.2601;0.3828;-0.7414;-0.0000;406;439;0.0501;1.4263;0.3016;0.0702;-0.0006;-0.0002
32;0.2766;0.3956;-0.1724;-0.0000;410;417;-0.0672;1.3655;0.3184;0.0160;-0.0006;-0.0002
33;0.2967;0.4066;-0.6379;-0.0000;382;410;0.0427;1.2805;0.3346;0.0592;0.0001;-0.0002
34;0.3168;0.4194;-1.0345;-0.0000;353;400;-0.0085;1.1751;0.3492;0.0971;0.0011;-0.0002
35;0.3407;0.4304;-0.5862;-0.0000;339;367;0.0379;1.0487;0.3620;0.0541;0.0018;-0.0002
36;0.3608;0.4432;-1.0690;-0.0000;310;359;0.0720;0.9550;0.3741;0.0997;0.0028;-0.0002
37;0.3901;0.4542;-0.6724;-0.0000;271;302;-0.0330;0.7429;0.3833;0.0626;0.0035;-0.0002
38;0.4103;0.4670;-0.2241;-0.0000;261;271;0.0916;0.6491;0.3913;0.0201;0.0035;-0.0002
39;0.4359;0.4799;-0.5690;-0.0000;216;243;-0.0403;0.4953;0.3975;0.0533;0.0043;-0.0002
40;0.4542;0.4908;-0.2241;-0.0000;204;214;0.0134;0.4159;0.4027;0.0204;0.0045;-0.0002
41;0.4762;0.5037;-0.3276;-0.0000;179;193;-0.0574;0.3133;0.4067;0.0299;0.0048;-0.0002
42;0.4982;0.5147;-0.9828;-0.0000;136;179;0.0672;0.1892;0.4089;0.0924;0.0057;-0.0002
43;0.5183;0.5275;-0.1379;-0.0000;132;138;0.0085;0.0917;0.4104;0.0123;0.0057;-0.0002
44;0.5366;0.5385;-0.6379;-0.0000;103;132;0.0427;0.0185;0.4104;0.0604;0.0065;-0.0002
45;0.5531;0.5513;-0.2069;-0.0000;103;112;-0.1429;-0.0255;0.4100;0.0184;0.0067;-0.0002
46;0.5659;0.5623;0.2759;-0.0000;112;103;0.0574;-0.0240;0.4100;-0.0265;0.0065;-0.0002
47;0.5788;0.5751;-0.6034;-0.0000;91;116;0.0403;-0.0449;0.4093;0.0565;0.0070;-0.0002
48;0.5952;0.5879;0.3103;-0.0000;99;87;0.0549;-0.0939;0.4082;-0.0309;0.0067;-0.0002
49;0.6062;0.5989;0.5690;-0.0000;107;85;-0.0427;-0.0804;0.4071;-0.0558;0.0060;-0.0002
50;0.6154;0.6117;-0.0862;-0.0000;101;107;0.0037;-0.0467;0.4063;0.0065;0.0062;-0.0002
51;0.6319;0.6227;0.8621;-0.0000;109;75;-0.0623;-0.0983;0.4052;-0.0822;0.0052;-0.0002
52;0.6392;0.6355;-0.0000;-0.0000;101;103;-0.0012;-0.0515;0.4045;-0.0009;0.0052;-0.0002
53;0.6465;0.6465;-0.3448;-0.0000;109;124;0.0208;0.0130;0.4049;0.0311;0.0055;-0.0002
54;0.6593;0.6593;0.4655;-0.0000;122;105;-0.0354;-0.0049;0.4049;-0.0453;0.0052;-0.0002
55;0.6685;0.6703;-0.5862;-0.0000;110;138;0.1184;0.0397;0.4052;0.0551;0.0057;-0.0002
56;0.6795;0.6832;0.2241;-0.0000;128;122;-0.0965;0.0449;0.4060;-0.0216;0.0055;-0.0002
57;0.6850;0.6960;0.8276;-0.0000;157;126;0.0183;0.1133;0.4071;-0.0790;0.0048;-0.0002
58;0.6941;0.7070;-0.2241;-0.0000;142;153;0.0134;0.1401;0.4089;0.0211;0.0050;-0.0002
59;0.7070;0.7198;0.6379;-0.0000;165;140;-0.1258;0.1503;0.4107;-0.0616;0.0043;-0.0002
