Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.1034;-0.0000;134;130;-0.0012;0.0599;0.0009;-0.0111;-0.0001;0.5435
1;0.0000;0.0238;-0.0690;-0.0000;146;148;-0.0012;0.1199;0.0027;0.0062;-0.0001;0.5464
2;0.0000;0.0348;-0.0690;-0.0000;161;163;-0.0012;0.1796;0.0060;0.0062;-0.0001;0.5503
3;0.0000;0.0476;-0.0690;-0.0000;177;179;-0.0012;0.2397;0.0101;0.0062;-0.0001;0.5543
4;0.0000;0.0586;0.0345;-0.0000;195;193;-0.0012;0.2998;0.0152;-0.0045;-0.0001;0.5572
5;0.0000;0.0714;0.0345;-0.0000;210;210;-0.0012;0.3598;0.0211;-0.0045;-0.0001;0.5611
6;0.0000;0.0824;0.0345;-0.0000;228;226;-0.0012;0.4199;0.0284;-0.0045;-0.0001;0.5650
7;0.0000;0.0952;-0.0345;-0.0000;245;247;-0.0012;0.4799;0.0364;0.0031;-0.0001;0.5679
8;0.0201;0.1062;-0.0345;-0.0000;239;241;0.0769;0.4375;0.0441;0.0031;-0.0001;0.5718
9;0.0366;0.1190;-0.0345;-0.0000;238;243;-0.0012;0.4100;0.0511;0.0031;-0.0001;0.5758
10;0.0531;0.1319;0.0862;-0.0000;238;239;-0.0037;0.3880;0.0577;-0.0092;-0.0001;0.5787
11;0.0897;0.1429;0.0862;-0.0000;216;218;-0.0037;0.2705;0.0621;-0.0092;-0.0004;0.5826
12;0.1172;0.1557;0.0862;-0.0000;200;200;-0.0818;0.1862;0.0654;-0.0092;-0.0004;0.5865
13;0.1465;0.1667;0.3966;-0.0000;191;175;-0.0061;0.1031;0.0672;-0.0387;-0.0009;0.5894
14;0.1685;0.1795;0.3966;-0.0000;183;167;-0.0085;0.0548;0.0679;-0.0387;-0.0011;0.5934
