Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.1207;-0.0000;21;24;-0.1575;0.1108;0.0016;0.0104;-0.0001;0.0000;0.0000
1;0.0000;0.0238;-0.1207;-0.0000;46;50;0.0012;0.2218;0.0049;0.0101;0.0001;0.0000;0.0000
2;0.0000;0.0348;-0.1207;-0.0000;71;75;0.0012;0.3327;0.0101;0.0101;0.0001;0.0000;0.0000
3;0.0000;0.0476;-0.1207;-0.0000;97;101;0.0012;0.4437;0.0170;0.0101;0.0004;0.0000;0.0000
4;0.0000;0.0586;0.1207;-0.0000;126;122;-0.0037;0.5547;0.0258;-0.0116;0.0001;0.0000;0.0000
5;0.0000;0.0714;0.1207;-0.0000;153;148;-0.0037;0.6660;0.0361;-0.0116;0.0001;0.0000;0.0000
6;0.0000;0.0824;0.1207;-0.0000;181;175;-0.0037;0.7770;0.0482;-0.0116;-0.0001;0.0000;0.0000
7;0.0000;0.0952;-0.1207;-0.0000;204;208;0.0012;0.8879;0.0621;0.0111;0.0001;0.0000;0.0000
8;0.0000;0.1062;-0.1207;-0.0000;232;238;0.0012;0.9989;0.0775;0.0111;0.0001;0.0000;0.0000
9;0.0000;0.1190;-0.1207;-0.0000;265;269;0.0012;1.1099;0.0950;0.0111;0.0004;0.0000;0.0000
10;0.0000;0.1319;-0.0345;-0.0000;294;296;-0.0012;1.2208;0.1137;0.0018;0.0004;0.0000;0.0000
11;0.0201;0.1429;-0.0345;-0.0000;283;284;0.0769;1.1432;0.1317;0.0018;0.0004;0.0000;0.0000
12;0.0366;0.1557;-0.0345;-0.0000;279;284;-0.0012;1.0875;0.1485;0.0018;0.0004;0.0000;0.0000
13;0.0733;0.1667;0.2414;-0.0000;239;232;-0.0037;0.8612;0.1621;-0.0245;0.0001;0.0000;0.0000
14;0.1044;0.1795;0.2414;-0.0000;208;198;-0.0842;0.6953;0.1727;-0.0245;-0.0001;0.0000;0.0000
15;0.1337;0.1905;0.2414;-0.0000;173;163;-0.0037;0.5283;0.1811;-0.0245;-0.0004;0.0000;0.0000
16;0.1593;0.2033;0.2241;-0.0000;146;138;-0.0037;0.3964;0.1873;-0.0221;-0.0006;0.0000;0.0000
17;0.1850;0.2143;0.2241;-0.0000;120;112;-0.0818;0.2818;0.1917;-0.0221;-0.0009;0.0000;0.0000
18;0.2070;0.2271;0.2241;-0.0000;101;93;-0.0037;0.1895;0.1947;-0.0221;-0.0011;0.0000;0.0000
19;0.2015;0.2399;0.4483;-0.0000;140;122;0.0623;0.3437;0.1998;-0.0428;-0.0016;0.0000;0.0000
20;0.1886;0.2509;-0.5000;-0.0000;171;195;-0.0452;0.5693;0.2089;0.0465;-0.0011;0.0000;0.0000
21;0.1813;0.2637;-0.7241;-0.0000;210;243;0.1282;0.7477;0.2203;0.0680;-0.0004;0.0000;0.0000
22;0.1996;0.2747;-0.7069;-0.0000;206;239;-0.0305;0.7030;0.2313;0.0668;0.0004;0.0000;0.0000
23;0.2106;0.2875;-0.1552;-0.0000;226;234;0.0085;0.7092;0.2423;0.0140;0.0006;0.0000;0.0000
24;0.2088;0.2985;-0.2586;-0.0000;257;269;-0.0623;0.8348;0.2554;0.0233;0.0009;0.0000;0.0000
25;0.2106;0.3114;-0.6379;-0.0000;277;306;0.0427;0.9227;0.2697;0.0590;0.0013;0.0000;0.0000
26;0.2179;0.3223;-0.6552;-0.0000;294;326;-0.0330;0.9766;0.2851;0.0619;0.0021;0.0000;0.0000
27;0.2308;0.3352;-0.5000;-0.0000;300;326;-0.0452;0.9641;0.3001;0.0470;0.0026;0.0000;0.0000
28;0.2509;0.3480;-0.2241;-0.0000;296;308;-0.0647;0.8912;0.3140;0.0211;0.0028;0.0000;0.0000
29;0.2674;0.3590;-0.4138;-0.0000;286;306;-0.0501;0.8403;0.3269;0.0385;0.0031;0.0000;0.0000
30;0.2875;0.3718;-0.4138;-0.0000;271;290;-0.1306;0.7663;0.3389;0.0380;0.0035;0.0000;0.0000
31;0.3059;0.3828;-0.8793;-0.0000;247;288;0.0598;0.7066;0.3499;0.0822;0.0045;0.0000;0.0000
32;0.3260;0.3956;-1.4138;-0.0000;222;286;0.0965;0.6319;0.3598;0.1334;0.0057;0.0000;0.0000
33;0.3443;0.4066;-1.2586;-0.0000;212;273;0.1648;0.5755;0.3686;0.1193;0.0072;0.0000;0.0000
34;0.3608;0.4194;-1.4310;-0.0000;200;267;0.0208;0.5374;0.3770;0.1351;0.0084;0.0000;0.0000
35;0.3791;0.4304;-0.6379;-0.0000;204;238;0.0427;0.4763;0.3844;0.0597;0.0092;0.0000;0.0000
36;0.4011;0.4432;-0.2759;-0.0000;196;212;-0.0598;0.3953;0.3906;0.0260;0.0094;0.0000;0.0000
37;0.4158;0.4542;-0.1724;-0.0000;193;204;0.0110;0.3708;0.3964;0.0157;0.0096;0.0000;0.0000
38;0.4359;0.4670;-0.4310;-0.0000;169;193;-0.1282;0.2877;0.4008;0.0402;0.0101;0.0000;0.0000
39;0.4469;0.4799;-0.4828;-0.0000;169;195;0.0330;0.2961;0.4056;0.0450;0.0104;0.0000;0.0000
40;0.4652;0.4908;-0.3966;-0.0000;161;181;-0.1306;0.2437;0.4093;0.0360;0.0109;0.0000;0.0000
41;0.4853;0.5037;-0.4138;-0.0000;146;165;-0.0501;0.1690;0.4118;0.0387;0.0114;0.0000;0.0000
42;0.5018;0.5147;-0.4655;-0.0000;132;155;-0.0476;0.1144;0.4137;0.0436;0.0118;0.0000;0.0000
43;0.5256;0.5275;-0.3103;-0.0000;112;128;-0.0574;0.0145;0.4140;0.0282;0.0121;0.0000;0.0000
