Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;-0.1207;-0.0000;67;71;-0.3138;0.1108;0.0016;0.0104;-0.0001;-0.0002
1;0.0000;0.0238;-0.1207;-0.0000;93;99;0.0012;0.2218;0.0049;0.0104;0.0001;-0.0002
2;0.0000;0.0348;0.1724;-0.0000;124;118;-0.0037;0.3327;0.0101;-0.0170;-0.0001;-0.0002
3;0.0000;0.0476;0.1724;-0.0000;152;144;-0.0037;0.4437;0.0170;-0.0170;-0.0004;-0.0002
4;0.0000;0.0586;0.1724;-0.0000;179;171;-0.0037;0.5547;0.0258;-0.0170;-0.0004;-0.0002
5;0.0000;0.0714;-0.1379;-0.0000;200;204;0.0012;0.6660;0.0361;0.0126;-0.0004;-0.0002
6;0.0000;0.0824;-0.1379;-0.0000;230;236;0.0012;0.7770;0.0482;0.0126;-0.0001;-0.0002
7;0.0000;0.0952;-0.1379;-0.0000;259;265;0.0012;0.8879;0.0621;0.0126;-0.0001;-0.0002
8;0.0000;0.1062;-0.0000;-0.0000;290;290;-0.0012;0.9989;0.0775;-0.0004;-0.0001;-0.0002
9;0.0000;0.1190;-0.0000;-0.0000;326;324;-0.0012;1.1099;0.0950;-0.0004;-0.0001;-0.0002
10;0.0201;0.1319;-0.0000;-0.0000;312;312;0.0769;1.0282;0.1108;-0.0004;-0.0001;-0.0002
11;0.0586;0.1429;0.2759;-0.0000;273;261;-0.0842;0.7799;0.1229;-0.0277;-0.0004;-0.0002
12;0.0934;0.1557;0.2759;-0.0000;230;218;-0.0061;0.5711;0.1320;-0.0277;-0.0006;-0.0002
13;0.1227;0.1667;0.2759;-0.0000;196;185;-0.0842;0.4056;0.1383;-0.0277;-0.0009;-0.0002
14;0.1502;0.1795;0.1897;-0.0000;165;157;-0.0037;0.2657;0.1423;-0.0192;-0.0011;-0.0002
15;0.1758;0.1905;0.1897;-0.0000;140;132;-0.0037;0.1419;0.1445;-0.0192;-0.0013;-0.0002
