Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.0690;-0.0000;22;24;-0.2357;0.1108;0.0016;0.0055;-0.0001;0.0000;0.0000
1;0.0000;0.0238;0.0517;-0.0000;50;48;-0.0012;0.2218;0.0049;-0.0052;-0.0001;0.0000;0.0000
2;0.0000;0.0348;0.0517;-0.0000;75;73;-0.0012;0.3327;0.0101;-0.0052;-0.0001;0.0000;0.0000
3;0.0000;0.0476;0.0517;-0.0000;103;99;-0.0012;0.4437;0.0170;-0.0052;-0.0001;0.0000;0.0000
4;0.0000;0.0586;-0.1379;-0.0000;124;130;0.0012;0.5547;0.0258;0.0126;-0.0001;0.0000;0.0000
5;0.0000;0.0714;-0.1379;-0.0000;152;157;0.0012;0.6660;0.0361;0.0126;0.0001;0.0000;0.0000
6;0.0000;0.0824;-0.1379;-0.0000;181;187;0.0012;0.7770;0.0482;0.0126;0.0001;0.0000;0.0000
7;0.0000;0.0952;0.1897;-0.0000;216;206;-0.0037;0.8879;0.0621;-0.0197;-0.0001;0.0000;0.0000
8;0.0000;0.1062;0.1897;-0.0000;247;238;-0.0037;0.9989;0.0775;-0.0197;-0.0001;0.0000;0.0000
9;0.0000;0.1190;0.1897;-0.0000;277;267;-0.0037;1.1099;0.0950;-0.0197;-0.0004;0.0000;0.0000
10;0.0000;0.1319;-0.0517;-0.0000;300;302;-0.0012;1.2208;0.1137;0.0033;-0.0004;0.0000;0.0000
11;0.0000;0.1429;-0.0517;-0.0000;337;337;-0.0012;1.3318;0.1346;0.0033;-0.0004;0.0000;0.0000
12;0.0201;0.1557;-0.0517;-0.0000;324;326;0.0769;1.2505;0.1540;0.0033;-0.0004;0.0000;0.0000
13;0.0586;0.1667;0.1034;-0.0000;279;277;-0.0818;1.0037;0.1697;-0.0101;-0.0004;0.0000;0.0000
14;0.0916;0.1795;0.1034;-0.0000;238;234;-0.0818;0.8041;0.1822;-0.0101;-0.0006;0.0000;0.0000
15;0.1209;0.1905;0.1034;-0.0000;206;202;-0.0818;0.6484;0.1925;-0.0101;-0.0006;0.0000;0.0000
16;0.1502;0.2033;0.4655;-0.0000;183;161;0.0696;0.4972;0.2001;-0.0460;-0.0011;0.0000;0.0000
17;0.1740;0.2143;0.4655;-0.0000;155;134;-0.0867;0.3723;0.2060;-0.0460;-0.0016;0.0000;0.0000
18;0.1960;0.2271;0.4655;-0.0000;138;116;-0.0085;0.2928;0.2104;-0.0460;-0.0021;0.0000;0.0000
19;0.1923;0.2399;0.2586;-0.0000;167;155;0.0672;0.4404;0.2174;-0.0260;-0.0023;0.0000;0.0000
20;0.1795;0.2509;-0.5862;-0.0000;200;226;-0.0403;0.6572;0.2276;0.0543;-0.0018;0.0000;0.0000
21;0.1777;0.2637;-0.9310;-0.0000;228;271;0.0623;0.7909;0.2397;0.0870;-0.0009;0.0000;0.0000
22;0.1832;0.2747;-1.1034;-0.0000;245;296;0.0745;0.8506;0.2529;0.1036;0.0001;0.0000;0.0000
23;0.1923;0.2875;-0.4483;-0.0000;275;294;-0.0501;0.8791;0.2668;0.0411;0.0006;0.0000;0.0000
24;0.1923;0.2985;-0.1207;-0.0000;316;322;-0.0720;0.9864;0.2822;0.0099;0.0009;0.0000;0.0000
25;0.1960;0.3114;-0.6552;-0.0000;327;357;0.0427;1.0593;0.2987;0.0607;0.0013;0.0000;0.0000
26;0.2088;0.3223;-1.0000;-0.0000;329;376;0.0672;1.0634;0.3151;0.0939;0.0023;0.0000;0.0000
27;0.2216;0.3352;-0.7586;-0.0000;337;374;-0.0281;1.0436;0.3313;0.0704;0.0031;0.0000;0.0000
28;0.2344;0.3480;-0.8103;-0.0000;337;376;0.1331;1.0344;0.3474;0.0758;0.0040;0.0000;0.0000
29;0.2473;0.3590;-0.9655;-0.0000;339;388;-0.0110;1.0381;0.3635;0.0914;0.0048;0.0000;0.0000
30;0.2692;0.3718;-1.1724;-0.0000;320;378;0.0794;0.9436;0.3785;0.1107;0.0060;0.0000;0.0000
31;0.2894;0.3828;-0.9310;-0.0000;310;359;0.0647;0.8733;0.3921;0.0878;0.0070;0.0000;0.0000
32;0.3114;0.3956;-0.6897;-0.0000;294;331;-0.0330;0.7784;0.4041;0.0646;0.0077;0.0000;0.0000
33;0.3352;0.4066;-0.9655;-0.0000;265;314;0.0647;0.6722;0.4144;0.0907;0.0087;0.0000;0.0000
34;0.3553;0.4194;-0.8966;-0.0000;245;292;-0.0183;0.5858;0.4235;0.0836;0.0094;0.0000;0.0000
35;0.3718;0.4304;-0.7069;-0.0000;245;283;-0.0305;0.5565;0.4323;0.0656;0.0101;0.0000;0.0000
36;0.3956;0.4432;-0.9655;-0.0000;210;259;0.0672;0.4404;0.4393;0.0900;0.0111;0.0000;0.0000
37;0.4212;0.4542;-0.5172;-0.0000;189;218;-0.0427;0.3053;0.4441;0.0485;0.0116;0.0000;0.0000
38;0.4432;0.4670;-0.7586;-0.0000;161;200;0.0501;0.2199;0.4474;0.0707;0.0123;0.0000;0.0000
39;0.4615;0.4799;-0.7586;-0.0000;148;187;0.0525;0.1606;0.4499;0.0712;0.0131;0.0000;0.0000
40;0.4817;0.4908;-0.6552;-0.0000;132;165;0.0452;0.0837;0.4510;0.0614;0.0138;0.0000;0.0000
41;0.5000;0.5037;-0.5345;-0.0000;120;150;-0.0427;0.0262;0.4517;0.0492;0.0143;0.0000;0.0000
42;0.5128;0.5147;-0.4483;-0.0000;120;146;0.0305;0.0218;0.4521;0.0424;0.0148;0.0000;0.0000
43;0.5275;0.5275;-0.5345;-0.0000;112;142;-0.0427;-0.0071;0.4517;0.0492;0.0153;0.0000;0.0000
44;0.5421;0.5385;-0.5000;-0.0000;110;138;0.1111;-0.0222;0.4514;0.0465;0.0157;0.0000;0.0000
45;0.5604;0.5513;-0.3793;-0.0000;99;120;-0.0525;-0.0859;0.4503;0.0353;0.0162;0.0000;0.0000
46;0.5714;0.5623;-0.3276;-0.0000;101;120;-0.0574;-0.0804;0.4488;0.0306;0.0165;0.0000;0.0000
