Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.0517;-0.0000;32;28;-0.0794;0.1383;0.0016;-0.0065;-0.0001;-0.0002
1;0.0000;0.0238;-0.1552;-0.0000;60;65;0.0012;0.2771;0.0049;0.0138;-0.0001;-0.0002
2;0.0000;0.0348;-0.1552;-0.0000;93;99;0.0012;0.4155;0.0101;0.0138;0.0001;-0.0002
3;0.0000;0.0476;-0.1552;-0.0000;124;132;0.0012;0.5543;0.0170;0.0138;0.0004;-0.0002
4;0.0000;0.0586;-0.0000;-0.0000;161;161;-0.0012;0.6927;0.0258;-0.0011;0.0001;-0.0002
5;0.0000;0.0714;-0.0000;-0.0000;196;196;-0.0012;0.8315;0.0361;-0.0011;0.0001;-0.0002
6;0.0000;0.0824;-0.0000;-0.0000;232;232;-0.0012;0.9700;0.0482;-0.0011;0.0001;-0.0002
7;0.0000;0.0952;0.0345;-0.0000;269;267;-0.0012;1.1088;0.0621;-0.0048;0.0001;-0.0002
8;0.0000;0.1062;0.0345;-0.0000;308;306;-0.0012;1.2472;0.0775;-0.0048;0.0001;-0.0002
9;0.0000;0.1190;0.0345;-0.0000;345;343;-0.0012;1.3856;0.0950;-0.0048;0.0001;-0.0002
10;0.0183;0.1319;-0.1897;-0.0000;333;343;0.0794;1.3073;0.1112;0.0172;0.0004;-0.0002
11;0.0366;0.1429;-0.1897;-0.0000;320;331;0.0012;1.2348;0.1265;0.0172;0.0004;-0.0002
12;0.0696;0.1557;-0.1897;-0.0000;269;281;-0.0769;0.9773;0.1386;0.0172;0.0006;-0.0002
13;0.1026;0.1667;0.1897;-0.0000;222;216;-0.0037;0.7352;0.1478;-0.0192;0.0004;-0.0002
14;0.1502;0.1795;0.1897;-0.0000;126;118;-0.0818;0.3232;0.1518;-0.0192;0.0001;-0.0002
15;0.1722;0.1905;0.1897;-0.0000;101;93;-0.0037;0.2111;0.1547;-0.0192;0.0001;-0.0002
16;0.1960;0.2033;0.1379;-0.0000;71;65;-0.0037;0.0870;0.1558;-0.0133;-0.0001;-0.0002
17;0.2161;0.2143;0.1379;-0.0000;46;40;-0.0037;-0.0156;0.1555;-0.0133;-0.0004;-0.0002
18;0.2344;0.2271;0.1379;-0.0000;28;22;-0.0818;-0.0943;0.1544;-0.0133;-0.0004;-0.0002
19;0.2289;0.2399;0.2931;-0.0000;79;67;-0.0110;0.1141;0.1558;-0.0284;-0.0006;-0.0002
20;0.2143;0.2509;-0.5000;-0.0000;136;157;0.0330;0.4283;0.1610;0.0472;-0.0001;-0.0002
