Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.0862;-0.0000;26;22;-0.2357;0.1108;0.0016;-0.0096;-0.0001;-0.0000
1;0.0000;0.0238;0.0862;-0.0000;52;48;-0.0037;0.2218;0.0049;-0.0096;-0.0004;-0.0000
2;0.0000;0.0348;-0.2241;-0.0000;71;81;0.0012;0.3327;0.0101;0.0201;-0.0001;-0.0000
3;0.0000;0.0476;-0.2241;-0.0000;99;109;0.0012;0.4437;0.0170;0.0201;0.0001;-0.0000
4;0.0000;0.0586;-0.2241;-0.0000;126;136;0.0012;0.5547;0.0258;0.0201;0.0004;-0.0000
5;0.0000;0.0714;0.2586;-0.0000;165;153;-0.0037;0.6660;0.0361;-0.0255;0.0001;-0.0000
6;0.0000;0.0824;0.2586;-0.0000;195;183;-0.0061;0.7770;0.0482;-0.0255;-0.0001;-0.0000
7;0.0000;0.0952;0.2586;-0.0000;224;212;-0.0061;0.8879;0.0621;-0.0255;-0.0004;-0.0000
8;0.0000;0.1062;-0.1207;-0.0000;247;253;0.0012;0.9989;0.0775;0.0101;-0.0004;-0.0000
9;0.0000;0.1190;-0.1207;-0.0000;279;283;0.0012;1.1099;0.0950;0.0101;-0.0004;-0.0000
10;0.0000;0.1319;-0.1207;-0.0000;310;314;0.0012;1.2208;0.1137;0.0101;-0.0001;-0.0000
11;0.0000;0.1429;-0.1034;-0.0000;347;351;0.0012;1.3318;0.1346;0.0092;-0.0001;-0.0000
12;0.0201;0.1557;-0.1034;-0.0000;333;339;0.0794;1.2534;0.1540;0.0092;0.0001;-0.0000
13;0.0366;0.1667;-0.1034;-0.0000;335;343;0.0012;1.2077;0.1730;0.0092;0.0001;-0.0000
14;0.0733;0.1795;0.3621;-0.0000;296;283;-0.0061;0.9861;0.1884;-0.0358;-0.0001;-0.0000
15;0.1026;0.1905;0.3621;-0.0000;265;249;-0.0061;0.8202;0.2009;-0.0358;-0.0006;-0.0000
16;0.1337;0.2033;-0.0862;-0.0000;216;222;-0.0012;0.6499;0.2111;0.0065;-0.0006;-0.0000
17;0.1593;0.2143;-0.0862;-0.0000;185;191;-0.0012;0.5078;0.2192;0.0065;-0.0004;-0.0000
18;0.1813;0.2271;-0.0862;-0.0000;163;169;-0.0012;0.4148;0.2254;0.0065;-0.0004;-0.0000
19;0.1813;0.2399;0.1724;-0.0000;200;195;0.0720;0.5374;0.2338;-0.0167;-0.0006;-0.0000
20;0.1740;0.2509;-0.6379;-0.0000;226;255;-0.0354;0.7074;0.2448;0.0590;0.0001;-0.0000
21;0.1813;0.2637;-0.4310;-0.0000;249;271;-0.1282;0.7638;0.2569;0.0392;0.0004;-0.0000
22;0.1813;0.2747;-0.5862;-0.0000;277;306;0.1184;0.8638;0.2701;0.0555;0.0011;-0.0000
23;0.1868;0.2875;-0.7759;-0.0000;296;335;0.0525;0.9246;0.2847;0.0726;0.0018;-0.0000
24;0.1923;0.2985;-0.1379;-0.0000;337;343;-0.1477;0.9919;0.3001;0.0118;0.0018;-0.0000
25;0.1960;0.3114;-0.6552;-0.0000;351;384;0.0452;1.0637;0.3166;0.0614;0.0026;-0.0000
26;0.2070;0.3223;-0.4310;-0.0000;367;388;0.0281;1.0674;0.3335;0.0397;0.0031;-0.0000
27;0.2216;0.3352;-0.3103;-0.0000;374;392;-0.0574;1.0513;0.3496;0.0280;0.0033;-0.0000
28;0.2344;0.3480;-0.4655;-0.0000;374;398;-0.0476;1.0363;0.3657;0.0431;0.0038;-0.0000
29;0.2582;0.3590;-0.3276;-0.0000;357;374;0.0208;0.9315;0.3803;0.0294;0.0040;-0.0000
30;0.2747;0.3718;-0.6207;-0.0000;339;372;-0.0379;0.8839;0.3939;0.0580;0.0048;-0.0000
31;0.2985;0.3828;-0.6724;-0.0000;314;349;-0.0330;0.7803;0.4063;0.0634;0.0052;-0.0000
32;0.3187;0.3956;-0.5862;-0.0000;294;326;0.1184;0.7008;0.4170;0.0546;0.0060;-0.0000
33;0.3425;0.4066;-0.6552;-0.0000;271;304;-0.1136;0.6034;0.4265;0.0609;0.0065;-0.0000
34;0.3663;0.4194;-0.2931;-0.0000;249;267;0.0965;0.4832;0.4342;0.0272;0.0070;-0.0000
35;0.3919;0.4304;-0.2241;-0.0000;218;230;-0.1429;0.3554;0.4397;0.0209;0.0070;-0.0000
36;0.4121;0.4432;-0.5000;-0.0000;191;218;0.1111;0.2884;0.4441;0.0470;0.0074;-0.0000
37;0.4377;0.4542;-0.3621;-0.0000;163;185;-0.0549;0.1679;0.4466;0.0341;0.0079;-0.0000
38;0.4560;0.4670;-0.3966;-0.0000;148;167;0.0256;0.1031;0.4485;0.0360;0.0084;-0.0000
39;0.4725;0.4799;-0.4655;-0.0000;134;157;0.0305;0.0566;0.4492;0.0436;0.0087;-0.0000
40;0.4927;0.4908;-0.1034;-0.0000;126;134;-0.0720;-0.0079;0.4492;0.0094;0.0089;-0.0000
41;0.5092;0.5037;-0.2069;-0.0000;110;124;0.0916;-0.0562;0.4481;0.0192;0.0092;-0.0000
42;0.5256;0.5147;-0.1379;-0.0000;105;114;-0.0720;-0.0895;0.4466;0.0114;0.0092;-0.0000
43;0.5348;0.5275;0.0862;-0.0000;114;112;-0.0085;-0.0709;0.4455;-0.0094;0.0092;-0.0000
44;0.5440;0.5385;-0.1552;-0.0000;114;126;0.0085;-0.0434;0.4452;0.0145;0.0092;-0.0000
45;0.5604;0.5513;0.0345;-0.0000;110;112;-0.0037;-0.0804;0.4437;-0.0038;0.0092;-0.0000
46;0.5733;0.5623;-0.0000;-0.0000;107;110;-0.0012;-0.0917;0.4422;-0.0013;0.0092;-0.0000
47;0.5824;0.5751;-0.2586;-0.0000;109;122;0.0159;-0.0632;0.4415;0.0231;0.0094;-0.0000
48;0.5916;0.5879;0.0517;-0.0000;122;122;-0.0061;-0.0390;0.4408;-0.0065;0.0094;-0.0000
49;0.5952;0.5989;-0.1724;-0.0000;136;146;0.0110;0.0397;0.4415;0.0153;0.0096;-0.0000
50;0.6062;0.6117;-0.3103;-0.0000;136;153;0.0208;0.0507;0.4422;0.0292;0.0099;-0.0000
51;0.6154;0.6227;-0.1552;-0.0000;146;157;0.0085;0.0738;0.4433;0.0140;0.0099;-0.0000
