Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.0345;-0.0000;22;24;-0.3919;0.1108;0.0016;0.0023;-0.0001;0.0000;0.0000
1;0.0000;0.0238;-0.1034;-0.0000;48;52;-0.0012;0.2218;0.0049;0.0082;-0.0001;0.0000;0.0000
2;0.0000;0.0348;-0.1034;-0.0000;73;75;-0.0012;0.3327;0.0101;0.0082;0.0001;0.0000;0.0000
3;0.0000;0.0476;0.0345;-0.0000;101;101;-0.0012;0.4437;0.0170;-0.0043;0.0001;0.0000;0.0000
4;0.0000;0.0586;0.0345;-0.0000;128;126;-0.0012;0.5547;0.0258;-0.0043;-0.0001;0.0000;0.0000
5;0.0000;0.0714;0.0345;-0.0000;155;153;-0.0012;0.6660;0.0361;-0.0043;-0.0001;0.0000;0.0000
6;0.0000;0.0824;0.0345;-0.0000;183;181;-0.0012;0.7770;0.0482;-0.0043;-0.0001;0.0000;0.0000
7;0.0000;0.0952;-0.0172;-0.0000;212;212;-0.0012;0.8879;0.0621;0.0013;-0.0001;0.0000;0.0000
8;0.0000;0.1062;-0.0172;-0.0000;239;241;-0.0012;0.9989;0.0775;0.0013;-0.0001;0.0000;0.0000
9;0.0000;0.1190;-0.0000;-0.0000;275;273;-0.0012;1.1099;0.0950;-0.0016;-0.0001;0.0000;0.0000
10;0.0000;0.1319;-0.0000;-0.0000;304;302;-0.0012;1.2208;0.1137;-0.0016;-0.0001;0.0000;0.0000
11;0.0201;0.1429;-0.0000;-0.0000;288;290;0.0769;1.1395;0.1317;-0.0016;-0.0001;0.0000;0.0000
12;0.0586;0.1557;-0.0000;-0.0000;241;243;-0.0794;0.8909;0.1456;-0.0011;-0.0001;0.0000;0.0000
13;0.0934;0.1667;-0.0000;-0.0000;196;198;0.0769;0.6799;0.1562;-0.0011;-0.0001;0.0000;0.0000
14;0.1209;0.1795;-0.0000;-0.0000;167;167;-0.0794;0.5305;0.1643;-0.0011;-0.0001;0.0000;0.0000
15;0.1502;0.1905;0.2759;-0.0000;142;128;-0.0061;0.3800;0.1701;-0.0270;-0.0004;0.0000;0.0000
16;0.1722;0.2033;0.2759;-0.0000;120;109;-0.0061;0.2877;0.1749;-0.0270;-0.0006;0.0000;0.0000
17;0.1960;0.2143;0.2759;-0.0000;99;87;-0.0061;0.1815;0.1774;-0.0270;-0.0011;0.0000;0.0000
18;0.2161;0.2271;0.2069;-0.0000;77;69;-0.0037;0.0972;0.1789;-0.0199;-0.0011;0.0000;0.0000
19;0.2106;0.2399;0.2069;-0.0000;114;107;-0.0867;0.2562;0.1829;-0.0199;-0.0013;0.0000;0.0000
20;0.1978;0.2509;-0.1897;-0.0000;159;167;0.0891;0.4917;0.1906;0.0167;-0.0013;0.0000;0.0000
21;0.1905;0.2637;-0.2759;-0.0000;204;216;-0.0598;0.6781;0.2012;0.0250;-0.0009;0.0000;0.0000
22;0.2015;0.2747;-0.3621;-0.0000;206;224;0.1013;0.6744;0.2119;0.0336;-0.0006;0.0000;0.0000
23;0.1978;0.2875;-0.3621;-0.0000;247;263;-0.1331;0.8286;0.2247;0.0328;-0.0004;0.0000;0.0000
24;0.1978;0.2985;-0.4483;-0.0000;283;302;-0.0476;0.9447;0.2393;0.0421;0.0001;0.0000;0.0000
25;0.1978;0.3114;-0.6552;-0.0000;312;341;0.1233;1.0553;0.2558;0.0619;0.0009;0.0000;0.0000
26;0.2051;0.3223;-0.6552;-0.0000;329;361;-0.0330;1.0956;0.2730;0.0619;0.0016;0.0000;0.0000
27;0.2234;0.3352;-0.7414;-0.0000;322;357;0.0501;1.0348;0.2891;0.0695;0.0023;0.0000;0.0000
28;0.2363;0.3480;-0.7414;-0.0000;327;363;-0.0281;1.0278;0.3049;0.0687;0.0031;0.0000;0.0000
29;0.2582;0.3590;-1.1897;-0.0000;296;355;0.0842;0.9297;0.3195;0.1129;0.0040;0.0000;0.0000
30;0.2802;0.3718;-1.3448;-0.0000;277;341;0.0916;0.8476;0.3327;0.1268;0.0055;0.0000;0.0000
31;0.2985;0.3828;-1.1207;-0.0000;269;324;-0.0794;0.7766;0.3448;0.1063;0.0065;0.0000;0.0000
32;0.3205;0.3956;-1.4655;-0.0000;239;314;0.1795;0.6942;0.3554;0.1388;0.0079;0.0000;0.0000
33;0.3425;0.4066;-1.6724;-0.0000;212;294;0.1160;0.5957;0.3650;0.1578;0.0096;0.0000;0.0000
34;0.3553;0.4194;-1.5690;-0.0000;214;292;0.0305;0.5920;0.3741;0.1488;0.0114;0.0000;0.0000
35;0.3700;0.4304;-1.2931;-0.0000;218;283;0.0110;0.5627;0.3829;0.1224;0.0126;0.0000;0.0000
36;0.3846;0.4432;-1.0000;-0.0000;220;273;-0.0891;0.5437;0.3913;0.0946;0.0136;0.0000;0.0000
37;0.4048;0.4542;-1.0172;-0.0000;204;255;-0.0085;0.4682;0.3986;0.0958;0.0145;0.0000;0.0000
38;0.4286;0.4670;-1.3103;-0.0000;169;236;0.1673;0.3488;0.4041;0.1227;0.0160;0.0000;0.0000
39;0.4451;0.4799;-1.0000;-0.0000;165;218;-0.0085;0.3064;0.4089;0.0946;0.0170;0.0000;0.0000
40;0.4634;0.4908;-0.6897;-0.0000;159;198;0.0476;0.2507;0.4126;0.0648;0.0175;0.0000;0.0000
41;0.4872;0.5037;-0.8966;-0.0000;132;179;0.0598;0.1423;0.4148;0.0839;0.0184;0.0000;0.0000
42;0.5018;0.5147;-0.5172;-0.0000;136;165;0.0330;0.1247;0.4170;0.0475;0.0189;0.0000;0.0000
43;0.5183;0.5275;-0.7069;-0.0000;120;159;-0.0305;0.0851;0.4181;0.0658;0.0197;0.0000;0.0000
44;0.5366;0.5385;-0.6724;-0.0000;109;146;-0.1111;0.0255;0.4184;0.0626;0.0204;0.0000;0.0000
45;0.5531;0.5513;-0.2069;-0.0000;109;126;0.0134;-0.0192;0.4184;0.0192;0.0204;0.0000;0.0000
46;0.5678;0.5623;-0.5690;-0.0000;95;126;0.0379;-0.0471;0.4177;0.0526;0.0211;0.0000;0.0000
47;0.5769;0.5751;-0.2586;-0.0000;107;124;0.0159;-0.0247;0.4173;0.0231;0.0214;0.0000;0.0000
48;0.5897;0.5879;0.0517;-0.0000;114;120;-0.0061;-0.0200;0.4170;-0.0057;0.0211;0.0000;0.0000
49;0.6044;0.5989;-0.2069;-0.0000;103;120;0.0916;-0.0485;0.4162;0.0194;0.0214;0.0000;0.0000
50;0.6190;0.6117;0.2931;-0.0000;107;103;-0.0989;-0.0778;0.4148;-0.0284;0.0211;0.0000;0.0000
51;0.6319;0.6227;-0.0517;-0.0000;99;109;0.0794;-0.0789;0.4137;0.0033;0.0211;0.0000;0.0000
52;0.6392;0.6355;-0.3276;-0.0000;103;126;0.0208;-0.0357;0.4133;0.0294;0.0216;0.0000;0.0000
53;0.6538;0.6465;0.0172;-0.0000;107;114;-0.0037;-0.0551;0.4122;-0.0018;0.0214;0.0000;0.0000
54;0.6667;0.6593;-0.3103;-0.0000;97;120;0.0208;-0.0628;0.4115;0.0284;0.0219;0.0000;0.0000
55;0.6777;0.6703;0.1034;-0.0000;109;112;-0.0085;-0.0602;0.4104;-0.0114;0.0216;0.0000;0.0000
56;0.6832;0.6832;0.4310;-0.0000;126;116;-0.1111;-0.0082;0.4104;-0.0426;0.0211;0.0000;0.0000
57;0.7015;0.6960;0.1897;-0.0000;110;110;-0.0159;-0.0580;0.4093;-0.0189;0.0211;0.0000;0.0000
58;0.7088;0.7070;0.4310;-0.0000;124;114;-0.0330;-0.0233;0.4089;-0.0426;0.0206;0.0000;0.0000
59;0.7161;0.7198;-0.0000;-0.0000;126;134;-0.0012;0.0211;0.4093;-0.0011;0.0206;0.0000;0.0000
60;0.7234;0.7308;-0.2069;-0.0000;134;152;0.0134;0.0723;0.4104;0.0192;0.0209;0.0000;0.0000
61;0.7289;0.7436;-0.0517;-0.0000;152;161;0.0012;0.1295;0.4126;0.0040;0.0209;0.0000;0.0000
62;0.7418;0.7546;-0.1897;-0.0000;150;167;0.0110;0.1298;0.4144;0.0179;0.0209;0.0000;0.0000
63;0.7491;0.7674;0.0690;-0.0000;165;171;-0.0842;0.1683;0.4170;-0.0074;0.0209;0.0000;0.0000
64;0.7527;0.7784;-0.0517;-0.0000;181;193;0.0012;0.2390;0.4210;0.0040;0.0209;0.0000;0.0000
