Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.1724;-0.0000;21;26;-0.1575;0.1108;0.0016;0.0162;0.0001;0.0000;0.0000
1;0.0000;0.0238;-0.1724;-0.0000;46;52;0.0012;0.2218;0.0049;0.0162;0.0001;0.0000;0.0000
2;0.0000;0.0348;0.2069;-0.0000;77;69;-0.0037;0.3327;0.0101;-0.0201;0.0001;0.0000;0.0000
3;0.0000;0.0476;0.2069;-0.0000;105;97;-0.0037;0.4437;0.0170;-0.0201;-0.0001;0.0000;0.0000
4;0.0000;0.0586;0.2069;-0.0000;132;122;-0.0037;0.5547;0.0258;-0.0201;-0.0004;0.0000;0.0000
5;0.0000;0.0714;-0.0690;-0.0000;153;155;-0.0012;0.6660;0.0361;0.0057;-0.0004;0.0000;0.0000
6;0.0000;0.0824;-0.0690;-0.0000;181;183;-0.0012;0.7770;0.0482;0.0057;-0.0004;0.0000;0.0000
7;0.0000;0.0952;-0.0690;-0.0000;210;212;-0.0012;0.8879;0.0621;0.0057;-0.0001;0.0000;0.0000
8;0.0000;0.1062;-0.0690;-0.0000;238;241;-0.0012;0.9989;0.0775;0.0062;-0.0001;0.0000;0.0000
9;0.0000;0.1190;-0.0690;-0.0000;267;271;-0.0012;1.1099;0.0950;0.0062;-0.0001;0.0000;0.0000
10;0.0000;0.1319;-0.0690;-0.0000;300;304;-0.0012;1.2208;0.1137;0.0062;-0.0001;0.0000;0.0000
11;0.0000;0.1429;0.2414;-0.0000;337;327;-0.0037;1.3318;0.1346;-0.0238;-0.0004;0.0000;0.0000
12;0.0000;0.1557;0.2414;-0.0000;374;365;-0.0037;1.4428;0.1569;-0.0238;-0.0006;0.0000;0.0000
13;0.0201;0.1667;0.2414;-0.0000;363;351;-0.0818;1.3633;0.1782;-0.0238;-0.0009;0.0000;0.0000
14;0.0586;0.1795;0.1207;-0.0000;316;308;-0.0037;1.1223;0.1958;-0.0118;-0.0009;0.0000;0.0000
15;0.0897;0.1905;0.1207;-0.0000;277;271;-0.0037;0.9414;0.2104;-0.0118;-0.0011;0.0000;0.0000
16;0.1209;0.2033;0.1207;-0.0000;239;232;-0.0037;0.7608;0.2221;-0.0118;-0.0011;0.0000;0.0000
17;0.1484;0.2143;0.3966;-0.0000;214;195;-0.0842;0.6096;0.2316;-0.0377;-0.0016;0.0000;0.0000
18;0.1740;0.2271;0.3966;-0.0000;189;169;0.0720;0.4843;0.2393;-0.0377;-0.0018;0.0000;0.0000
19;0.1722;0.2399;0.3621;-0.0000;220;202;-0.0916;0.6133;0.2489;-0.0353;-0.0023;0.0000;0.0000
20;0.1630;0.2509;-0.7931;-0.0000;243;277;0.0549;0.8136;0.2617;0.0741;-0.0016;0.0000;0.0000
21;0.1630;0.2637;-0.6379;-0.0000;281;308;0.0427;0.9297;0.2760;0.0599;-0.0009;0.0000;0.0000
22;0.1740;0.2747;-0.7414;-0.0000;288;320;-0.0281;0.9385;0.2906;0.0690;-0.0001;0.0000;0.0000
