Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;0.2069;-0.0000;26;19;-0.0012;0.1108;0.0016;-0.0199;-0.0004;0.0000;0.0000
1;0.0000;0.0238;0.2069;-0.0000;52;42;-0.0037;0.2218;0.0049;-0.0199;-0.0006;0.0000;0.0000
2;0.0000;0.0348;0.2069;-0.0000;75;67;-0.0037;0.3327;0.0101;-0.0199;-0.0009;0.0000;0.0000
3;0.0000;0.0476;-0.2586;-0.0000;91;101;0.0012;0.4437;0.0170;0.0236;-0.0006;0.0000;0.0000
4;0.0000;0.0586;-0.2586;-0.0000;116;126;0.0012;0.5547;0.0258;0.0236;-0.0004;0.0000;0.0000
5;0.0000;0.0714;-0.2586;-0.0000;142;152;0.0012;0.6660;0.0361;0.0236;0.0001;0.0000;0.0000
6;0.0000;0.0824;0.1552;-0.0000;177;169;-0.0037;0.7770;0.0482;-0.0160;-0.0001;0.0000;0.0000
7;0.0000;0.0952;0.1552;-0.0000;202;196;-0.0037;0.8879;0.0621;-0.0160;-0.0004;0.0000;0.0000
8;0.0000;0.1062;0.1552;-0.0000;234;226;-0.0037;0.9989;0.0775;-0.0160;-0.0006;0.0000;0.0000
9;0.0000;0.1190;0.0517;-0.0000;259;255;-0.0012;1.1099;0.0950;-0.0062;-0.0006;0.0000;0.0000
10;0.0000;0.1319;0.0517;-0.0000;292;288;-0.0012;1.2208;0.1137;-0.0062;-0.0006;0.0000;0.0000
11;0.0000;0.1429;0.0517;-0.0000;320;318;-0.0012;1.3318;0.1346;-0.0062;-0.0006;0.0000;0.0000
12;0.0403;0.1557;-0.2241;-0.0000;267;275;0.0012;1.0601;0.1511;0.0204;-0.0004;0.0000;0.0000
13;0.0733;0.1667;-0.2241;-0.0000;228;236;0.0794;0.8645;0.1646;0.0204;-0.0004;0.0000;0.0000
14;0.1044;0.1795;-0.2241;-0.0000;191;200;-0.0769;0.6880;0.1752;0.0204;-0.0001;0.0000;0.0000
15;0.1319;0.1905;0.2069;-0.0000;175;165;-0.0037;0.5506;0.1840;-0.0204;-0.0004;0.0000;0.0000
16;0.1593;0.2033;0.2069;-0.0000;146;136;-0.0037;0.4089;0.1903;-0.0204;-0.0004;0.0000;0.0000
17;0.1832;0.2143;-0.1379;-0.0000;114;120;0.0012;0.2987;0.1950;0.0114;-0.0004;0.0000;0.0000
18;0.2051;0.2271;-0.1379;-0.0000;97;101;0.0012;0.2064;0.1979;0.0114;-0.0001;0.0000;0.0000
19;0.2015;0.2399;-0.0345;-0.0000;132;132;0.0769;0.3558;0.2038;0.0016;-0.0001;0.0000;0.0000
20;0.1886;0.2509;0.2069;-0.0000;187;177;-0.0159;0.5807;0.2126;-0.0211;-0.0004;0.0000;0.0000
21;0.1850;0.2637;0.0862;-0.0000;220;214;-0.0085;0.7235;0.2240;-0.0087;-0.0006;0.0000;0.0000
22;0.1850;0.2747;0.0690;-0.0000;247;243;-0.0842;0.8257;0.2368;-0.0070;-0.0006;0.0000;0.0000
23;0.1941;0.2875;-0.4310;-0.0000;249;267;0.1062;0.8542;0.2500;0.0392;-0.0001;0.0000;0.0000
24;0.1905;0.2985;-0.7586;-0.0000;281;314;0.0501;1.0011;0.2657;0.0709;0.0006;0.0000;0.0000
25;0.1960;0.3114;-0.2931;-0.0000;318;329;0.0183;1.0725;0.2825;0.0277;0.0009;0.0000;0.0000
26;0.2033;0.3223;0.2931;-0.0000;345;331;-0.1013;1.1121;0.2998;-0.0284;0.0006;0.0000;0.0000
27;0.2143;0.3352;0.0517;-0.0000;349;345;-0.0061;1.1212;0.3170;-0.0062;0.0006;0.0000;0.0000
28;0.2234;0.3480;-0.2241;-0.0000;355;365;0.0134;1.1414;0.3349;0.0201;0.0006;0.0000;0.0000
29;0.2326;0.3590;0.1724;-0.0000;376;369;-0.0134;1.1707;0.3532;-0.0177;0.0006;0.0000;0.0000
30;0.2527;0.3718;-0.1034;-0.0000;359;363;0.0842;1.0996;0.3704;0.0087;0.0006;0.0000;0.0000
31;0.2747;0.3828;-0.2069;-0.0000;339;351;0.0134;1.0103;0.3858;0.0187;0.0009;0.0000;0.0000
32;0.2894;0.3956;0.1207;-0.0000;345;341;-0.0891;0.9777;0.4012;-0.0121;0.0006;0.0000;0.0000
33;0.3114;0.4066;-0.0690;-0.0000;324;327;0.0818;0.8865;0.4151;0.0050;0.0009;0.0000;0.0000
34;0.3352;0.4194;0.1207;-0.0000;306;300;-0.0110;0.7803;0.4272;-0.0126;0.0006;0.0000;0.0000
35;0.3553;0.4304;0.2241;-0.0000;292;283;-0.0183;0.7001;0.4382;-0.0221;0.0004;0.0000;0.0000
36;0.3736;0.4432;-0.0345;-0.0000;275;275;0.0012;0.6345;0.4481;0.0026;0.0004;0.0000;0.0000
37;0.3956;0.4542;0.0345;-0.0000;253;251;-0.0818;0.5429;0.4565;-0.0035;0.0004;0.0000;0.0000
38;0.4231;0.4670;0.0690;-0.0000;224;220;0.0720;0.4082;0.4627;-0.0082;0.0004;0.0000;0.0000
39;0.4469;0.4799;-0.0862;-0.0000;195;198;-0.0745;0.2950;0.4675;0.0074;0.0004;0.0000;0.0000
40;0.4652;0.4908;0.0862;-0.0000;187;183;-0.0085;0.2448;0.4712;-0.0089;0.0004;0.0000;0.0000
41;0.4817;0.5037;0.0345;-0.0000;177;175;-0.0037;0.2034;0.4745;-0.0038;0.0004;0.0000;0.0000
42;0.5000;0.5147;0.0172;-0.0000;163;161;0.0745;0.1452;0.4767;-0.0021;0.0001;0.0000;0.0000
43;0.5201;0.5275;0.0690;-0.0000;146;144;-0.0061;0.0676;0.4778;-0.0067;0.0001;0.0000;0.0000
44;0.5348;0.5385;0.1552;-0.0000;144;136;-0.0916;0.0463;0.4785;-0.0165;-0.0001;0.0000;0.0000
45;0.5549;0.5513;-0.1034;-0.0000;120;124;0.0842;-0.0353;0.4778;0.0094;0.0001;0.0000;0.0000
46;0.5659;0.5623;-0.0517;-0.0000;122;124;0.0012;-0.0266;0.4774;0.0045;0.0001;0.0000;0.0000
47;0.5788;0.5751;-0.0862;-0.0000;118;122;0.1600;-0.0419;0.4767;0.0065;0.0001;0.0000;0.0000
48;0.5952;0.5879;0.0690;-0.0000;112;110;0.0720;-0.0800;0.4756;-0.0072;0.0001;0.0000;0.0000
49;0.6062;0.5989;0.3621;-0.0000;122;109;-0.0281;-0.0599;0.4745;-0.0353;-0.0004;0.0000;0.0000
50;0.6117;0.6117;0.2759;-0.0000;134;122;0.0574;-0.0101;0.4745;-0.0275;-0.0006;0.0000;0.0000
51;0.6227;0.6227;0.3103;-0.0000;138;126;0.0549;0.0108;0.4748;-0.0304;-0.0009;0.0000;0.0000
52;0.6337;0.6355;0.3103;-0.0000;140;126;0.0549;0.0112;0.4748;-0.0306;-0.0011;0.0000;0.0000
53;0.6447;0.6465;0.3793;-0.0000;144;128;0.0501;0.0207;0.4752;-0.0372;-0.0016;0.0000;0.0000
54;0.6502;0.6593;0.2069;-0.0000;153;146;-0.0159;0.0775;0.4763;-0.0214;-0.0018;0.0000;0.0000
55;0.6667;0.6703;0.3621;-0.0000;148;134;0.0525;0.0331;0.4770;-0.0348;-0.0021;0.0000;0.0000
56;0.6758;0.6832;0.2586;-0.0000;155;146;0.1355;0.0734;0.4781;-0.0255;-0.0023;0.0000;0.0000
57;0.6813;0.6960;0.1552;-0.0000;163;159;0.0647;0.1229;0.4799;-0.0155;-0.0026;0.0000;0.0000
58;0.6941;0.7070;0.3103;-0.0000;167;155;0.0549;0.1137;0.4818;-0.0304;-0.0028;0.0000;0.0000
59;0.7033;0.7198;0.1552;-0.0000;171;163;0.0647;0.1375;0.4840;-0.0160;-0.0031;0.0000;0.0000
60;0.7088;0.7308;0.0690;-0.0000;187;185;0.0720;0.2119;0.4873;-0.0082;-0.0031;0.0000;0.0000
61;0.7234;0.7436;0.2759;-0.0000;187;175;-0.0208;0.1826;0.4898;-0.0265;-0.0035;0.0000;0.0000
62;0.7363;0.7546;0.0517;-0.0000;181;179;-0.0061;0.1676;0.4928;-0.0065;-0.0035;0.0000;0.0000
63;0.7491;0.7674;0.1379;-0.0000;185;179;-0.0110;0.1697;0.4953;-0.0138;-0.0035;0.0000;0.0000
64;0.7564;0.7784;0.2931;-0.0000;198;185;-0.0232;0.2159;0.4986;-0.0289;-0.0040;0.0000;0.0000
65;0.7674;0.7912;0.0862;-0.0000;198;193;-0.0085;0.2236;0.5019;-0.0092;-0.0040;0.0000;0.0000
66;0.7802;0.8022;0.2759;-0.0000;200;189;-0.0208;0.2119;0.5052;-0.0265;-0.0043;0.0000;0.0000
67;0.7912;0.8150;0.2414;-0.0000;202;191;0.0598;0.2130;0.5089;-0.0243;-0.0045;0.0000;0.0000
68;0.8059;0.8278;-0.0345;-0.0000;193;195;0.0012;0.1943;0.5118;0.0016;-0.0045;0.0000;0.0000
69;0.8205;0.8388;0.1379;-0.0000;195;189;-0.0110;0.1782;0.5144;-0.0133;-0.0048;0.0000;0.0000
70;0.8352;0.8516;-0.1379;-0.0000;183;187;-0.0696;0.1437;0.5169;0.0121;-0.0045;0.0000;0.0000
71;0.8462;0.8626;-0.3621;-0.0000;183;196;0.0232;0.1610;0.5191;0.0341;-0.0043;0.0000;0.0000
72;0.8608;0.8755;-0.3103;-0.0000;177;189;0.0208;0.1236;0.5213;0.0289;-0.0038;0.0000;0.0000
73;0.8700;0.8864;-0.1034;-0.0000;189;193;-0.0720;0.1562;0.5235;0.0092;-0.0038;0.0000;0.0000
74;0.8846;0.8993;0.1034;-0.0000;189;183;-0.0085;0.1313;0.5257;-0.0106;-0.0040;0.0000;0.0000
75;0.8974;0.9103;0.3966;-0.0000;195;175;-0.0305;0.1210;0.5276;-0.0385;-0.0043;0.0000;0.0000
76;0.9066;0.9231;0.4138;-0.0000;204;185;-0.1087;0.1588;0.5301;-0.0402;-0.0048;0.0000;0.0000
77;0.9158;0.9359;0.0172;-0.0000;202;198;-0.0037;0.1826;0.5331;-0.0026;-0.0048;0.0000;0.0000
78;0.9249;0.9469;0.1552;-0.0000;210;200;-0.0916;0.1994;0.5360;-0.0157;-0.0050;0.0000;0.0000
79;0.9359;0.9597;0.1207;-0.0000;214;206;-0.0867;0.2115;0.5393;-0.0116;-0.0050;0.0000;0.0000
80;0.9487;0.9707;-0.1379;-0.0000;210;212;-0.0696;0.2104;0.5426;0.0126;-0.0050;0.0000;0.0000
81;0.9597;0.9835;0.1552;-0.0000;222;210;-0.0916;0.2225;0.5459;-0.0150;-0.0050;0.0000;0.0000
82;0.9689;0.9945;-0.2069;-0.0000;220;226;-0.0647;0.2456;0.5499;0.0184;-0.0048;0.0000;0.0000
83;0.9817;1.0073;-0.4828;-0.0000;216;232;-0.1233;0.2401;0.5536;0.0450;-0.0045;0.0000;0.0000
