Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;-0.0345;-0.0000;79;79;-0.0012;0.0720;0.0009;0.0021;-0.0001;0.3030
1;0.0000;0.0238;-0.0345;-0.0000;97;97;-0.0012;0.1437;0.0035;0.0021;-0.0001;0.3069
2;0.0000;0.0348;0.1034;-0.0000;116;112;-0.0037;0.2159;0.0071;-0.0104;-0.0001;0.3099
3;0.0000;0.0476;0.1034;-0.0000;134;128;-0.0037;0.2877;0.0119;-0.0104;-0.0004;0.3138
4;0.0000;0.0586;0.1034;-0.0000;152;148;-0.0037;0.3598;0.0178;-0.0104;-0.0004;0.3177
5;0.0000;0.0714;-0.1552;-0.0000;165;171;0.0012;0.4320;0.0251;0.0133;-0.0004;0.3206
6;0.0000;0.0824;-0.1552;-0.0000;185;191;0.0012;0.5038;0.0335;0.0133;-0.0001;0.3245
7;0.0000;0.0952;-0.1552;-0.0000;204;210;0.0012;0.5759;0.0430;0.0133;0.0001;0.3284
8;0.0201;0.1062;0.0690;-0.0000;202;198;-0.0794;0.5250;0.0518;-0.0079;-0.0001;0.3324
9;0.0385;0.1190;0.0690;-0.0000;200;195;-0.0012;0.4858;0.0599;-0.0079;-0.0001;0.3353
10;0.0714;0.1319;0.0690;-0.0000;175;169;-0.0012;0.3565;0.0657;-0.0079;-0.0001;0.3392
11;0.1044;0.1429;-0.1034;-0.0000;146;148;0.0012;0.2287;0.0698;0.0094;-0.0001;0.3431
12;0.1319;0.1557;-0.1034;-0.0000;128;130;0.0012;0.1353;0.0720;0.0094;-0.0001;0.3460
13;0.1593;0.1667;-0.1034;-0.0000;110;112;0.0012;0.0478;0.0727;0.0094;0.0001;0.3500
14;0.1813;0.1795;-0.4828;-0.0000;89;109;-0.0720;-0.0189;0.0723;0.0450;0.0006;0.3539
15;0.2033;0.1905;-0.4828;-0.0000;77;97;0.0842;-0.0742;0.0712;0.0450;0.0011;0.3568
16;0.2216;0.2033;-0.4828;-0.0000;69;89;0.0061;-0.1119;0.0694;0.0450;0.0016;0.3607
