Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;Battery(mV);PosX(m);PosY(m);Angle(rad);Dist
0;-0.0000;-0.0000;-0.0345;-0.0000;1;1;12256;0.0000;0.0000;-0.0109;-0.0244
1;-0.0000;0.0037;-0.0345;-0.0000;3;3;12256;0.0000;0.0000;-0.0109;-0.0244
2;-0.0000;0.0037;-0.0000;-0.0000;5;5;12256;0.0000;0.0000;-0.0109;-0.0244
3;-0.0000;0.0074;-0.0000;-0.0000;7;7;12256;0.0000;0.0000;-0.0109;-0.0244
4;-0.0000;0.0074;-0.0000;-0.0000;9;9;12256;0.0000;0.0000;-0.0109;-0.0244
5;-0.0000;0.0111;-0.0345;-0.0000;11;11;12256;0.0000;0.0000;-0.0109;-0.0244
6;-0.0000;0.0111;-0.0345;-0.0000;13;13;12256;0.0000;0.0000;-0.0109;-0.0244
7;-0.0000;0.0148;-0.0345;-0.0000;17;17;12256;0.0000;0.0000;-0.0109;-0.0244
8;-0.0000;0.0148;-0.0000;-0.0000;19;19;12256;0.0000;0.0000;-0.0109;-0.0244
9;-0.0000;0.0185;-0.0000;-0.0000;21;21;12256;0.0000;0.0000;-0.0109;-0.0244
10;-0.0000;0.0185;-0.0000;-0.0000;22;22;12256;0.0000;0.0000;-0.0109;-0.0244
11;-0.0000;0.0222;-0.0345;-0.0000;24;24;12256;0.0000;0.0000;-0.0109;-0.0244
12;-0.0000;0.0259;-0.0345;-0.0000;26;26;12256;0.0000;0.0000;-0.0109;-0.0244
13;-0.0000;0.0259;-0.0345;-0.0000;28;30;12256;0.0000;0.0000;-0.0109;-0.0244
14;-0.0000;0.0296;-0.0000;-0.0000;32;32;12256;0.0000;0.0000;-0.0109;-0.0244
15;-0.0000;0.0296;-0.0000;-0.0000;34;34;12256;0.0000;0.0000;-0.0109;-0.0244
16;-0.0000;0.0333;-0.0000;-0.0000;36;36;12256;0.0000;0.0000;-0.0109;-0.0244
17;-0.0000;0.0333;-0.0345;-0.0000;38;38;12256;0.0000;0.0000;-0.0109;-0.0244
18;-0.0000;0.0370;-0.0345;-0.0000;42;42;12256;0.0000;0.0000;-0.0109;-0.0244
19;-0.0000;0.0370;-0.0345;-0.0000;44;44;12256;0.0000;0.0000;-0.0109;-0.0244
20;-0.0000;0.0407;-0.0345;-0.0000;48;48;12256;0.0000;0.0000;-0.0109;-0.0244
21;-0.0000;0.0407;-0.0345;-0.0000;50;50;12205;0.0000;0.0000;-0.0109;-0.0244
22;0.0037;0.0444;-0.1379;-0.0000;48;50;12205;0.0382;0.0000;-0.0109;-0.0244
23;0.0111;0.0444;-0.2414;-0.0000;42;46;12205;0.0763;-0.0076;-0.0328;-0.0244
24;0.0185;0.0481;-0.2759;-0.0000;32;38;12205;0.1908;-0.0076;-0.0548;-0.0244
25;0.0259;0.0519;-0.2759;-0.0000;30;34;12205;0.1908;-0.0076;-0.0548;-0.0244
26;0.0296;0.0519;-0.1034;-0.0000;28;30;12256;0.2290;-0.0076;-0.0768;-0.0244
27;0.0370;0.0556;0.1379;-0.0000;28;26;12256;0.2290;-0.0076;-0.0548;-0.0244
28;0.0407;0.0556;0.3103;-0.0000;28;22;12256;0.2290;-0.0076;-0.0328;-0.0244
29;0.0444;0.0593;0.3793;-0.0000;28;21;12256;0.2672;-0.0076;-0.0109;-0.0244
30;0.0481;0.0593;0.3448;-0.0000;26;19;12256;0.2672;-0.0076;0.0111;-0.0244
31;0.0481;0.0630;0.2759;-0.0000;26;19;12256;0.2672;-0.0076;0.0111;-0.0244
32;0.0519;0.0630;0.3103;-0.0000;24;19;12256;0.3511;-0.0076;0.0331;-0.0244
33;0.0556;0.0667;0.2759;-0.0000;24;19;12256;0.3511;-0.0076;0.0551;-0.0244
34;0.0556;0.0667;0.3103;-0.0000;26;19;12256;0.3511;-0.0076;0.0770;-0.0244
35;0.0593;0.0704;0.3793;-0.0000;26;19;12256;0.3893;0.0000;0.0990;-0.0244
36;0.0593;0.0704;0.3103;-0.0000;26;19;12256;0.4656;0.0000;0.1210;-0.0244
37;0.0630;0.0741;0.3103;-0.0000;26;19;12256;0.4656;0.0000;0.1430;-0.0244
38;0.0630;0.0778;0.3103;-0.0000;28;21;12256;0.5038;0.0000;0.1649;-0.0244
39;0.0667;0.0778;0.2759;-0.0000;28;21;12256;0.5038;0.0000;0.1649;-0.0244
40;0.0667;0.0815;0.2759;-0.0000;30;22;12256;0.5420;0.0000;0.1869;-0.0244
41;0.0667;0.0815;0.2759;-0.0000;30;22;12256;0.5420;0.0000;0.2089;-0.0244
42;0.0667;0.0852;0.3103;-0.0000;32;24;12256;0.5420;0.0000;0.2308;-0.0244
43;0.0704;0.0852;0.3103;-0.0000;34;26;12256;0.5802;0.0000;0.2528;0.0556
44;0.0704;0.0889;0.3103;-0.0000;36;26;12256;0.6183;0.0000;0.2528;0.0556
45;0.0704;0.0889;0.3103;-0.0000;36;28;12256;0.6641;0.0000;0.2748;0.0556
46;0.0704;0.0926;0.2759;-0.0000;38;30;12256;0.6641;0.0000;0.2968;0.0556
47;0.0704;0.0926;0.2414;-0.0000;40;32;12256;0.6641;0.0000;0.3187;0.0556
48;0.0704;0.0963;0.2414;-0.0000;42;34;12256;0.6641;0.0000;0.3187;0.0556
49;0.0741;0.1000;0.2069;-0.0000;44;36;12256;0.7023;0.0000;0.3407;0.0556
50;0.0741;0.1000;0.1724;-0.0000;46;38;12256;0.7405;0.0000;0.3407;0.0556
51;0.0741;0.1037;0.1379;-0.0000;48;42;12205;0.7786;0.0000;0.3627;0.0556
52;0.0741;0.1037;-0.0345;-0.0000;48;46;12205;0.8168;0.0000;0.3627;0.0556
53;0.0741;0.1074;-0.2414;-0.0000;48;50;12205;0.8550;0.0000;0.3407;0.0556
54;0.0741;0.1074;-0.3793;-0.0000;48;54;12205;0.8931;0.0000;0.3187;0.0556
55;0.0741;0.1111;-0.4483;-0.0000;50;58;12205;0.9313;0.0000;0.2968;0.0556
56;0.0778;0.1111;-0.4138;-0.0000;50;56;12154;1.0153;0.0000;0.2748;0.0556
57;0.0778;0.1148;-0.2759;-0.0000;52;56;12205;1.0916;0.0000;0.2528;0.0556
58;0.0778;0.1148;-0.0345;-0.0000;58;58;12205;1.1679;0.0000;0.2528;0.0556
59;0.0852;0.1185;0.0690;-0.0000;54;52;12154;1.3282;0.0000;0.2748;0.0556
60;0.0852;0.1185;0.1724;-0.0000;60;54;12154;1.3664;0.0000;0.2748;0.1355
61;0.0889;0.1222;0.2069;-0.0000;58;52;12154;1.4809;0.0000;0.2968;0.1355
62;0.0889;0.1259;0.1724;-0.0000;58;52;12154;1.6031;0.0000;0.2968;0.1355
63;0.0926;0.1259;0.0690;-0.0000;58;54;12103;1.7176;0.0000;0.2968;0.1355
64;0.0963;0.1296;-0.0000;-0.0000;56;54;12154;1.8321;0.0000;0.2968;0.1355
65;0.1000;0.1296;-0.0345;-0.0000;54;52;12154;1.9924;0.0076;0.2968;0.1355
66;0.1037;0.1333;-0.0690;-0.0000;54;52;12154;2.1069;0.0076;0.2968;0.1355
67;0.1074;0.1333;-0.0345;-0.0000;52;50;12154;2.2672;0.0076;0.2968;0.2155
68;0.1111;0.1370;-0.0345;-0.0000;48;48;12154;2.4198;0.0076;0.2968;0.2155
69;0.1185;0.1370;-0.0000;-0.0000;48;46;12154;2.5802;0.0076;0.2968;0.2155
70;0.1222;0.1407;-0.0000;-0.0000;46;44;12154;2.7328;0.0076;0.2968;0.2155
71;0.1222;0.1407;-0.0345;-0.0000;44;42;12205;2.8931;0.0076;0.2968;0.2155
72;0.1222;0.1444;-0.1034;-0.0000;46;46;12205;3.0076;0.0076;0.2968;0.2955
73;0.1259;0.1444;-0.1379;-0.0000;46;46;12205;3.1679;0.0076;0.2968;0.2955
74;0.1259;0.1481;-0.1724;-0.0000;48;50;12154;3.2824;0.0076;0.2748;0.2955
75;0.1259;0.1519;-0.1724;-0.0000;52;54;12205;3.3969;0.0153;0.2748;0.2955
76;0.1333;0.1519;-0.1379;-0.0000;44;44;12205;3.6336;0.0153;0.2748;0.2955
77;0.1370;0.1556;-0.1724;-0.0000;44;46;12205;3.7939;0.0153;0.2528;0.3754
78;0.1370;0.1556;-0.1724;-0.0000;44;46;12205;3.9466;0.0153;0.2528;0.3754
79;0.1444;0.1593;-0.1379;-0.0000;40;42;12205;4.1450;0.0153;0.2528;0.3754
80;0.1444;0.1593;-0.1379;-0.0000;42;44;12205;4.2977;0.0153;0.2308;0.3754
81;0.1407;0.1630;-0.1034;-0.0000;48;48;12205;4.4198;0.0153;0.2308;0.3754
82;0.1444;0.1630;-0.0690;-0.0000;50;50;12205;4.5725;0.0153;0.2308;0.4554
83;0.1444;0.1667;-0.0345;-0.0000;52;50;12205;4.7328;0.0153;0.2308;0.4554
84;0.1481;0.1667;0.0345;-0.0000;50;46;12154;4.9237;0.0153;0.2308;0.4554
85;0.1556;0.1704;0.0690;-0.0000;48;44;12205;5.1221;0.0229;0.2308;0.4554
86;0.1593;0.1704;0.0690;-0.0000;46;42;12205;5.3130;0.0229;0.2528;0.4554
87;0.1593;0.1741;0.0690;-0.0000;48;46;12205;5.4733;0.0229;0.2528;0.5353
88;0.1593;0.1778;0.0345;-0.0000;50;48;12154;5.6260;0.0229;0.2528;0.5353
89;0.1556;0.1778;-0.0000;-0.0000;54;50;12205;5.7863;0.0229;0.2528;0.5353
90;0.1556;0.1815;-0.0000;-0.0000;56;54;12205;5.9389;0.0229;0.2528;0.5353
91;0.1593;0.1815;-0.0345;-0.0000;54;52;12154;6.1374;0.0229;0.2528;0.5353
92;0.1667;0.1852;-0.0345;-0.0000;50;48;12205;6.3740;0.0229;0.2528;0.6153
93;0.1741;0.1852;-0.0690;-0.0000;44;44;12205;6.6031;0.0229;0.2528;0.6153
94;0.1741;0.1889;-0.1034;-0.0000;48;48;12205;6.7634;0.0305;0.2308;0.6153
95;0.1704;0.1889;-0.1724;-0.0000;52;54;12205;6.9160;0.0305;0.2308;0.6153
96;0.1741;0.1926;-0.1724;-0.0000;52;54;12205;7.1145;0.0305;0.2308;0.6953
97;0.1741;0.1926;-0.0690;-0.0000;52;52;12154;7.3130;0.0305;0.2308;0.6953
98;0.1815;0.1963;0.0690;-0.0000;50;48;12154;7.5420;0.0305;0.2308;0.6953
99;0.1852;0.2000;0.1379;-0.0000;48;44;12154;7.7786;0.0305;0.2308;0.7752
100;0.1852;0.2000;0.1379;-0.0000;50;44;12205;7.9771;0.0305;0.2308;0.7752
101;0.1926;0.2037;0.1034;-0.0000;48;44;12205;8.2137;0.0305;0.2528;0.7752
102;0.1926;0.2037;0.0345;-0.0000;50;46;12205;8.4046;0.0305;0.2528;0.7752
103;0.1926;0.2074;0.0345;-0.0000;52;48;12205;8.6031;0.0382;0.2528;0.8552
104;0.1963;0.2074;-0.0000;-0.0000;50;46;12205;8.8397;0.0382;0.2528;0.8552
105;0.2000;0.2111;-0.1034;-0.0000;46;46;12205;9.0687;0.0382;0.2528;0.8552
106;0.2037;0.2111;-0.1034;-0.0000;46;44;12205;9.3053;0.0382;0.2528;0.8552
107;0.1963;0.2148;-0.1379;-0.0000;52;52;12205;9.4656;0.0382;0.2308;0.9351
108;0.2000;0.2148;-0.1379;-0.0000;50;50;12205;9.6947;0.0382;0.2308;0.9351
109;0.2074;0.2185;-0.1034;-0.0000;46;46;12154;9.9695;0.0382;0.2308;0.9351
110;0.2148;0.2185;-0.0345;-0.0000;42;40;12205;10.2443;0.0458;0.2308;1.0151
111;0.2148;0.2222;0.0690;-0.0000;44;40;12205;10.4809;0.0458;0.2308;1.0151
112;0.2148;0.2259;0.0690;-0.0000;50;44;12205;10.6718;0.0458;0.2308;1.0151
113;0.2148;0.2259;0.0345;-0.0000;48;46;12205;10.9084;0.0458;0.2308;1.0151
114;0.2185;0.2296;0.0345;-0.0000;50;46;12205;11.1450;0.0458;0.2528;1.0951
115;0.2185;0.2296;-0.0000;-0.0000;50;46;12205;11.3817;0.0458;0.2528;1.0951
116;0.2222;0.2333;-0.0000;-0.0000;50;48;12205;11.6107;0.0458;0.2528;1.0951
117;0.2185;0.2333;0.0345;-0.0000;56;52;12205;11.8092;0.0458;0.2528;1.1750
118;0.2222;0.2370;-0.0345;-0.0000;52;50;12205;12.0840;0.0534;0.2528;1.1750
119;0.2333;0.2370;-0.0690;-0.0000;46;44;12154;12.3969;0.0534;0.2528;1.1750
120;0.2333;0.2407;-0.0690;-0.0000;48;46;12205;12.6336;0.0534;0.2528;1.2550
121;0.2333;0.2407;-0.0690;-0.0000;50;48;12205;12.8626;0.0534;0.2308;1.2550
122;0.2333;0.2444;-0.0345;-0.0000;52;50;12205;13.0992;0.0534;0.2308;1.2550
123;0.2333;0.2444;-0.0690;-0.0000;54;52;12205;13.3359;0.0534;0.2308;1.2550
124;0.2370;0.2481;-0.0690;-0.0000;52;50;12205;13.6107;0.0534;0.2308;1.3349
125;0.2407;0.2519;0.0345;-0.0000;52;48;12205;13.8855;0.0611;0.2308;1.3349
126;0.2444;0.2519;0.0345;-0.0000;50;48;12154;14.1527;0.0611;0.2308;1.4149
127;0.2407;0.2556;0.0345;-0.0000;54;50;12154;14.3893;0.0611;0.2308;1.4149
128;0.2444;0.2556;0.0345;-0.0000;52;50;12205;14.6641;0.0611;0.2308;1.4149
129;0.2444;0.2593;-0.0345;-0.0000;56;54;12154;14.9389;0.0611;0.2308;1.4149
130;0.2481;0.2593;-0.0000;-0.0000;56;54;12154;15.2137;0.0611;0.2308;1.4949
131;0.2481;0.2630;-0.0000;-0.0000;56;54;12205;15.4886;0.0687;0.2308;1.4949
132;0.2556;0.2630;-0.1034;-0.0000;50;50;12205;15.8015;0.0687;0.2308;1.5748
