Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;Battery(mV);PosX(m);PosY(m);Angle(rad);Dist
0;-0.0000;-0.0000;-0.0345;-0.0000;1;1;0;12256;0.0000;0.0000;-0.0109;-0.0244
1;-0.0000;0.0037;-0.0345;-0.0000;3;3;0;12256;0.0000;0.0000;-0.0109;-0.0244
2;-0.0000;0.0037;-0.0345;-0.0000;5;5;0;12205;0.0000;0.0000;-0.0109;-0.0244
3;-0.0000;0.0074;-0.0345;-0.0000;7;7;0;12205;0.0000;0.0000;-0.0109;-0.0244
4;-0.0000;0.0074;-0.0345;-0.0000;9;9;0;12256;0.0000;0.0000;-0.0109;-0.0244
5;-0.0000;0.0111;-0.0345;-0.0000;11;11;0;12256;0.0000;0.0000;-0.0109;-0.0244
6;-0.0000;0.0111;-0.0345;-0.0000;13;13;0;12256;0.0000;0.0000;-0.0109;-0.0244
7;-0.0000;0.0148;-0.0345;-0.0000;17;17;0;12205;0.0000;0.0000;-0.0109;-0.0244
8;-0.0000;0.0148;-0.0345;-0.0000;19;19;0;12205;0.0000;0.0000;-0.0109;-0.0244
9;-0.0000;0.0185;-0.0345;-0.0000;21;21;0;12256;0.0000;0.0000;-0.0109;-0.0244
10;-0.0000;0.0185;-0.0000;-0.0000;22;22;0;12256;0.0000;0.0000;-0.0109;-0.0244
11;-0.0000;0.0222;-0.0000;-0.0000;24;24;0;12256;0.0000;0.0000;-0.0109;-0.0244
12;-0.0000;0.0259;-0.0000;-0.0000;26;26;0;12256;0.0000;0.0000;-0.0109;-0.0244
13;-0.0000;0.0259;-0.0345;-0.0000;30;30;0;12256;0.0000;0.0000;-0.0109;-0.0244
14;-0.0000;0.0296;-0.0345;-0.0000;32;32;0;12256;0.0000;0.0000;-0.0109;-0.0244
15;-0.0000;0.0296;-0.0345;-0.0000;34;34;0;12256;0.0000;0.0000;-0.0109;-0.0244
16;-0.0000;0.0333;-0.0000;-0.0000;36;36;0;12205;0.0000;0.0000;-0.0109;-0.0244
17;-0.0000;0.0333;-0.0000;-0.0000;38;38;0;12205;0.0000;0.0000;-0.0109;-0.0244
18;-0.0000;0.0370;-0.0000;-0.0000;42;42;0;12205;0.0000;0.0000;-0.0109;-0.0244
19;-0.0000;0.0370;-0.0345;-0.0000;44;44;0;12205;0.0000;0.0000;-0.0109;-0.0244
20;-0.0000;0.0407;-0.0000;-0.0000;48;48;0;12205;0.0000;0.0000;-0.0109;-0.0244
21;-0.0000;0.0407;-0.0000;-0.0000;50;50;0;12205;0.0000;0.0000;-0.0109;-0.0244
22;0.0037;0.0444;-0.0345;-0.0000;48;50;0;12205;0.0382;0.0000;-0.0109;-0.0244
23;0.0037;0.0444;-0.0345;-0.0000;48;48;0;12154;0.0382;0.0000;-0.0109;-0.0244
24;0.0111;0.0481;-0.0000;-0.0000;44;44;0;12154;0.1145;0.0000;-0.0109;-0.0244
25;0.0185;0.0519;-0.0000;-0.0000;40;38;0;12154;0.1145;0.0000;-0.0109;-0.0244
26;0.0259;0.0519;-0.0345;-0.0000;36;36;0;12205;0.1145;0.0000;-0.0109;-0.0244
27;0.0296;0.0556;-0.0690;-0.0000;32;34;0;12205;0.1527;0.0000;-0.0109;-0.0244
28;0.0333;0.0556;-0.0690;-0.0000;30;30;0;12205;0.1908;-0.0076;-0.0109;-0.0244
29;0.0370;0.0593;-0.0690;-0.0000;28;28;0;12205;0.1908;-0.0076;-0.0328;-0.0244
30;0.0407;0.0593;-0.0690;-0.0000;26;28;0;12205;0.2672;-0.0076;-0.0328;-0.0244
31;0.0444;0.0630;-0.0690;-0.0000;26;26;0;12205;0.3053;-0.0076;-0.0328;-0.0244
32;0.0481;0.0630;-0.0690;-0.0000;26;26;0;12205;0.3053;-0.0076;-0.0328;-0.0244
33;0.0519;0.0667;-0.1034;-0.0000;24;26;0;12256;0.3511;-0.0076;-0.0328;-0.0244
34;0.0556;0.0667;-0.1034;-0.0000;24;26;0;12256;0.3511;-0.0076;-0.0328;-0.0244
35;0.0556;0.0704;-0.0690;-0.0000;24;26;0;12256;0.3893;-0.0076;-0.0328;-0.0244
36;0.0593;0.0704;-0.0690;-0.0000;24;26;0;12256;0.4656;-0.0076;-0.0548;-0.0244
37;0.0593;0.0741;-0.0345;-0.0000;26;26;0;12205;0.4656;-0.0076;-0.0548;-0.0244
38;0.0630;0.0778;-0.0345;-0.0000;26;26;0;12205;0.4656;-0.0076;-0.0548;-0.0244
39;0.0630;0.0778;-0.0690;-0.0000;26;28;0;12205;0.5038;-0.0076;-0.0548;-0.0244
40;0.0630;0.0815;-0.0690;-0.0000;28;28;0;12205;0.5420;-0.0076;-0.0548;-0.0244
41;0.0667;0.0815;-0.0690;-0.0000;28;30;0;12205;0.5420;-0.0076;-0.0548;-0.0244
42;0.0667;0.0852;-0.0345;-0.0000;30;30;0;12205;0.5420;-0.0076;-0.0548;-0.0244
43;0.0667;0.0852;-0.0345;-0.0000;32;32;0;12205;0.5420;-0.0076;-0.0548;-0.0244
44;0.0704;0.0889;-0.0345;-0.0000;32;32;0;12256;0.5802;-0.0076;-0.0548;0.0556
45;0.0704;0.0889;-0.0000;-0.0000;34;34;0;12256;0.5802;-0.0076;-0.0548;0.0556
46;0.0704;0.0926;-0.0345;-0.0000;36;36;0;12205;0.6183;-0.0076;-0.0548;0.0556
47;0.0704;0.0926;-0.0345;-0.0000;38;38;0;12205;0.6183;-0.0076;-0.0548;0.0556
48;0.0704;0.0963;-0.0345;-0.0000;40;40;0;12205;0.6183;-0.0076;-0.0548;0.0556
49;0.0704;0.1000;-0.0000;-0.0000;42;42;0;12205;0.6183;-0.0076;-0.0548;0.0556
50;0.0741;0.1000;0.0690;-0.0000;44;44;0;12205;0.6641;-0.0076;-0.0548;0.0556
51;0.0741;0.1037;0.1724;-0.0000;48;44;0;12205;0.7023;-0.0076;-0.0328;0.0556
52;0.0778;0.1037;0.1379;-0.0000;46;42;0;12205;0.8168;-0.0076;-0.0328;0.0556
53;0.0778;0.1074;0.1379;-0.0000;48;46;0;12205;0.8168;-0.0076;-0.0328;0.0556
54;0.0778;0.1074;-0.0000;-0.0000;50;50;0;12205;0.8550;-0.0076;-0.0328;0.0556
55;0.0778;0.1111;-0.1724;-0.0000;50;54;0;12205;0.8550;-0.0076;-0.0328;0.0556
56;0.0778;0.1111;-0.1724;-0.0000;54;56;0;12154;0.8931;-0.0076;-0.0328;0.0556
57;0.0778;0.1148;-0.2069;-0.0000;56;60;0;12154;0.9771;-0.0076;-0.0548;0.0556
58;0.0778;0.1148;-0.1379;-0.0000;58;62;0;12154;1.0534;-0.0076;-0.0548;0.0556
59;0.0778;0.1185;-0.0345;-0.0000;62;64;0;12103;1.1298;-0.0076;-0.0548;0.0556
60;0.0815;0.1185;-0.0345;-0.0000;62;62;0;12103;1.2443;-0.0076;-0.0548;0.0556
61;0.0815;0.1222;-0.0000;-0.0000;64;64;0;12103;1.3282;-0.0076;-0.0548;0.0556
62;0.0852;0.1259;-0.0000;-0.0000;64;64;0;12103;1.4427;-0.0076;-0.0548;0.1355
63;0.0926;0.1259;-0.0690;-0.0000;58;60;0;12051;1.6031;-0.0076;-0.0548;0.1355
64;0.0926;0.1296;-0.1034;-0.0000;58;60;0;12051;1.7176;-0.0076;-0.0768;0.1355
65;0.0963;0.1296;-0.1379;-0.0000;58;60;0;12103;1.8321;-0.0076;-0.0768;0.1355
66;0.1000;0.1333;-0.1379;-0.0000;54;58;0;12051;1.9924;-0.0076;-0.0768;0.1355
67;0.1074;0.1333;-0.1034;-0.0000;52;54;0;12051;2.1450;-0.0076;-0.0988;0.1355
68;0.1111;0.1370;-0.1034;-0.0000;50;52;0;12103;2.3053;-0.0076;-0.0988;0.2155
69;0.1148;0.1370;-0.1034;-0.0000;48;50;0;12103;2.4580;-0.0076;-0.0988;0.2155
70;0.1185;0.1407;-0.0345;-0.0000;48;48;0;12154;2.6183;-0.0076;-0.0988;0.2155
71;0.1185;0.1407;-0.0345;-0.0000;50;50;0;12154;2.7328;-0.0076;-0.0988;0.2155
72;0.1222;0.1444;-0.1034;-0.0000;48;50;0;12154;2.8931;-0.0076;-0.0988;0.2155
73;0.1222;0.1444;-0.1724;-0.0000;50;52;0;12154;3.0076;-0.0076;-0.1207;0.2955
74;0.1259;0.1481;-0.2414;-0.0000;48;52;0;12103;3.1679;-0.0076;-0.1207;0.2955
75;0.1296;0.1519;-0.2759;-0.0000;48;52;0;12154;3.3206;-0.0076;-0.1427;0.2955
76;0.1296;0.1519;-0.3448;-0.0000;48;52;0;12154;3.4809;-0.0076;-0.1647;0.2955
77;0.1370;0.1556;-0.3448;-0.0000;42;50;0;12103;3.7099;-0.0076;-0.1867;0.2955
78;0.1407;0.1556;-0.3103;-0.0000;44;50;0;12103;3.8702;-0.0076;-0.1867;0.3754
79;0.1370;0.1593;-0.3103;-0.0000;48;54;0;12154;3.9847;-0.0076;-0.2086;0.3754
80;0.1407;0.1593;-0.2414;-0.0000;46;50;0;12154;4.1832;-0.0076;-0.2306;0.3754
81;0.1444;0.1630;-0.1724;-0.0000;48;50;0;12154;4.3359;-0.0076;-0.2306;0.3754
82;0.1481;0.1630;-0.1379;-0.0000;44;48;0;12154;4.5344;-0.0076;-0.2306;0.3754
83;0.1481;0.1667;-0.0345;-0.0000;48;48;0;12154;4.6870;-0.0153;-0.2526;0.4554
84;0.1481;0.1667;-0.0345;-0.0000;50;50;0;12154;4.8473;-0.0153;-0.2526;0.4554
85;0.1556;0.1704;-0.0000;-0.0000;48;48;0;12154;5.0458;-0.0153;-0.2526;0.4554
86;0.1556;0.1704;0.0345;-0.0000;50;50;0;12154;5.1985;-0.0153;-0.2306;0.4554
87;0.1556;0.1741;-0.0000;-0.0000;52;52;0;12154;5.3588;-0.0153;-0.2306;0.5353
88;0.1593;0.1778;-0.0000;-0.0000;50;50;0;12154;5.5496;-0.0153;-0.2306;0.5353
89;0.1593;0.1778;-0.0345;-0.0000;52;54;0;12154;5.7099;-0.0153;-0.2306;0.5353
90;0.1593;0.1815;-0.0690;-0.0000;56;56;0;12154;5.8626;-0.0153;-0.2306;0.5353
91;0.1630;0.1815;-0.0000;-0.0000;54;54;0;12103;6.0611;-0.0153;-0.2306;0.5353
92;0.1630;0.1852;-0.0345;-0.0000;54;54;0;12103;6.2519;-0.0153;-0.2306;0.6153
93;0.1630;0.1852;-0.0345;-0.0000;56;58;0;12154;6.4122;-0.0153;-0.2306;0.6153
94;0.1704;0.1889;-0.0690;-0.0000;52;54;0;12103;6.6489;-0.0229;-0.2526;0.6153
95;0.1778;0.1889;-0.1379;-0.0000;46;50;0;12103;6.8779;-0.0229;-0.2526;0.6153
96;0.1778;0.1926;-0.1724;-0.0000;48;50;0;12103;7.0763;-0.0229;-0.2526;0.6953
97;0.1815;0.1926;-0.1379;-0.0000;48;50;0;12154;7.2748;-0.0229;-0.2746;0.6953
98;0.1815;0.1963;-0.1379;-0.0000;50;52;0;12154;7.4656;-0.0229;-0.2746;0.6953
99;0.1852;0.2000;-0.0000;-0.0000;48;48;0;12154;7.7023;-0.0229;-0.2746;0.6953
100;0.1889;0.2000;0.0690;-0.0000;50;48;0;12154;7.9008;-0.0229;-0.2746;0.7752
101;0.1889;0.2037;0.0690;-0.0000;52;50;0;12154;8.0916;-0.0229;-0.2526;0.7752
102;0.1926;0.2037;0.1379;-0.0000;50;46;0;12154;8.3282;-0.0305;-0.2526;0.7752
103;0.1963;0.2074;0.1034;-0.0000;48;46;0;12154;8.5649;-0.0305;-0.2526;0.8552
104;0.2000;0.2074;0.1379;-0.0000;46;44;0;12154;8.7939;-0.0305;-0.2306;0.8552
105;0.2037;0.2111;0.0345;-0.0000;44;44;0;12154;9.0305;-0.0305;-0.2306;0.8552
106;0.2037;0.2111;-0.0690;-0.0000;46;48;0;12154;9.2290;-0.0305;-0.2306;0.8552
107;0.2000;0.2148;-0.0690;-0.0000;50;50;0;12205;9.4198;-0.0305;-0.2306;0.9351
108;0.2037;0.2148;-0.0690;-0.0000;48;50;0;12154;9.6565;-0.0305;-0.2306;0.9351
109;0.2074;0.2185;-0.1034;-0.0000;48;50;0;12154;9.8931;-0.0305;-0.2526;0.9351
110;0.2185;0.2185;-0.0690;-0.0000;38;40;0;12154;10.2061;-0.0382;-0.2526;1.0151
111;0.2148;0.2222;-0.0690;-0.0000;44;46;0;12205;10.4046;-0.0382;-0.2526;1.0151
112;0.2148;0.2259;-0.0345;-0.0000;48;50;0;12154;10.5954;-0.0382;-0.2526;1.0151
113;0.2148;0.2259;0.0345;-0.0000;50;50;0;12154;10.8321;-0.0382;-0.2526;1.0151
114;0.2148;0.2296;0.1034;-0.0000;54;54;0;12205;11.0305;-0.0382;-0.2526;1.0951
115;0.2185;0.2296;0.0690;-0.0000;50;50;0;12154;11.2977;-0.0382;-0.2306;1.0951
116;0.2259;0.2333;0.0690;-0.0000;48;46;0;12154;11.5725;-0.0382;-0.2306;1.0951
117;0.2259;0.2333;0.1034;-0.0000;50;48;0;12154;11.8092;-0.0382;-0.2306;1.1750
118;0.2259;0.2370;0.1379;-0.0000;50;48;0;12205;12.0458;-0.0458;-0.2086;1.1750
