Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;Battery(mV);PosX(m);PosY(m);Angle(rad);Dist
0;-0.0000;-0.0000;-0.0345;-0.0000;-0;-0;0;12256;0.0000;0.0000;0.0000;-0.0000
1;-0.0000;0.0037;-0.0345;-0.0000;-0;-0;0;12256;0.0000;0.0000;-0.0055;-0.0000
2;-0.0000;0.0037;-0.0345;-0.0000;-0;-0;0;12256;0.0000;0.0000;-0.0055;-0.0000
3;-0.0000;0.0074;-0.0345;-0.0000;8;8;0;12256;0.0000;0.0000;-0.0055;-0.0000
4;-0.0000;0.0074;-0.0345;-0.0000;8;8;0;12256;0.0000;0.0000;-0.0055;-0.0000
5;-0.0000;0.0111;-0.0345;-0.0000;8;8;0;12256;0.0000;0.0000;-0.0055;-0.0000
6;-0.0000;0.0111;-0.0345;-0.0000;8;8;0;12256;0.0000;0.0000;-0.0055;-0.0000
7;-0.0000;0.0148;-0.0000;-0.0000;16;16;0;12256;0.0000;0.0000;-0.0055;-0.0000
8;-0.0000;0.0148;-0.0000;-0.0000;16;16;0;12256;0.0000;0.0000;-0.0055;-0.0000
9;-0.0000;0.0185;-0.0000;-0.0000;16;16;0;12256;0.0000;0.0000;0.0000;-0.0000
10;-0.0000;0.0185;-0.0345;-0.0000;16;24;0;12256;0.0000;0.0000;-0.0055;-0.0000
11;-0.0000;0.0222;-0.0345;-0.0000;24;24;0;12256;0.0000;0.0000;-0.0055;-0.0000
12;-0.0000;0.0259;-0.0345;-0.0000;24;24;0;12256;0.0000;0.0000;-0.0055;-0.0000
13;-0.0000;0.0259;-0.0000;-0.0000;24;24;0;12256;0.0000;0.0000;-0.0055;-0.0000
14;-0.0000;0.0296;-0.0000;-0.0000;31;31;0;12256;0.0000;0.0000;-0.0055;-0.0000
15;-0.0000;0.0296;-0.0000;-0.0000;31;31;0;12256;0.0000;0.0000;-0.0055;-0.0000
16;-0.0000;0.0333;-0.0345;-0.0000;31;31;0;12256;0.0000;0.0000;-0.0055;-0.0000
17;-0.0000;0.0333;-0.0345;-0.0000;39;39;0;12256;0.0000;0.0000;-0.0055;-0.0000
18;-0.0000;0.0370;-0.0345;-0.0000;39;39;0;12256;0.0000;0.0000;-0.0055;-0.0000
19;-0.0000;0.0370;-0.0000;-0.0000;39;39;0;12256;0.0000;0.0000;-0.0055;-0.0000
20;-0.0000;0.0407;-0.0345;-0.0000;47;47;0;12256;0.0000;0.0000;-0.0055;-0.0000
21;0.0037;0.0407;-0.0000;-0.0000;39;39;0;12256;0.0382;0.0000;0.0000;-0.0000
22;0.0111;0.0444;0.0345;-0.0000;39;39;0;12256;0.1145;0.0000;0.0000;-0.0000
23;0.0148;0.0444;-0.0000;-0.0000;31;31;0;12256;0.1145;0.0000;0.0000;-0.0000
24;0.0222;0.0481;0.0345;-0.0000;31;31;0;12256;0.1145;0.0000;0.0055;-0.0000
