Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;Battery(mV);PosX(m);PosY(m);Angle(rad);Dist
0;-0.0000;-0.0000;-0.0345;-0.0000;1;1;12051;0.0000;0.0000;-0.0109;-0.0244
1;-0.0000;0.0037;-0.0345;-0.0000;3;3;12051;0.0000;0.0000;-0.0109;-0.0244
2;-0.0000;0.0037;-0.0345;-0.0000;5;5;12103;0.0000;0.0000;-0.0109;-0.0244
3;-0.0000;0.0074;-0.0345;-0.0000;7;7;12103;0.0000;0.0000;-0.0109;-0.0244
4;-0.0000;0.0074;-0.0000;-0.0000;9;9;12051;0.0000;0.0000;-0.0109;-0.0244
5;-0.0000;0.0111;-0.0000;-0.0000;13;11;12051;0.0000;0.0000;-0.0109;-0.0244
6;-0.0000;0.0111;-0.0000;-0.0000;15;15;12051;0.0000;0.0000;-0.0109;-0.0244
7;-0.0000;0.0148;-0.0345;-0.0000;17;17;12103;0.0000;0.0000;-0.0109;-0.0244
8;-0.0000;0.0148;-0.0345;-0.0000;19;19;12103;0.0000;0.0000;-0.0109;-0.0244
9;-0.0000;0.0185;-0.0345;-0.0000;21;21;12051;0.0000;0.0000;-0.0109;-0.0244
10;-0.0000;0.0185;-0.0345;-0.0000;22;22;12051;0.0000;0.0000;-0.0109;-0.0244
11;-0.0000;0.0222;-0.0345;-0.0000;24;24;12051;0.0000;0.0000;-0.0109;-0.0244
12;-0.0000;0.0259;-0.0345;-0.0000;28;28;12103;0.0000;0.0000;-0.0109;-0.0244
13;-0.0000;0.0259;-0.0345;-0.0000;30;30;12103;0.0000;0.0000;-0.0109;-0.0244
14;-0.0000;0.0296;-0.0345;-0.0000;32;32;12051;0.0000;0.0000;-0.0109;-0.0244
15;-0.0000;0.0296;-0.0345;-0.0000;34;34;12051;0.0000;0.0000;-0.0109;-0.0244
16;-0.0000;0.0333;-0.0345;-0.0000;36;36;12051;0.0000;0.0000;-0.0109;-0.0244
17;-0.0000;0.0333;-0.0345;-0.0000;40;40;12051;0.0000;0.0000;-0.0109;-0.0244
18;-0.0000;0.0370;-0.0345;-0.0000;42;44;12051;0.0000;0.0000;-0.0109;-0.0244
19;-0.0000;0.0370;-0.0000;-0.0000;46;46;12051;0.0000;0.0000;-0.0109;-0.0244
20;-0.0000;0.0407;-0.0000;-0.0000;48;48;12051;0.0000;0.0000;-0.0109;-0.0244
21;-0.0000;0.0407;0.0345;-0.0000;52;50;12051;0.0000;0.0000;-0.0109;-0.0244
22;0.0074;0.0444;0.0690;-0.0000;46;44;12000;0.0763;0.0000;-0.0109;-0.0244
23;0.0111;0.0444;0.2069;-0.0000;44;38;12051;0.1145;0.0000;0.0111;-0.0244
24;0.0185;0.0481;0.1379;-0.0000;38;34;12051;0.1527;0.0000;0.0111;-0.0244
25;0.0259;0.0519;-0.0000;-0.0000;34;32;12051;0.1908;0.0000;0.0111;-0.0244
26;0.0296;0.0519;-0.1379;-0.0000;28;32;12051;0.1908;0.0000;0.0111;-0.0244
27;0.0333;0.0556;-0.3103;-0.0000;26;30;12051;0.1908;0.0000;-0.0109;-0.0244
28;0.0370;0.0556;-0.4138;-0.0000;22;30;12051;0.1908;0.0000;-0.0328;-0.0244
29;0.0444;0.0593;-0.3448;-0.0000;22;28;12051;0.1908;0.0000;-0.0548;-0.0244
30;0.0444;0.0593;-0.3448;-0.0000;21;26;12051;0.2290;0.0000;-0.0548;-0.0244
31;0.0481;0.0630;-0.2759;-0.0000;21;26;12051;0.3053;-0.0076;-0.0768;-0.0244
32;0.0519;0.0630;-0.3793;-0.0000;19;26;12051;0.3053;-0.0076;-0.0988;-0.0244
33;0.0556;0.0667;-0.3448;-0.0000;19;26;12051;0.3053;-0.0076;-0.1207;-0.0244
34;0.0556;0.0667;-0.2414;-0.0000;21;24;12051;0.3893;-0.0076;-0.1207;-0.0244
35;0.0593;0.0704;-0.2069;-0.0000;21;24;12051;0.4275;-0.0076;-0.1427;-0.0244
36;0.0593;0.0704;-0.2069;-0.0000;21;24;12051;0.4275;-0.0076;-0.1427;-0.0244
37;0.0630;0.0741;-0.1724;-0.0000;22;26;12051;0.4656;-0.0076;-0.1647;-0.0244
38;0.0630;0.0778;-0.2069;-0.0000;22;26;12103;0.5038;-0.0076;-0.1647;-0.0244
39;0.0630;0.0778;-0.2069;-0.0000;22;28;12051;0.5038;-0.0076;-0.1867;-0.0244
40;0.0667;0.0815;-0.2069;-0.0000;24;28;12103;0.5420;-0.0076;-0.1867;-0.0244
