general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.000000,
angular_acc_feed_forward_k = 0.000350,
angular_brake_feed_forward_k = 0.000300,
angular_vel_feed_forward_k = 0.003000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.009000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 64.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.010000,
angular_static_ff = 0.010000,
angular_coulomb_ff_inplace = 0.110000,
angular_static_ff_inplace = 0.130000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
17.5;0.5046;0.5064;-0.3214;0.0000;67;65;0.0049;9.2672;-0.0229;-0.2746;8.5518;181.6;270.0;270.0;195.3
18.0;0.5046;0.5069;-0.3201;0.0000;67;65;0.0049;9.5115;-0.0229;-0.2965;9.3514;182.1;270.0;270.0;195.8
18.5;0.5055;0.5073;-0.3228;0.0000;67;65;0.0831;9.7939;-0.0305;-0.2965;9.3514;182.6;270.0;270.0;195.6
19.0;0.5060;0.5078;-0.3201;0.0000;67;65;0.0049;10.0382;-0.0305;-0.3185;9.3514;182.4;270.0;270.0;195.6
19.5;0.5060;0.5078;-0.3228;0.0000;67;65;0.0049;10.2824;-0.0305;-0.3185;10.1510;183.4;270.0;270.0;195.3
20.0;0.5064;0.5082;-0.3324;0.0000;67;67;0.0049;10.5267;-0.0305;-0.3405;10.1510;184.0;270.0;270.0;196.1
20.5;0.5073;0.5087;-0.3338;0.0000;67;67;0.0929;10.8092;-0.0305;-0.3405;10.1510;183.4;270.0;270.0;195.8
21.0;0.5073;0.5092;-0.3489;0.0000;67;67;0.0049;11.0534;-0.0382;-0.3405;10.9506;182.4;270.0;270.0;195.6
21.5;0.5078;0.5096;-0.3434;0.0000;67;67;0.0049;11.2977;-0.0382;-0.3624;10.9506;182.9;270.0;270.0;195.3
22.0;0.5096;0.5101;-0.3503;0.0000;65;67;0.0049;11.6260;-0.0382;-0.3624;10.9506;182.4;270.0;270.0;195.8
22.5;0.5105;0.5105;-0.3352;0.0000;65;65;0.0049;11.8626;-0.0382;-0.3844;11.7503;182.4;270.0;270.0;195.3
23.0;0.5119;0.5110;-0.3420;0.0000;65;65;0.0929;12.1527;-0.0382;-0.3844;11.7503;181.6;270.0;270.0;195.3
23.5;0.5128;0.5114;-0.3008;0.0000;65;65;0.0049;12.3969;-0.0458;-0.4064;11.7503;182.1;270.0;270.0;195.3
24.0;0.5142;0.5119;-0.2761;0.0000;65;64;-0.0733;12.6794;-0.0458;-0.4064;12.5499;181.8;270.0;270.0;195.0
24.5;0.5147;0.5124;-0.2321;0.0000;65;64;-0.0733;12.9618;-0.0458;-0.4064;12.5499;182.1;270.0;270.0;195.0
25.0;0.5151;0.5128;-0.2060;0.0000;65;64;0.0049;13.2061;-0.0458;-0.4284;12.5499;182.1;270.0;270.0;195.0
25.5;0.5160;0.5137;-0.2033;0.0000;67;64;-0.0831;13.4886;-0.0534;-0.4284;13.3495;183.4;270.0;270.0;195.0
26.0;0.5165;0.5142;-0.1731;0.0000;67;64;0.0049;13.7328;-0.0534;-0.4284;13.3495;182.1;270.0;270.0;194.8
26.5;0.5183;0.5147;-0.1744;0.0000;67;64;0.0049;14.0611;-0.0534;-0.4284;13.3495;182.4;270.0;270.0;195.0
27.0;0.5201;0.5151;-0.1525;0.0000;65;62;-0.0831;14.3435;-0.0534;-0.4284;14.1491;182.1;270.0;270.0;195.0
27.5;0.5211;0.5156;-0.1758;0.0000;65;62;0.0831;14.6336;-0.0611;-0.4503;14.1491;182.4;270.0;270.0;194.8
28.0;0.5220;0.5165;-0.1827;0.0000;65;62;0.0049;14.8779;-0.0611;-0.4503;14.1491;182.1;270.0;270.0;194.8
28.5;0.5220;0.5169;-0.2060;0.0000;67;64;0.0049;15.1145;-0.0611;-0.4503;14.9487;182.6;270.0;270.0;195.0
29.0;0.5234;0.5174;-0.2143;0.0000;65;62;0.0049;15.4427;-0.0687;-0.4503;14.9487;183.2;270.0;270.0;195.8
29.5;0.5252;0.5179;-0.2074;0.0000;65;62;-0.0831;15.7252;-0.0687;-0.4723;14.9487;184.5;270.0;270.0;195.6
30.0;0.5270;0.5188;-0.1951;0.0000;64;62;0.0831;16.0153;-0.0687;-0.4723;15.7483;183.2;270.0;270.0;195.3
30.5;0.5284;0.5192;-0.2047;0.0000;64;60;-0.0831;16.2977;-0.0687;-0.4723;15.7483;182.4;270.0;270.0;195.0
31.0;0.5302;0.5201;-0.2047;0.0000;64;58;-0.0831;16.5802;-0.0763;-0.4943;16.5479;182.6;270.0;270.0;194.8
31.5;0.5321;0.5206;-0.1799;0.0000;62;58;0.0831;16.8626;-0.0763;-0.4943;16.5479;182.4;270.0;270.0;195.0
32.0;0.5334;0.5211;-0.1690;0.0000;62;58;-0.0831;17.1527;-0.0763;-0.4943;16.5479;182.9;270.0;270.0;194.8
32.5;0.5343;0.5220;-0.1387;0.0000;62;58;-0.0049;17.3969;-0.0840;-0.4943;17.3475;182.6;270.0;270.0;194.8
33.0;0.5353;0.5224;-0.1332;0.0000;64;58;-0.0049;17.6412;-0.0840;-0.4943;17.3475;182.9;270.0;270.0;194.8
33.5;0.5353;0.5234;-0.1181;0.0000;65;60;-0.0049;17.8855;-0.0840;-0.4943;17.3475;182.4;270.0;270.0;194.8
34.0;0.5348;0.5238;-0.1429;0.0000;65;62;0.0049;18.1298;-0.0840;-0.5163;17.3475;182.6;270.0;270.0;194.8
34.5;0.5353;0.5247;-0.1374;0.0000;67;62;-0.0831;18.4122;-0.0916;-0.5163;18.1471;182.4;270.0;270.0;194.8
35.0;0.5353;0.5252;-0.1291;0.0000;67;62;-0.0049;18.6565;-0.0916;-0.5163;18.1471;183.4;270.0;270.0;195.3
35.5;0.5366;0.5261;-0.1429;0.0000;67;64;0.0049;18.9771;-0.0916;-0.5163;18.9467;182.9;270.0;270.0;195.0
36.0;0.5380;0.5266;-0.1442;0.0000;67;62;-0.0831;19.2672;-0.0992;-0.5163;18.9467;182.6;270.0;270.0;194.8
36.5;0.5389;0.5275;-0.1484;0.0000;67;62;0.0049;19.5115;-0.0992;-0.5382;18.9467;182.4;270.0;270.0;194.8
37.0;0.5398;0.5284;-0.1374;0.0000;67;62;-0.0831;19.7939;-0.0992;-0.5382;19.7464;182.6;270.0;270.0;194.8
37.5;0.5417;0.5288;-0.1429;0.0000;67;62;0.0049;20.1145;-0.1069;-0.5382;19.7464;182.4;270.0;270.0;195.0
38.0;0.5435;0.5298;-0.1209;0.0000;67;60;-0.0831;20.4046;-0.1069;-0.5382;19.7464;182.9;270.0;270.0;194.8
38.5;0.5453;0.5307;-0.1346;0.0000;65;60;-0.0831;20.6870;-0.1145;-0.5382;20.5460;182.9;270.0;270.0;194.8
39.0;0.5476;0.5316;-0.1291;0.0000;65;58;-0.0049;21.0153;-0.1145;-0.5382;20.5460;182.9;270.0;270.0;194.8
39.5;0.5504;0.5321;-0.1593;0.0000;62;56;0.0049;21.3359;-0.1145;-0.5602;20.5460;182.9;270.0;270.0;195.3
40.0;0.5517;0.5330;-0.1552;0.0000;62;56;0.0049;21.5802;-0.1221;-0.5602;21.3456;182.9;270.0;270.0;194.8
40.5;0.5527;0.5339;-0.1552;0.0000;62;56;0.0049;21.8244;-0.1221;-0.5602;21.3456;182.4;270.0;270.0;194.8
41.0;0.5536;0.5348;-0.1717;0.0000;64;58;-0.0831;22.1069;-0.1221;-0.5602;21.3456;182.9;270.0;270.0;194.8
41.5;0.5545;0.5353;-0.1882;0.0000;64;58;-0.0831;22.3969;-0.1298;-0.5822;22.1452;184.5;270.0;270.0;194.5
42.0;0.5554;0.5362;-0.2129;0.0000;62;58;0.0831;22.6794;-0.1298;-0.5822;22.1452;183.4;270.0;270.0;194.5
42.5;0.5568;0.5371;-0.1951;0.0000;64;58;-0.0831;22.9618;-0.1298;-0.5822;22.9448;183.4;270.0;270.0;194.5
43.0;0.5586;0.5380;-0.1992;0.0000;62;58;0.0049;23.2901;-0.1374;-0.5822;22.9448;182.6;270.0;270.0;194.5
43.5;0.5600;0.5389;-0.1841;0.0000;62;56;-0.0831;23.5725;-0.1374;-0.6042;22.9448;183.2;270.0;270.0;194.5
44.0;0.5618;0.5398;-0.2060;0.0000;62;58;0.0049;23.9008;-0.1450;-0.6042;23.7444;182.6;270.0;270.0;194.5
44.5;0.5623;0.5408;-0.2005;0.0000;62;58;0.0049;24.1450;-0.1450;-0.6042;23.7444;182.9;270.0;270.0;194.5
45.0;0.5632;0.5417;-0.1937;0.0000;64;58;-0.0831;24.4275;-0.1450;-0.6042;23.7444;182.1;270.0;270.0;194.5
45.5;0.5641;0.5426;-0.1703;0.0000;64;60;0.0049;24.7481;-0.1527;-0.6261;24.5440;182.6;270.0;270.0;194.3
46.0;0.5641;0.5435;-0.1387;0.0000;65;60;0.0049;24.9924;-0.1527;-0.6261;24.5440;182.4;270.0;270.0;194.8
46.5;0.5646;0.5444;-0.1538;0.0000;65;62;0.0831;25.2824;-0.1603;-0.6261;24.5440;182.9;270.0;270.0;194.8
47.0;0.5659;0.5453;-0.1415;0.0000;65;62;0.0049;25.6031;-0.1603;-0.6261;25.3436;182.9;270.0;270.0;194.3
47.5;0.5664;0.5462;-0.1497;0.0000;65;62;0.0049;25.8473;-0.1603;-0.6261;25.3436;182.9;270.0;270.0;194.5
48.0;0.5673;0.5472;-0.1374;0.0000;67;62;-0.0831;26.1374;-0.1679;-0.6481;25.3436;182.9;270.0;270.0;195.0
48.5;0.5678;0.5481;-0.1360;0.0000;67;62;-0.0831;26.4198;-0.1679;-0.6481;26.1432;184.0;270.0;270.0;194.5
49.0;0.5678;0.5495;-0.1181;0.0000;69;64;-0.0049;26.6641;-0.1679;-0.6481;26.1432;182.9;270.0;270.0;194.8
49.5;0.5682;0.5504;-0.1401;0.0000;69;65;0.0049;26.9847;-0.1756;-0.6481;26.9428;182.9;270.0;270.0;194.5
50.0;0.5691;0.5513;-0.1882;0.0000;71;65;-0.0831;27.2748;-0.1756;-0.6481;26.9428;182.4;270.0;270.0;194.3
50.5;0.5687;0.5522;-0.1648;0.0000;71;67;-0.0831;27.5573;-0.1832;-0.6481;26.9428;182.9;270.0;270.0;194.0
51.0;0.5691;0.5531;-0.1868;0.0000;73;67;0.0831;27.8397;-0.1832;-0.6701;27.7425;182.9;270.0;270.0;194.5
51.5;0.5705;0.5545;-0.1593;0.0000;71;67;0.0049;28.1679;-0.1908;-0.6701;27.7425;183.7;270.0;270.0;194.3
52.0;0.5710;0.5554;-0.1744;0.0000;73;69;0.0049;28.4122;-0.1908;-0.6701;27.7425;182.9;270.0;270.0;194.0
