>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
--- 40 mm Summary | Avg: L=10 FL=21 FR=2001 R=2801 ---

>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,11,20,2415,2747
50,2,10,18,2426,2752
50,3,10,16,2425,2745
50,4,10,16,2421,2748
50,5,10,16,2426,2751
50,6,10,16,2423,2743
50,7,10,16,2421,2749
50,8,10,15,2415,2747
50,9,10,17,2417,2751
50,10,10,15,2423,2745
50,11,11,14,2423,2752
50,12,10,17,2434,2754
50,13,10,15,2424,2743
50,14,10,15,2425,2750
50,15,10,18,2421,2747
50,16,11,16,2415,2750
50,17,10,14,2423,2745
50,18,10,17,2430,2750
50,19,10,16,2428,2746
50,20,10,15,2423,2744
50,21,10,14,2419,2750
50,22,10,17,2426,2747
50,23,10,15,2427,2751
50,24,11,15,2426,2742
50,25,10,14,2422,2745
50,26,10,16,2423,2747
50,27,10,16,2427,2749
50,28,10,15,2427,2750
50,29,10,15,2425,2746
50,30,10,15,2416,2747
50,31,10,17,2432,2753
50,32,10,16,2424,2743
50,33,10,16,2423,2748
50,34,10,14,2421,2746
50,35,10,16,2430,2754
50,36,10,17,2424,2744
50,37,10,15,2417,2748
50,38,10,15,2428,2749
50,39,10,15,2423,2743
50,40,10,15,2421,2750
50,41,10,17,2421,2746
50,42,10,17,2428,2750
50,43,11,16,2424,2744
50,44,10,16,2422,2746
50,45,10,16,2433,2749
50,46,10,14,2423,2745
50,47,10,16,2423,2750
50,48,10,16,2434,2749
50,49,10,17,2421,2750
50,50,10,16,2424,2744
--- 50 mm Summary | Avg: L=10 FL=15 FR=2423 R=2747 ---

>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,10,17,2182,2641
60,2,10,16,2188,2641
60,3,10,15,2185,2639
60,4,10,16,2185,2644
60,5,10,15,2185,2640
60,6,10,14,2182,2643
60,7,10,16,2184,2641
60,8,10,15,2184,2637
60,9,10,15,2189,2643
60,10,10,16,2191,2643
60,11,10,15,2184,2643
60,12,10,14,2186,2640
60,13,10,17,2181,2638
60,14,10,15,2186,2640
60,15,10,15,2188,2640
60,16,10,16,2190,2642
60,17,10,17,2188,2640
60,18,10,15,2178,2644
60,19,10,14,2188,2639
60,20,10,15,2190,2639
60,21,11,17,2189,2640
60,22,10,15,2181,2638
60,23,10,15,2183,2643
60,24,10,15,2192,2642
60,25,10,16,2184,2643
60,26,10,16,2184,2642
60,27,10,15,2185,2635
60,28,10,15,2190,2641
60,29,10,14,2184,2639
60,30,10,14,2181,2643
60,31,10,17,2192,2642
60,32,10,17,2185,2643
60,33,10,15,2184,2640
60,34,10,15,2187,2637
60,35,10,15,2188,2642
60,36,10,14,2185,2639
60,37,10,15,2182,2644
60,38,10,16,2189,2639
60,39,10,16,2182,2637
60,40,10,15,2189,2638
60,41,10,15,2186,2638
60,42,10,15,2184,2642
60,43,10,14,2187,2640
60,44,10,14,2183,2643
60,45,10,16,2184,2639
60,46,10,16,2188,2636
60,47,10,16,2189,2640
60,48,10,16,2182,2639
60,49,10,15,2191,2646
60,50,10,16,2186,2639
--- 60 mm Summary | Avg: L=10 FL=15 FR=2185 R=2640 ---

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,10,18,1778,2469
70,2,10,16,1777,2471
70,3,10,15,1776,2474
70,4,10,16,1779,2473
70,5,10,14,1774,2468
70,6,10,14,1776,2472
70,7,10,17,1777,2471
70,8,10,15,1777,2474
70,9,10,15,1782,2472
70,10,10,16,1782,2472
70,11,10,15,1781,2470
70,12,10,14,1778,2469
70,13,10,16,1776,2473
70,14,10,15,1780,2471
70,15,10,15,1780,2475
70,16,10,15,1781,2471
70,17,10,16,1779,2470
70,18,10,14,1776,2470
70,19,10,14,1778,2469
70,20,10,13,1785,2474
70,21,10,16,1780,2470
70,22,10,14,1773,2475
70,23,10,14,1780,2474
70,24,10,14,1783,2468
70,25,10,14,1781,2471
70,26,10,16,1774,2469
70,27,10,16,1779,2474
70,28,10,15,1780,2470
70,29,10,15,1776,2474
70,30,10,14,1780,2473
70,31,10,15,1784,2468
