--- Sampling 10 mm (5s @ 100ms) ---
10,1,3296,65,2553,3209
10,2,3295,71,2552,3209
10,3,3295,74,2551,3209
10,4,3294,76,2551,3209
10,5,3293,81,2556,3208
10,6,3292,88,2552,3208
10,7,3293,89,2557,3209
10,8,3293,91,2550,3208
10,9,3293,92,2554,3208
10,10,3293,93,2557,3208
10,11,3294,94,2554,3209
10,12,3295,94,2550,3209
10,13,3295,94,2552,3209
10,14,3295,95,2554,3209
10,15,3294,95,2556,3209
10,16,3292,95,2555,3209
10,17,3294,96,2556,3209
10,18,3295,97,2553,3209
10,19,3294,97,2555,3209
10,20,3295,98,2562,3209
10,21,3295,98,2561,3209
10,22,3295,98,2556,3209
10,23,3294,98,2556,3209
10,24,3294,98,2562,3209
10,25,3294,98,2557,3209
10,26,3294,98,2555,3209
10,27,3295,99,2559,3209
10,28,3295,98,2552,3209
10,29,3294,99,2560,3209
10,30,3294,99,2554,3209
10,31,3295,99,2559,3209
10,32,3294,99,2550,3209
10,33,3295,99,2556,3208
10,34,3295,99,2549,3208
10,35,3295,100,2551,3209
10,36,3295,100,2554,3208
10,37,3295,100,2547,3208
10,38,3295,101,2546,3208
10,39,3295,101,2554,3208
10,40,3296,101,2554,3208
10,41,3295,102,2549,3208
10,42,3296,102,2546,3208
10,43,3296,102,2551,3208
10,44,3295,102,2556,3208
10,45,3296,102,2556,3208
10,46,3296,102,2553,3208
10,47,3296,102,2553,3208
10,48,3296,102,2549,3207
10,49,3295,102,2546,3207
10,50,3296,102,2546,3207
--- 10 mm Summary | Avg: L=3294 FL=95 FR=2553 R=3208 ---
>>> Place micromouse at 20 mm <<<
--- Sampling 20 mm (5s @ 100ms) ---
20,1,3138,927,3018,3032
20,2,3121,915,2970,3006
20,3,3120,899,2970,3006
20,4,3120,888,2970,3006
20,5,3120,888,2970,3006
20,6,3121,888,2970,3006
20,7,3120,888,2969,3006
20,8,3121,888,2970,3006
20,9,3121,888,2970,3006
20,10,3121,888,2970,3006
20,11,3120,888,2970,3006
20,12,3121,888,2971,3006
20,13,3120,888,2970,3006
20,14,3120,888,2970,3006
20,15,3121,888,2970,3006
20,16,3120,888,2969,3006
20,17,3120,890,2970,3006
20,18,3120,890,2970,3006
20,19,3120,889,2970,3006
20,20,3120,888,2969,3006
20,21,3120,888,2969,3005
20,22,3120,888,2969,3005
20,23,3120,888,2969,3005
20,24,3120,888,2969,3005
20,25,3119,888,2968,3005
20,26,3119,888,2969,3005
20,27,3120,888,2970,3005
20,28,3120,888,2970,3006
20,29,3119,888,2969,3005
20,30,3119,888,2969,3005
20,31,3119,888,2969,3005
20,32,3120,888,2970,3006
20,33,3119,888,2970,3005
20,34,3120,888,2969,3005
20,35,3119,888,2970,3005
20,36,3119,888,2968,3005
20,37,3119,888,2970,3006
20,38,3120,888,2969,3005
20,39,3120,888,2970,3006
20,40,3119,889,2969,3005
20,41,3120,890,2970,3005
20,42,3119,891,2968,3005
20,43,3120,892,2970,3006
20,44,3120,894,2970,3006
20,45,3120,895,2969,3005
20,46,3119,895,2970,3006
20,47,3119,894,2969,3005
20,48,3119,892,2968,3005
20,49,3120,891,2970,3005
20,50,3120,890,2970,3006
--- 20 mm Summary | Avg: L=3120 FL=890 FR=2970 R=3006 ---

>>> Place micromouse at 30 mm <<<
Press button to start 5s sampling (Long press to exit)
--- Sampling 30 mm (5s @ 100ms) ---
30,1,3094,868,3128,3068
30,2,3080,868,3096,3045
30,3,3080,868,3096,3046
30,4,3080,867,3096,3046
30,5,3080,867,3096,3045
30,6,3080,868,3096,3046
30,7,3080,869,3096,3045
30,8,3080,870,3096,3045
30,9,3080,872,3097,3046
30,10,3080,872,3097,3046
30,11,3080,871,3097,3046
30,12,3080,872,3097,3046
30,13,3080,871,3096,3046
30,14,3080,871,3096,3045
30,15,3080,871,3096,3045
30,16,3080,872,3097,3046
30,17,3080,872,3097,3046
30,18,3080,874,3096,3045
30,19,3080,865,3096,3045
30,20,3079,871,3096,3045
30,21,3079,872,3096,3045
30,22,3079,882,3096,3045
30,23,3079,867,3096,3045
30,24,3079,863,3096,3045
30,25,3079,861,3096,3045
30,26,3079,857,3096,3045
30,27,3080,856,3096,3045
30,28,3080,857,3096,3045
30,29,3080,862,3096,3045
30,30,3080,868,3096,3045
30,31,3080,874,3096,3045
30,32,3080,879,3096,3045
30,33,3080,881,3096,3045
30,34,3080,881,3096,3045
30,35,3080,881,3096,3045
30,36,3080,878,3096,3045
30,37,3080,874,3096,3045
30,38,3080,875,3096,3045
30,39,3081,872,3096,3045
30,40,3080,868,3096,3045
30,41,3080,869,3095,3045
30,42,3080,870,3095,3045
30,43,3080,869,3095,3045
30,44,3080,869,3096,3045
30,45,3080,868,3096,3045
30,46,3080,867,3096,3045
30,47,3080,865,3095,3045
30,48,3080,864,3095,3044
30,49,3080,862,3096,3045
30,50,3080,859,3096,3045
--- 30 mm Summary | Avg: L=3080 FL=869 FR=3096 R=3045 ---

========================================
========================================
--- Sampling 40 mm (5s @ 100ms) ---
40,1,2333,1849,3180,3074
40,2,2334,1857,3180,3074
40,3,2332,1856,3179,3074
40,4,2331,1835,3179,3074
40,5,2332,1793,3179,3074
40,6,2332,1773,3179,3074
40,7,2331,1772,3179,3074
