marco@marco-tbn03374:~$ picocom /dev/ttyACM0 -b 115200
picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
state:PreCalib
state:CalibrationIRDistance

========================================
>>> Place micromouse at 10 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,31,158,138,1742,2849
40,32,159,139,1757,2860
40,33,159,144,1729,2849
40,34,160,139,1738,2849
40,35,158,131,1753,2854
40,36,159,136,1739,2849
40,37,160,138,1728,2853
40,38,159,143,1744,2849
40,39,160,142,1750,2859
40,40,159,133,1727,2854
40,41,160,136,1740,2849
40,42,159,138,1751,2854
40,43,159,144,1743,2849
40,44,160,138,1724,2853
40,45,160,131,1743,2848
40,46,160,138,1755,2855
40,47,159,140,1743,2854
40,48,157,141,1723,2848
40,49,159,132,1743,2854
40,50,158,138,1747,2848
--- 40 mm Summary | Avg: L=157 FL=137 FR=1741 R=2852 ---

========================================
>>> Place micromouse at 50 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,157,111,1999,2786
50,2,158,114,2015,2783
50,3,160,120,2006,2787
50,4,159,117,2008,2783
50,5,159,116,2005,2781
50,6,158,116,2008,2786
50,7,160,116,2004,2781
50,8,159,117,2016,2790
50,9,159,118,2001,2780
50,10,160,119,2009,2785
50,11,159,120,2006,2787
50,12,159,117,2006,2781
50,13,159,113,2016,2790
50,14,159,108,1997,2782
50,15,159,107,2006,2785
50,16,158,113,2012,2785
50,17,159,114,1997,2786
50,18,156,116,2007,2784
50,19,159,120,2013,2786
50,20,158,113,2003,2785
50,21,156,108,2005,2782
50,22,158,113,2012,2787
50,23,157,114,2007,2783
50,24,158,119,1998,2783
50,25,157,113,2010,2786
50,26,157,106,2013,2786
50,27,157,113,2006,2787
50,28,157,117,2004,2784
50,29,157,115,2005,2787
50,30,154,107,2015,2786
50,31,157,112,2004,2783
50,32,156,115,2001,2787
50,33,156,116,2006,2783
50,34,157,106,2013,2788
50,35,156,113,2008,2784
50,36,157,116,1998,2786
50,37,156,113,2007,2786
50,38,157,107,2004,2780
50,39,156,114,2014,2790
50,40,156,119,2005,2783
50,41,157,107,1997,2787
50,42,157,112,2006,2783
50,43,157,117,2006,2787
50,44,157,112,2013,2787
50,45,157,111,2008,2783
50,46,157,115,2007,2787
50,47,158,112,1997,2783
50,48,158,112,2004,2787
50,49,158,116,2007,2783
50,50,158,113,2008,2775
--- 50 mm Summary | Avg: L=157 FL=113 FR=2006 R=2784 ---

>>> Place micromouse at 60 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,156,113,1858,2685
60,2,156,110,1850,2690
60,3,157,105,1865,2696
60,4,156,105,1857,2690
60,5,158,105,1861,2696
60,6,156,105,1852,2694
60,7,157,108,1855,2690
60,8,156,112,1857,2694
60,9,156,113,1851,2689
60,10,158,114,1858,2693
60,11,156,118,1858,2691
60,12,158,115,1854,2693
60,13,156,108,1860,2692
60,14,158,106,1855,2690
60,15,158,112,1851,2694
60,16,157,115,1856,2689
60,17,158,117,1860,2696
60,18,157,110,1855,2690
60,19,158,107,1854,2690
60,20,157,112,1858,2693
60,21,159,119,1862,2692
60,22,159,112,1858,2695
60,23,158,107,1857,2690
