Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,49,3221,2809,698,371
40,50,3221,2810,699,372
--- 40 mm Summary | Avg: L=3221 FL=2809 FR=697 R=371 ---

>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,3188,3055,206,364
50,2,3185,3049,153,364
50,3,3185,3049,104,364
50,4,3185,3049,102,364
50,5,3185,3049,101,364
50,6,3185,3049,101,364
50,7,3186,3049,101,364
50,8,3185,3049,101,364
50,9,3186,3049,102,365
50,10,3185,3049,102,365
50,11,3185,3049,102,364
50,12,3185,3049,102,365
50,13,3185,3049,102,365
50,14,3185,3049,101,364
50,15,3185,3049,102,365
50,16,3185,3049,102,365
50,17,3185,3049,102,365
50,18,3185,3049,102,365
50,19,3185,3049,102,365
50,20,3185,3049,102,365
50,21,3185,3049,102,365
50,22,3185,3049,102,365
50,23,3185,3049,102,365
50,24,3185,3049,102,365
50,25,3185,3050,102,366
50,26,3185,3050,102,366
50,27,3185,3049,103,366
50,28,3185,3050,102,366
50,29,3185,3049,102,366
50,30,3185,3049,102,366
50,31,3185,3050,102,366
50,32,3185,3049,102,366
50,33,3184,3048,102,365
50,34,3185,3049,102,365
50,35,3185,3049,102,365
50,36,3184,3048,102,365
50,37,3184,3048,102,364
50,38,3184,3049,102,364
50,39,3185,3049,102,365
50,40,3184,3048,101,364
50,41,3185,3049,102,365
50,42,3184,3049,102,365
50,43,3184,3049,102,365
50,44,3184,3049,102,365
50,45,3184,3048,102,364
50,46,3184,3048,102,365
50,47,3184,3049,102,365
50,48,3184,3048,102,365
50,49,3184,3048,102,365
50,50,3184,3048,102,365
--- 50 mm Summary | Avg: L=3184 FL=3049 FR=105 R=364 ---

========================================
>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,3182,3128,36,364
60,2,3180,3125,36,364
60,3,3181,3125,36,364
60,4,3181,3125,36,364
60,5,3181,3125,36,364
60,6,3180,3125,36,364
60,7,3181,3125,35,364
60,8,3180,3125,36,364
60,9,3180,3125,36,364
60,10,3181,3125,36,364
60,11,3180,3125,36,364
60,12,3181,3125,36,364
60,13,3180,3124,36,364
60,14,3180,3125,36,364
60,15,3180,3125,36,364
60,16,3180,3125,36,364
60,17,3180,3125,36,364
60,18,3180,3125,36,364
60,19,3180,3124,35,364
60,20,3180,3125,36,364
60,21,3180,3124,36,364
60,22,3180,3124,35,364
60,23,3180,3125,36,364
60,24,3180,3124,36,364
60,25,3180,3124,36,364
60,26,3180,3125,35,364
60,27,3180,3124,35,364
60,28,3180,3124,35,363
60,29,3180,3124,36,364
60,30,3180,3124,36,364
60,31,3180,3124,36,363
60,32,3180,3125,36,364
60,33,3180,3124,36,364
60,34,3180,3124,36,364
60,35,3180,3124,36,364
60,36,3180,3124,36,364
60,37,3180,3125,35,364
60,38,3180,3125,36,364
60,39,3180,3125,36,364
60,40,3180,3124,35,364
60,41,3180,3124,36,364
60,42,3180,3124,36,364
60,43,3180,3124,36,364
60,44,3180,3124,36,364
60,45,3180,3125,35,364
60,46,3180,3124,36,364
60,47,3180,3124,36,364
60,48,3180,3124,36,364
60,49,3180,3124,36,364
60,50,3180,3124,35,364

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,3195,3101,297,366
70,2,3194,3098,290,365
70,3,3194,3098,78,365
70,4,3194,3098,16,364
70,5,3194,3098,12,364
70,6,3194,3098,12,364
70,7,3194,3098,11,364
70,8,3194,3098,12,364
70,9,3194,3098,12,364
70,10,3194,3098,12,364
70,11,3194,3098,12,364
70,12,3194,3098,11,364
70,13,3194,3098,11,364
70,14,3194,3098,11,364
70,15,3194,3098,11,364
70,16,3194,3098,11,364
70,17,3194,3097,11,364
70,18,3194,3098,11,364
70,19,3194,3098,11,364
70,20,3194,3098,11,364
70,21,3194,3098,11,365
70,22,3194,3098,11,365
70,23,3194,3098,11,365
70,24,3194,3098,11,364
70,25,3194,3098,11,365
70,26,3194,3098,11,365
70,27,3194,3098,11,365
70,28,3194,3098,11,365
70,29,3194,3097,11,365
70,30,3194,3098,11,365
70,31,3194,3098,11,365
70,32,3194,3098,11,365
70,33,3194,3098,11,365
70,34,3194,3098,11,365
70,35,3194,3098,11,365
70,36,3194,3098,11,365
70,37,3194,3098,11,366
70,38,3194,3098,11,365
70,39,3194,3098,11,364
70,40,3194,3098,11,365
70,41,3193,3098,11,365
70,42,3194,3098,11,365
70,43,3194,3098,11,365
70,44,3193,3098,11,365
70,45,3194,3098,11,365
70,46,3194,3098,11,365
70,47,3194,3098,11,365
70,48,3194,3098,11,365
70,49,3194,3098,11,365
70,50,3193,3098,11,365
--- 70 mm Summary | Avg: L=3193 FL=3098 FR=23 R=364 ---

>>> Place micromouse at 80 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,3166,2934,74,366
80,2,3167,2932,37,365
80,3,3167,2932,56,365
80,4,3166,2932,62,365
80,5,3166,2932,60,364
80,6,3167,2932,64,365
80,7,3167,2932,9,365
80,8,3166,2932,6,365
80,9,3166,2932,6,365
80,10,3166,2932,6,365
80,11,3166,2932,6,365
80,12,3166,2932,6,365
80,13,3166,2932,6,365
80,14,3166,2932,6,365
80,15,3167,2934,6,366
80,16,3167,2934,6,366
80,17,3167,2933,6,366
80,18,3167,2934,6,366
80,19,3167,2934,6,366
80,20,3167,2933,6,366
80,21,3167,2933,6,366
80,22,3167,2934,6,366
80,23,3167,2934,6,366
80,24,3166,2933,6,366
80,25,3166,2934,6,366
80,26,3166,2933,6,366
80,27,3166,2933,6,366
80,28,3166,2934,6,366
80,29,3166,2934,6,366
80,30,3167,2933,6,366
80,31,3167,2934,6,366
80,32,3166,2932,6,365
80,33,3166,2932,6,365
80,34,3166,2932,6,365
80,35,3166,2932,6,365
80,36,3166,2932,6,365
80,37,3166,2932,6,365
80,38,3166,2932,6,365
80,39,3166,2932,6,364
80,40,3166,2932,6,365
80,41,3166,2932,6,365
80,42,3166,2932,6,365
80,43,3166,2932,6,365
80,44,3166,2932,6,365
80,45,3166,2932,6,365
80,46,3166,2932,6,365
80,47,3166,2932,6,365
80,48,3166,2932,6,365
80,49,3166,2932,6,365
80,50,3166,2932,6,365
--- 80 mm Summary | Avg: L=3166 FL=2932 FR=12 R=365 ---

========================================
>>> Place micromouse at 90 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 90 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,1,3102,2056,317,367
90,2,3103,2055,305,367
90,3,3103,2054,255,366
90,4,3103,2053,148,365
90,5,3103,2053,44,365
90,6,3103,2054,56,365
90,7,3103,2053,48,365
90,8,3103,2053,52,365
90,9,3103,2054,45,365
90,10,3102,2053,8,365
90,11,3102,2053,6,365
90,12,3103,2055,6,366
90,13,3103,2053,6,365
90,14,3102,2053,6,365
90,15,3103,2054,6,365
90,16,3103,2053,6,365
90,17,3103,2053,6,365
90,18,3103,2054,6,365
90,19,3102,2054,6,365
90,20,3102,2052,6,365
90,21,3103,2055,6,366
90,22,3103,2053,6,365
90,23,3102,2053,6,365
90,24,3103,2054,6,365
90,25,3103,2054,6,365
90,26,3102,2052,6,365
90,27,3102,2053,6,365
90,28,3102,2054,6,365
90,29,3102,2054,6,365
90,30,3102,2054,6,365
90,31,3102,2054,6,365
90,32,3102,2054,6,365
90,33,3102,2054,6,365
90,34,3102,2054,6,365
90,35,3102,2054,6,365
90,36,3102,2053,6,365
90,37,3102,2055,6,366
90,38,3102,2054,6,365
90,39,3102,2055,6,365
90,40,3102,2054,6,365
90,41,3102,2054,6,365
