Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,27,2957,2805,2233,1428
40,28,2966,2812,2237,1430
40,29,2968,2813,2235,1429
40,30,2974,2823,2253,1441
40,31,2973,2818,2242,1433
40,32,2976,2822,2247,1437
40,33,2980,2825,2252,1440
40,34,2971,2818,2243,1435
40,35,2987,2839,2273,1455
40,36,2979,2824,2249,1438
40,37,2970,2815,2240,1432
40,38,2967,2811,2233,1428
40,39,2958,2801,2219,1418
40,40,2961,2804,2225,1422
40,41,2963,2807,2229,1425
40,42,2966,2810,2234,1428
40,43,2957,2804,2227,1424
40,44,2975,2820,2245,1436
40,45,2956,2801,2223,1421
40,46,2971,2817,2242,1434
40,47,2974,2819,2244,1435
40,48,2978,2823,2248,1438
40,49,2957,2806,2233,1428
40,50,2977,2823,2250,1438
--- 40 mm Summary | Avg: L=2963 FL=2808 FR=2230 R=1425 ---

>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,3038,3065,1694,824
50,2,3043,3078,1667,810
50,3,3045,3078,1670,811
50,4,3042,3077,1669,816
50,5,3036,3076,1595,733
50,6,3010,3070,1510,679
50,7,3014,3071,1505,649
50,8,2996,3068,1489,605
50,9,2995,3068,1475,546
50,10,2971,3064,1457,486
50,11,2967,3063,1444,446
50,12,2981,3066,1458,443
50,13,2971,3065,1451,411
50,14,3000,3069,1489,358
50,15,2985,3066,1464,350
50,16,2987,3067,1464,351
50,17,2971,3064,1454,348
50,18,3017,3074,1505,362
50,19,2998,3070,1479,354
50,20,3003,3071,1486,356
50,21,2986,3067,1465,351
50,22,2991,3068,1470,352
50,23,2996,3070,1476,354
50,24,2998,3069,1478,354
50,25,2995,3069,1475,354
50,26,2996,3069,1475,353
50,27,2999,3069,1481,355
50,28,2991,3068,1472,353
50,29,2993,3068,1472,353
50,30,2999,3069,1477,354
50,31,2990,3067,1468,352
50,32,2993,3068,1470,352
50,33,2996,3068,1472,353
50,34,2984,3066,1460,349
50,35,2978,3065,1452,347
50,36,2984,3065,1459,349
50,37,3004,3069,1491,358
50,38,3007,3069,1498,360
50,39,2977,3065,1452,347
50,40,2991,3067,1478,354
50,41,3000,3069,1479,355
50,42,2992,3067,1468,352
50,43,2982,3063,1455,348
50,44,2976,3066,1458,349
50,45,2964,3062,1446,346
50,46,2967,3064,1445,345
50,47,2994,3068,1473,353
50,48,3007,3071,1487,357
50,49,3017,3073,1501,361
50,50,3023,3074,1511,363
--- 50 mm Summary | Avg: L=2996 FL=3068 FR=1491 R=426 ---

========================================
>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,2998,3011,1202,235
60,2,3001,3014,1199,231
60,3,2999,3014,1197,230
60,4,3002,3015,1201,231
60,5,3000,3014,1198,230
60,6,3001,3014,1199,231
60,7,3002,3015,1200,231
60,8,2999,3014,1198,230
60,9,2999,3014,1198,230
60,10,3003,3016,1201,231
60,11,3001,3014,1199,231
60,12,2999,3013,1198,231
60,13,3002,3015,1201,231
60,14,3001,3015,1199,231
60,15,3003,3015,1201,231
60,16,3006,3016,1204,232
60,17,3013,3018,1213,234
60,18,2997,3005,1211,233
60,19,3015,3018,1219,235
60,20,3014,3018,1217,235
60,21,3012,3017,1215,234
60,22,3014,3018,1217,235
60,23,3001,3013,1200,231
60,24,3001,3013,1200,231
60,25,3002,3014,1202,231
60,26,3001,3013,1200,231
60,27,3000,3013,1200,231
60,28,3004,3015,1203,232
60,29,3003,3013,1201,231
60,30,3003,3014,1201,231
60,31,3005,3015,1203,232
60,32,3003,3014,1201,231
60,33,3003,3014,1202,231
60,34,3005,3015,1203,231
60,35,3003,3014,1201,231
60,36,3002,3014,1202,231
60,37,3005,3015,1204,232
60,38,3003,3014,1202,231
60,39,3011,3017,1212,234
60,40,3007,3015,1209,233
60,41,3012,3016,1216,234
60,42,3014,3017,1218,235
60,43,3003,3009,1216,234
60,44,3012,3017,1217,235
60,45,3002,3009,1213,234
60,46,3009,3017,1209,233
60,47,3018,3015,1234,238
60,48,3016,3019,1219,235
60,49,3016,3019,1221,235
60,50,3011,3015,1217,235
--- 60 mm Summary | Avg: L=3005 FL=3014 FR=1206 R=232 ---

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,2758,2416,959,582
70,2,2762,2417,957,571
70,3,2767,2422,956,561
