Dist_mm,Sample,L,FL,FR,R
>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,43,0,3205,3140
50,2,43,0,3199,3137
50,3,43,0,3199,3136
50,4,43,0,3199,3136
50,5,43,0,3199,3136
50,6,43,0,3199,3136
50,7,43,0,3199,3137
50,8,43,0,3199,3136
50,9,43,0,3199,3136
50,10,43,0,3199,3136
50,11,43,0,3199,3136
50,12,43,0,3199,3136
50,13,43,0,3199,3136
50,14,43,0,3199,3137
50,15,43,0,3199,3137
50,16,43,0,3199,3137
50,17,43,0,3199,3137
50,18,43,0,3199,3137
50,19,43,0,3199,3136
50,20,43,0,3199,3136
50,21,43,0,3199,3136
50,22,43,0,3199,3136
50,23,43,0,3199,3136
50,24,43,0,3199,3136
50,25,43,0,3199,3136
50,26,43,0,3199,3136
50,27,43,0,3199,3136
50,28,43,0,3199,3136
50,29,44,0,3199,3136
50,30,43,0,3199,3136
50,31,43,0,3199,3136
50,32,43,0,3199,3136
50,33,43,0,3199,3136
50,34,43,0,3199,3136
50,35,43,0,3199,3136
50,36,43,0,3198,3135
50,37,43,0,3199,3136
50,38,43,0,3199,3136
50,39,43,0,3199,3136
50,40,43,0,3199,3135
50,41,43,0,3199,3136
50,42,43,0,3199,3136
50,43,43,0,3199,3136
50,44,43,0,3199,3136
50,45,43,0,3199,3136
50,46,43,0,3198,3135
50,47,43,0,3199,3136
50,48,43,0,3199,3136
50,49,43,0,3199,3135
50,50,44,0,3199,3135
--- 50 mm Summary | Avg: L=43 FL=0 FR=3199 R=3136 ---

========================================
>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,43,0,3168,3136
60,2,43,0,3164,3134
60,3,43,0,3165,3134
60,4,43,0,3164,3134
60,5,43,0,3164,3134
60,6,43,0,3165,3135
60,7,43,0,3165,3135
60,8,43,0,3164,3134
60,9,43,0,3165,3135
60,10,43,0,3165,3135
60,11,43,0,3164,3134
60,12,43,0,3165,3135
60,13,43,0,3164,3134
60,14,43,0,3164,3134
60,15,43,0,3165,3134
60,16,43,0,3164,3135
60,17,43,0,3164,3134
60,18,43,0,3164,3134
60,19,43,0,3164,3134
60,20,43,0,3164,3134
60,21,43,0,3164,3134
60,22,43,0,3164,3134
60,23,43,0,3164,3134
60,24,43,0,3164,3134
60,25,43,0,3164,3134
60,26,43,0,3164,3134
60,27,43,0,3164,3134
60,28,43,0,3164,3134
60,29,43,0,3164,3134
60,30,43,0,3164,3134
60,31,43,0,3164,3134
60,32,43,0,3164,3134
60,33,43,0,3164,3134
60,34,43,0,3164,3134
60,35,43,0,3164,3134
60,36,43,0,3164,3134
60,37,43,0,3164,3134
60,38,43,0,3164,3134
60,39,43,0,3164,3134
60,40,43,0,3164,3134
60,41,43,0,3163,3134
60,42,43,0,3164,3134
60,43,43,0,3164,3134
60,44,43,0,3164,3134
60,45,43,0,3164,3134
60,46,43,0,3163,3133
60,47,43,0,3164,3133
