>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,29,2155,2462,2284,580
40,30,2162,2455,2282,581
40,31,2155,2456,2285,580
40,32,2166,2464,2288,581
40,33,2154,2455,2287,580
40,34,2161,2462,2283,581
40,35,2163,2453,2291,581
40,36,2157,2463,2287,581
40,37,2164,2465,2281,582
40,38,2143,2447,2292,579
40,39,2162,2460,2284,581
40,40,2154,2454,2288,580
40,41,2156,2463,2286,581
40,42,2164,2462,2283,581
40,43,2154,2463,2285,581
40,44,2159,2459,2284,580
40,45,2155,2452,2283,581
40,46,2162,2458,2289,580
40,47,2155,2457,2288,581
40,48,2157,2467,2281,581
40,49,2162,2456,2289,581
40,50,2153,2455,2285,581
--- 40 mm Summary | Avg: L=2158 FL=2458 FR=2284 R=586 ---

========================================
>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,2134,1807,1927,218
50,2,2127,1795,1936,191
50,3,2133,1802,1932,147
50,4,2126,1796,1935,41
50,5,2126,1804,1931,42
50,6,2133,1798,1931,42
50,7,2127,1803,1928,42
50,8,2136,1807,1930,42
50,9,2126,1793,1939,42
50,10,2135,1804,1934,42
50,11,2125,1796,1935,42
50,12,2126,1805,1928,42
50,13,2133,1797,1929,42
50,14,2126,1796,1935,42
50,15,2134,1799,1933,41
50,16,2127,1793,1935,41
50,17,2135,1807,1928,42
50,18,2132,1796,1935,42
50,19,2126,1803,1939,42
50,20,2136,1798,1929,42
50,21,2126,1795,1929,42
50,22,2134,1801,1933,41
50,23,2127,1794,1936,41
50,24,2135,1807,1931,41
50,25,2132,1796,1934,41
50,26,2126,1805,1930,42
50,27,2134,1802,1930,41
50,28,2128,1796,1931,42
50,29,2133,1804,1936,42
50,30,2124,1796,1935,41
50,31,2124,1802,1928,42
50,32,2133,1796,1930,41
50,33,2128,1808,1933,42
50,34,2133,1802,1927,41
50,35,2126,1792,1935,41
50,36,2134,1802,1933,41
50,37,2125,1795,1930,41
50,38,2127,1808,1935,41
50,39,2132,1797,1932,41
50,40,2125,1796,1928,41
50,41,2134,1800,1937,42
50,42,2126,1792,1936,41
50,43,2133,1804,1931,41
50,44,2134,1799,1939,41
50,45,2124,1804,1934,42
50,46,2132,1796,1929,41
50,47,2126,1794,1934,41
50,48,2134,1799,1928,41
50,49,2126,1795,1940,41
50,50,2126,1805,1932,41
--- 50 mm Summary | Avg: L=2129 FL=1799 FR=1932 R=50 ---

========================================
>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,1846,1676,1617,66
60,2,1842,1671,1615,0
60,3,1847,1667,1618,0
60,4,1852,1676,1613,0
60,5,1848,1667,1614,0
60,6,1847,1680,1614,0
60,7,1853,1670,1619,0
60,8,1845,1679,1622,0
60,9,1852,1678,1618,0
60,10,1847,1664,1619,0
60,11,1855,1680,1614,0
60,12,1846,1670,1616,0
60,13,1846,1675,1618,0
60,14,1853,1672,1621,0
60,15,1846,1678,1617,0
60,16,1853,1675,1611,0
60,17,1847,1669,1618,0
60,18,1854,1679,1622,0
60,19,1853,1670,1619,0
60,20,1847,1676,1612,0
60,21,1853,1671,1616,0
60,22,1847,1671,1620,0
60,23,1853,1675,1616,0
60,24,1847,1668,1616,0
60,25,1854,1679,1621,0
60,26,1853,1672,1619,0
60,27,1846,1679,1614,0
60,28,1853,1676,1616,0
60,29,1847,1667,1620,0
60,30,1855,1680,1612,0
60,31,1846,1660,1619,0
60,32,1846,1678,1617,0
60,33,1853,1669,1615,0
60,34,1847,1677,1618,0
60,35,1845,1680,1616,0
60,36,1847,1669,1615,0
60,37,1853,1675,1620,0
60,38,1846,1670,1619,0
60,39,1847,1676,1613,0
60,40,1853,1671,1621,0
60,41,1846,1673,1617,0
60,42,1853,1676,1616,0
60,43,1845,1669,1620,0
60,44,1853,1678,1612,0
60,45,1853,1670,1622,0
60,46,1846,1676,1617,0
60,47,1852,1671,1614,0
60,48,1848,1673,1621,0
60,49,1854,1677,1613,0
60,50,1846,1670,1622,0
--- 60 mm Summary | Avg: L=1849 FL=1673 FR=1617 R=1 ---

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,1472,1706,1358,0
70,2,1473,1715,1362,0
70,3,1478,1710,1358,0
70,4,1473,1708,1359,0
70,5,1477,1713,1356,0
70,6,1472,1707,1362,0
70,7,1473,1715,1365,0
70,8,1477,1709,1363,0
70,9,1473,1713,1362,0
70,10,1478,1716,1354,0
70,11,1472,1707,1362,0
70,12,1478,1714,1364,0
70,13,1472,1709,1362,0
70,14,1472,1717,1355,0
70,15,1478,1710,1360,0
70,16,1473,1707,1363,0
70,17,1478,1713,1360,0
70,18,1473,1710,1360,0
70,19,1477,1715,1364,0
70,20,1477,1707,1361,0
70,21,1473,1715,1355,0
70,22,1479,1712,1362,0
70,23,1472,1709,1361,0
70,24,1478,1712,1355,0
70,25,1473,1708,1366,0
70,26,1477,1714,1360,0
70,27,1478,1711,1358,0
70,28,1472,1717,1365,0
70,29,1477,1714,1359,0
70,30,1456,1692,1359,0
70,31,1478,1712,1364,0
70,32,1473,1709,1360,0
70,33,1473,1717,1360,0
70,34,1478,1711,1362,0
70,35,1472,1715,1356,0
70,36,1474,1711,1364,0
70,37,1472,1705,1362,0
70,38,1477,1713,1360,0
70,39,1472,1709,1363,0
70,40,1474,1715,1355,0
70,41,1478,1713,1364,0
70,42,1472,1708,1361,0
70,43,1477,1712,1360,0
70,44,1472,1707,1362,0
70,45,1477,1714,1357,0
70,46,1477,1707,1364,0
70,47,1472,1714,1358,0
70,48,1479,1710,1362,0
70,49,1474,1710,1361,0
70,50,1478,1714,1361,0
--- 70 mm Summary | Avg: L=1474 FL=1711 FR=1360 R=0 ---

>>> Place micromouse at 80 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,1192,1615,724,0
80,2,1188,1613,718,0
80,3,1188,1617,693,0
80,4,1193,1613,666,0
80,5,1189,1614,653,0
80,6,1192,1615,645,0
80,7,1190,1612,648,0
80,8,1193,1618,646,0
80,9,1193,1613,645,0
80,10,1188,1618,643,0
80,11,1193,1614,638,0
80,12,1189,1610,644,0
80,13,1194,1616,648,0
80,14,1188,1613,644,0
80,15,1193,1616,641,0
80,16,1181,1613,642,0
80,17,1189,1619,647,0
80,18,1193,1617,642,0
80,19,1189,1608,642,0
80,20,1194,1618,642,0
80,21,1189,1614,648,0
80,22,1189,1617,643,0
80,23,1193,1611,638,0
80,24,1190,1618,645,0
