general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_brake_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 50.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.400000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.000000,
angular_static_ff = 0.000000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
0.0;0.0000;0.0000;0.0027;-0.0453;7;-9;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;178.3
0.5;0.0000;0.0000;-0.0014;-0.0371;-1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;177.7
1.0;0.0000;0.0000;-0.0041;-0.0371;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;177.7
1.5;0.0000;0.0000;-0.0055;-0.0275;-1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;177.7
2.0;0.0000;0.0000;-0.0069;-0.0371;1;-3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
2.5;0.0000;0.0000;0.0096;-0.0453;3;-3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.3
3.0;0.0000;0.0000;0.0220;-0.0453;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.3
3.5;0.0000;0.0000;0.0014;-0.0453;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.3
4.0;0.0000;0.0000;0.0096;-0.0371;-1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
4.5;0.0000;0.0005;0.0151;-0.0371;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
5.0;0.0000;0.0005;0.0055;-0.0453;3;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.6
5.5;0.0000;0.0005;0.0069;-0.0453;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.3
6.0;0.0005;0.0005;0.0069;-0.0453;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;178.3
6.5;0.0005;0.0009;0.0041;-0.0371;28;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
7.0;0.0005;0.0009;0.0000;-0.0371;30;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
7.5;0.0005;0.0009;-0.0014;-0.0371;30;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
8.0;0.0005;0.0014;-0.0041;-0.0371;30;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
8.5;0.0009;0.0014;0.0000;-0.0371;30;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
9.0;0.0009;0.0018;0.0027;-0.0371;30;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.9;300.0;300.0;178.6
9.5;0.0009;0.0018;-0.0082;-0.0371;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.9;300.0;300.0;178.6
10.0;0.0014;0.0023;0.0069;-0.0371;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
10.5;0.0014;0.0023;0.0179;-0.0371;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
11.0;0.0014;0.0027;0.0069;-0.0371;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
11.5;0.0014;0.0027;0.0027;-0.0371;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
12.0;0.0018;0.0032;-0.0014;-0.0371;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
12.5;0.0018;0.0032;-0.0069;-0.0453;34;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;178.6
13.0;0.0023;0.0037;-0.0124;-0.0371;30;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.6
13.5;0.0023;0.0037;-0.0137;-0.0453;34;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;178.3
14.0;0.0023;0.0041;-0.0110;-0.0371;32;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
14.5;0.0027;0.0046;-0.0206;-0.0371;34;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;177.7
15.0;0.0027;0.0046;-0.0247;-0.0275;32;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;177.7
15.5;0.0027;0.0050;-0.0330;-0.0371;36;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.0;300.0;300.0;177.4
16.0;0.0032;0.0055;-0.0412;-0.0275;32;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;177.4
16.5;0.0032;0.0055;-0.0385;-0.0371;36;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.3;300.0;300.0;177.4
17.0;0.0037;0.0060;-0.0453;-0.0275;32;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.9;300.0;300.0;177.7
17.5;0.0037;0.0064;-0.0343;-0.0371;36;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
18.0;0.0041;0.0069;-0.0426;-0.0371;34;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
18.5;0.0041;0.0073;-0.0371;-0.0371;36;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;174.2;300.0;300.0;178.3
19.0;0.0041;0.0078;-0.0371;-0.0371;36;36;-0.0049;0.0000;0.0000;-0.0109;-0.2439;173.6;300.0;300.0;178.3
19.5;0.0046;0.0078;-0.0440;-0.0275;34;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;174.2;300.0;300.0;177.7
20.0;0.0046;0.0082;-0.0604;-0.0371;38;34;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.6;300.0;300.0;178.3
20.5;0.0050;0.0087;-0.0742;-0.0275;34;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.9;300.0;300.0;177.7
21.0;0.0050;0.0092;-0.0810;-0.0275;36;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.6;300.0;300.0;177.7
21.5;0.0055;0.0096;-0.0618;-0.0275;36;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.6;300.0;300.0;177.4
22.0;0.0055;0.0101;-0.0453;-0.0371;38;36;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.3;300.0;300.0;177.7
22.5;0.0060;0.0105;-0.0069;-0.0275;36;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.6;300.0;300.0;177.4
23.0;0.0060;0.0110;0.0357;-0.0371;40;36;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.3;300.0;300.0;177.7
23.5;0.0064;0.0114;0.0618;-0.0275;38;38;-0.0049;0.0000;0.0000;-0.0328;-0.2439;174.2;300.0;300.0;177.7
24.0;0.0064;0.0119;0.0742;-0.0371;42;36;-0.0049;0.0000;0.0000;-0.0328;-0.2439;173.0;300.0;300.0;177.4
24.5;0.0078;0.0124;0.0632;-0.0275;38;40;0.0733;0.0382;-0.0076;-0.0328;-0.2439;173.6;300.0;300.0;177.7
25.0;0.0082;0.0128;0.0701;-0.0371;40;36;-0.0049;0.0382;-0.0076;-0.0328;-0.2439;173.3;300.0;300.0;177.4
25.5;0.0087;0.0137;0.0687;-0.0371;40;38;-0.0049;0.0382;-0.0076;-0.0109;-0.2439;173.6;300.0;300.0;178.3
26.0;0.0092;0.0142;0.0673;-0.0371;40;38;-0.0049;0.0382;-0.0076;-0.0109;-0.2439;173.3;300.0;300.0;177.7
