Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0.00;0.0000;0.0009;-0.0130;0.0000;-1;1;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.0000
0.50;0.0000;0.0018;0.0200;0.0000;1;1;-0.0012;0.0091;-0.0012;-0.0020;-0.0010;0.0000;0.0000
1.00;0.0000;0.0027;-0.0040;0.0000;3;3;-0.0012;0.0149;-0.0012;-0.0000;-0.0010;0.0000;0.0000
1.50;0.0000;0.0037;-0.0110;0.0000;3;3;-0.0012;0.0193;0.0003;-0.0000;-0.0000;0.0000;0.0000
2.00;0.0000;0.0046;-0.0060;0.0000;5;5;-0.0012;0.0237;0.0003;-0.0000;-0.0000;0.0000;0.0000
2.50;0.0000;0.0060;0.0000;0.0000;5;5;-0.0012;0.0296;0.0003;-0.0010;-0.0000;0.0000;0.0000
3.00;0.0000;0.0069;0.0020;0.0000;7;7;-0.0012;0.0340;0.0003;-0.0010;-0.0000;0.0000;0.0000
3.50;0.0000;0.0078;0.0110;0.0000;7;7;-0.0012;0.0398;0.0003;-0.0010;-0.0010;0.0000;0.0000
4.00;0.0000;0.0087;-0.0030;0.0000;9;9;-0.0012;0.0442;0.0003;-0.0000;-0.0010;0.0000;0.0000
4.50;0.0000;0.0096;-0.0070;0.0000;11;11;-0.0012;0.0486;0.0003;-0.0000;-0.0000;0.0000;0.0000
5.00;0.0000;0.0110;-0.0120;0.0000;11;11;-0.0012;0.0545;0.0018;-0.0000;-0.0000;0.0000;0.0000
5.50;0.0000;0.0119;-0.0010;0.0000;13;13;-0.0012;0.0589;0.0018;-0.0000;-0.0000;0.0000;0.0000
6.00;0.0000;0.0128;0.0020;0.0000;13;13;-0.0012;0.0648;0.0018;-0.0010;-0.0000;0.0000;0.0000
6.50;0.0000;0.0137;-0.0010;0.0000;15;15;-0.0012;0.0691;0.0018;-0.0000;-0.0000;0.0000;0.0000
7.00;0.0000;0.0147;0.0040;0.0000;15;15;-0.0012;0.0735;0.0032;-0.0010;-0.0000;0.0000;0.0000
7.50;0.0000;0.0156;0.0050;0.0000;17;17;-0.0012;0.0794;0.0032;-0.0010;-0.0000;0.0000;0.0000
