Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFFPWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF;RawAngVel
general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
linear_jerk_ff_k = 0.000000,
linear_jerk_ff_ms = 0.000000,
angular_jerk_ff_k = 0.000000,
angular_jerk_ff_ms = 0.000000,
wall_kp = 0.000000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.000000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 5.500000,
start_wall_break_mm_right = 7.200000,
enable_wall_break_correction = 1.000000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;RawAngVel
0.0;0.0000;0.0000;0.0035;0.0000;-1;-1;-0.0012;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;0.0180
0.5;0.0000;0.0000;0.0020;0.0000;-1;-1;-0.0012;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;-0.0040
1.0;0.0000;0.0000;0.0000;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;-0.0090
1.5;0.0000;0.0000;-0.0020;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;-0.0090
2.0;0.0000;0.0000;-0.0020;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;-0.0015
2.5;0.0000;0.0005;-0.0030;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;-0.0090
3.0;0.0000;0.0005;-0.0045;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;-0.0090
3.5;0.0000;0.0005;-0.0025;0.0000;3;3;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;0.0060
4.0;0.0005;0.0009;-0.0050;0.0000;28;28;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.1417;-0.0160
4.5;0.0005;0.0014;-0.0075;0.0000;28;28;-0.0012;0.0018;-0.0012;-0.0000;-0.0000;0.0000;0.1417;-0.0160
5.0;0.0005;0.0014;-0.0015;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0000;-0.0000;0.0000;0.1417;0.0205
5.5;0.0009;0.0018;0.0025;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1417;0.0205
6.0;0.0009;0.0018;0.0025;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0010
6.5;0.0014;0.0023;0.0040;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0110
7.0;0.0014;0.0027;0.0055;0.0000;30;30;-0.0012;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0110
7.5;0.0018;0.0032;0.0000;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1496;-0.0210
8.0;0.0018;0.0037;-0.0015;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1496;-0.0090
8.5;0.0023;0.0041;-0.0030;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
9.0;0.0027;0.0046;-0.0040;0.0000;32;32;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
9.5;0.0027;0.0050;-0.0040;0.0000;34;34;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0040
10.0;0.0032;0.0055;-0.0040;0.0000;34;34;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0040
10.5;0.0037;0.0060;-0.0050;0.0000;34;34;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
11.0;0.0041;0.0069;-0.0060;0.0000;34;34;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1654;-0.0090
11.5;0.0041;0.0073;-0.0065;0.0000;36;36;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1654;-0.0090
12.0;0.0046;0.0078;-0.0060;0.0000;36;36;-0.0012;0.0076;0.0003;-0.0000;-0.0000;0.0000;0.1654;-0.0040
12.5;0.0050;0.0087;-0.0110;0.0000;36;36;-0.0012;0.0076;0.0003;-0.0000;-0.0000;0.0000;0.1654;-0.0310
13.0;0.0055;0.0092;-0.0045;0.0000;36;36;-0.0012;0.0091;0.0003;-0.0000;-0.0000;0.0000;0.1654;0.0205
13.5;0.0060;0.0101;-0.0045;0.0000;38;38;-0.0012;0.0091;0.0003;-0.0000;-0.0000;0.0000;0.1732;-0.0040
14.0;0.0064;0.0105;-0.0040;0.0000;38;38;-0.0012;0.0105;0.0003;-0.0000;-0.0000;0.0000;0.1732;-0.0015
14.5;0.0069;0.0114;0.0015;0.0000;38;38;-0.0012;0.0105;0.0003;-0.0010;-0.0000;0.0000;0.1732;0.0230
15.0;0.0073;0.0124;0.0010;0.0000;40;40;-0.0012;0.0120;0.0003;-0.0010;-0.0000;0.0000;0.1732;-0.0015
15.5;0.0078;0.0128;0.0080;0.0000;40;40;-0.0012;0.0120;0.0003;-0.0010;-0.0000;0.0000;0.1811;0.0350
16.0;0.0082;0.0137;0.0165;0.0000;40;40;-0.0012;0.0135;0.0003;-0.0010;-0.0000;0.0000;0.1811;0.0525
16.5;0.0087;0.0147;0.0205;0.0000;42;40;-0.0012;0.0149;0.0003;-0.0010;-0.0000;0.0000;0.1811;0.0350
17.0;0.0092;0.0156;0.0185;0.0000;42;42;-0.0012;0.0149;0.0003;-0.0010;-0.0010;0.0000;0.1811;0.0110
17.5;0.0096;0.0165;0.0200;0.0000;44;42;-0.0012;0.0164;0.0003;-0.0010;-0.0010;0.0000;0.1811;0.0255
18.0;0.0101;0.0174;0.0205;0.0000;44;44;-0.0012;0.0179;0.0003;-0.0010;-0.0010;0.0000;0.1890;0.0230
18.5;0.0105;0.0183;0.0185;0.0000;44;44;-0.0012;0.0179;0.0003;-0.0010;-0.0010;0.0000;0.1890;0.0110
19.0;0.0119;0.0192;0.0145;0.0000;46;44;-0.0794;0.0179;0.0003;-0.0010;-0.0010;0.0000;0.1890;-0.0015
19.5;0.0128;0.0201;0.0215;0.0000;46;44;-0.0012;0.0179;0.0003;-0.0010;-0.0010;0.0000;0.1890;0.0500
20.0;0.0137;0.0211;0.0155;0.0000;46;44;-0.0012;0.0179;0.0003;-0.0010;-0.0010;0.0000;0.1890;-0.0090
20.5;0.0147;0.0224;0.0100;0.0000;46;44;-0.0012;0.0193;0.0003;-0.0010;-0.0010;0.0000;0.1890;-0.0110
21.0;0.0151;0.0234;-0.0065;0.0000;46;46;-0.0012;0.0193;0.0003;-0.0000;-0.0010;0.0000;0.1890;-0.0725
21.5;0.0165;0.0243;-0.0120;0.0000;44;46;0.0769;0.0193;0.0003;-0.0000;-0.0010;0.0000;0.1890;-0.0355
22.0;0.0174;0.0252;-0.0080;0.0000;44;46;-0.0012;0.0193;0.0003;-0.0000;-0.0010;0.0000;0.1890;0.0085
22.5;0.0188;0.0261;-0.0055;0.0000;44;44;-0.0794;0.0179;0.0003;-0.0000;-0.0010;0.0000;0.1890;0.0060
23.0;0.0201;0.0275;0.0000;0.0000;44;44;-0.0012;0.0164;0.0003;-0.0010;-0.0010;0.0000;0.1890;0.0205
23.5;0.0215;0.0284;-0.0060;0.0000;44;44;0.0769;0.0149;0.0003;-0.0000;-0.0010;0.0000;0.1890;-0.0285
24.0;0.0229;0.0293;-0.0005;0.0000;44;44;-0.0012;0.0149;0.0018;-0.0000;-0.0010;0.0000;0.1890;0.0205
24.5;0.0243;0.0302;0.0070;0.0000;44;42;-0.0794;0.0135;0.0018;-0.0010;-0.0010;0.0000;0.1890;0.0375
25.0;0.0256;0.0311;0.0225;0.0000;44;42;-0.0012;0.0135;0.0018;-0.0010;-0.0010;0.0000;0.1890;0.0840
25.5;0.0270;0.0321;0.0170;0.0000;42;42;0.0769;0.0120;0.0018;-0.0010;-0.0010;0.0000;0.1890;-0.0040
26.0;0.0284;0.0334;0.0290;0.0000;42;42;-0.0012;0.0120;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0765
26.5;0.0298;0.0343;0.0305;0.0000;42;40;-0.0794;0.0105;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0350
27.0;0.0316;0.0353;0.0240;0.0000;42;40;0.0769;0.0091;0.0018;-0.0020;-0.0010;0.0000;0.1890;-0.0015
27.5;0.0325;0.0362;0.0320;0.0000;40;40;-0.0012;0.0091;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0645
28.0;0.0343;0.0371;0.0340;0.0000;42;40;-0.0818;0.0076;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0425
28.5;0.0357;0.0385;0.0355;0.0000;40;40;0.0769;0.0062;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0400
29.0;0.0371;0.0394;0.0195;0.0000;40;40;-0.0012;0.0047;0.0018;-0.0010;-0.0010;0.0000;0.1890;-0.0430
29.5;0.0385;0.0403;0.0285;0.0000;40;40;0.0769;0.0047;0.0018;-0.0020;-0.0010;0.0000;0.1890;0.0645
30.0;0.0398;0.0412;0.0300;0.0000;40;40;-0.0794;0.0032;0.0018;-0.0020;-0.0010;0.0000;0.1969;0.0350
30.5;0.0412;0.0421;0.0510;0.0000;40;40;-0.0037;0.0018;0.0018;-0.0029;-0.0010;0.0000;0.1969;0.1355
31.0;0.0417;0.0435;0.0545;0.0000;40;40;-0.0037;0.0032;0.0018;-0.0029;-0.0010;0.0000;0.1969;0.0695
31.5;0.0435;0.0444;0.0690;0.0000;40;40;-0.0037;0.0018;0.0018;-0.0029;-0.0010;0.0000;0.1969;0.1255
32.0;0.0453;0.0453;0.0650;0.0000;40;40;0.0745;-0.0012;0.0018;-0.0029;-0.0010;0.0000;0.1969;0.0500
32.5;0.0462;0.0462;0.0705;0.0000;40;40;-0.0037;-0.0012;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0915
33.0;0.0476;0.0472;0.0865;0.0000;40;38;-0.0818;-0.0012;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.1500
33.5;0.0490;0.0481;0.0855;0.0000;40;38;0.0745;-0.0026;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0815
34.0;0.0499;0.0495;0.0915;0.0000;40;38;-0.0037;-0.0026;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.1160
34.5;0.0508;0.0504;0.0785;0.0000;40;38;-0.0818;-0.0026;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0280
35.0;0.0522;0.0513;0.0930;0.0000;40;40;0.0745;-0.0026;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.1500
35.5;0.0536;0.0522;0.0845;0.0000;40;40;0.0745;-0.0041;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0500
36.0;0.0554;0.0531;0.0880;0.0000;40;38;-0.0818;-0.0056;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.1035
36.5;0.0559;0.0545;0.0805;0.0000;40;38;-0.0037;-0.0056;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0500
37.0;0.0577;0.0554;0.0925;0.0000;40;38;-0.0037;-0.0070;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.1405
37.5;0.0595;0.0563;0.0810;0.0000;38;38;0.0745;-0.0085;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0350
38.0;0.0604;0.0572;0.0815;0.0000;40;38;-0.0037;-0.0085;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0840
38.5;0.0614;0.0582;0.0930;0.0000;40;38;-0.0818;-0.0085;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.1380
39.0;0.0627;0.0591;0.0920;0.0000;40;38;0.0745;-0.0085;0.0018;-0.0039;-0.0010;0.0000;0.1969;0.0890
39.5;0.0636;0.0604;0.1005;0.0000;40;38;-0.0818;-0.0100;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.1355
40.0;0.0650;0.0614;0.0945;0.0000;40;38;0.0745;-0.0100;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.0695
40.5;0.0655;0.0623;0.1070;0.0000;40;38;-0.0061;-0.0085;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.1575
41.0;0.0664;0.0632;0.1000;0.0000;40;40;0.0745;-0.0085;0.0018;-0.0049;-0.0010;0.0000;0.1969;0.0720
41.5;0.0668;0.0641;0.1185;0.0000;42;40;-0.0061;-0.0070;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1915
42.0;0.0678;0.0655;0.1260;0.0000;42;40;-0.0061;-0.0070;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1575
42.5;0.0682;0.0664;0.1385;0.0000;44;40;-0.0061;-0.0056;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1890
43.0;0.0701;0.0673;0.1320;0.0000;44;40;-0.0061;-0.0070;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1060
43.5;0.0705;0.0682;0.1345;0.0000;44;40;-0.0061;-0.0070;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1425
44.0;0.0714;0.0691;0.1335;0.0000;44;40;0.0720;-0.0056;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1305
44.5;0.0723;0.0701;0.1345;0.0000;44;40;-0.0842;-0.0056;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1380
45.0;0.0733;0.0714;0.1360;0.0000;44;42;0.0720;-0.0056;0.0018;-0.0059;-0.0010;0.0000;0.1969;0.1425
45.5;0.0746;0.0723;0.1200;0.0000;44;40;-0.0061;-0.0070;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.0545
46.0;0.0755;0.0733;0.1310;0.0000;44;40;-0.0061;-0.0070;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.1770
46.5;0.0774;0.0742;0.1205;0.0000;42;40;-0.0061;-0.0085;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.0765
47.0;0.0778;0.0751;0.1310;0.0000;44;40;-0.0061;-0.0070;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.1745
47.5;0.0792;0.0765;0.1285;0.0000;44;40;-0.0061;-0.0085;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.1185
48.0;0.0806;0.0774;0.1180;0.0000;42;40;0.0720;-0.0085;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.0765
48.5;0.0810;0.0783;0.1165;0.0000;44;40;-0.0061;-0.0070;0.0003;-0.0059;-0.0010;0.0000;0.1969;0.1110
49.0;0.0824;0.0792;0.1100;0.0000;44;40;-0.0061;-0.0085;0.0003;-0.0049;-0.0010;0.0000;0.1969;0.0840
49.5;0.0833;0.0801;0.1150;0.0000;44;40;-0.0842;-0.0085;0.0003;-0.0049;-0.0010;0.0000;0.1969;0.1355
50.0;0.0842;0.0810;0.1075;0.0000;44;40;0.0720;-0.0085;0.0003;-0.0049;-0.0010;0.0000;0.1969;0.0765
50.5;0.0847;0.0824;0.1155;0.0000;44;42;-0.0061;-0.0070;0.0003;-0.0049;-0.0010;0.0000;0.1969;0.1475
51.0;0.0856;0.0833;0.1055;0.0000;44;42;-0.0061;-0.0070;0.0003;-0.0049;-0.0020;0.0000;0.1969;0.0645
51.5;0.0865;0.0842;0.1155;0.0000;44;42;0.0720;-0.0070;0.0003;-0.0049;-0.0020;0.0000;0.1969;0.1575
52.0;0.0875;0.0852;0.1035;0.0000;44;42;-0.0842;-0.0056;0.0003;-0.0049;-0.0020;0.0000;0.1969;0.0545
52.5;0.0888;0.0861;0.1115;0.0000;44;42;-0.0061;-0.0070;0.0003;-0.0049;-0.0020;0.0000;0.1969;0.1425
53.0;0.0893;0.0875;0.0960;0.0000;44;42;-0.0037;-0.0056;0.0003;-0.0049;-0.0020;0.0000;0.1969;0.0350
53.5;0.0897;0.0884;0.0790;0.0000;44;44;0.0745;-0.0056;0.0003;-0.0039;-0.0020;0.0000;0.1969;0.0110
54.0;0.0911;0.0893;0.0620;0.0000;44;44;-0.0037;-0.0056;0.0003;-0.0029;-0.0020;0.0000;0.1969;-0.0065
54.5;0.0925;0.0902;0.0315;0.0000;44;44;-0.0794;-0.0056;0.0003;-0.0020;-0.0020;0.0000;0.1969;-0.0895
55.0;0.0929;0.0911;0.0190;0.0000;44;44;0.0769;-0.0056;0.0003;-0.0010;-0.0020;0.0000;0.1969;-0.0310
55.5;0.0934;0.0925;-0.0115;0.0000;44;46;-0.0012;-0.0026;0.0003;-0.0000;-0.0020;0.0000;0.1969;-0.1335
56.0;0.0934;0.0934;-0.0260;0.0000;44;46;0.0769;-0.0012;0.0003;0.0010;-0.0020;0.0000;0.1969;-0.0845
56.5;0.0939;0.0943;-0.0535;0.0000;46;48;-0.0769;0.0003;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.1625
57.0;0.0939;0.0952;-0.0620;0.0000;46;48;0.0794;0.0018;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0970
57.5;0.0939;0.0962;-0.0810;0.0000;48;50;0.0012;0.0062;0.0003;0.0029;-0.0020;0.0000;0.1969;-0.1580
58.0;0.0943;0.0971;-0.0790;0.0000;48;50;0.0012;0.0062;0.0003;0.0029;-0.0020;0.0000;0.1969;-0.0700
58.5;0.0948;0.0984;-0.0695;0.0000;48;50;0.0794;0.0076;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0310
59.0;0.0948;0.0994;-0.0705;0.0000;48;50;0.0012;0.0105;0.0003;0.0029;-0.0020;0.0000;0.1969;-0.0750
59.5;0.0952;0.1003;-0.0600;0.0000;50;52;0.0012;0.0120;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0185
60.0;0.0952;0.1012;-0.0605;0.0000;50;52;0.0012;0.0149;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0625
60.5;0.0962;0.1021;-0.0555;0.0000;50;52;0.0012;0.0149;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0355
61.0;0.0966;0.1035;-0.0625;0.0000;50;52;-0.0769;0.0149;0.0003;0.0020;-0.0020;0.0000;0.1969;-0.0895
61.5;0.0971;0.1044;-0.0595;0.0000;50;52;0.0794;0.0164;0.0003;0.0020;-0.0010;0.0000;0.1969;-0.0480
62.0;0.0984;0.1053;-0.0655;0.0000;50;52;0.0012;0.0164;0.0018;0.0020;-0.0010;0.0000;0.1969;-0.0895
62.5;0.0989;0.1062;-0.0755;0.0000;50;52;0.0012;0.0179;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.1165
63.0;0.0998;0.1071;-0.0780;0.0000;50;52;0.0012;0.0179;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.0870
63.5;0.1012;0.1081;-0.0815;0.0000;50;52;0.0012;0.0179;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.0970
64.0;0.1021;0.1094;-0.0770;0.0000;50;52;-0.0769;0.0164;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.0575
64.5;0.1030;0.1103;-0.0875;0.0000;50;52;0.0794;0.0179;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.1310
65.0;0.1044;0.1113;-0.0950;0.0000;50;52;0.0012;0.0164;0.0018;0.0039;-0.0010;0.0000;0.1969;-0.1235
65.5;0.1053;0.1122;-0.1055;0.0000;50;50;-0.0769;0.0164;0.0018;0.0039;-0.0010;0.0000;0.1969;-0.1480
66.0;0.1058;0.1131;-0.1000;0.0000;50;52;0.0794;0.0179;0.0018;0.0039;-0.0010;0.0000;0.1969;-0.0770
66.5;0.1062;0.1145;-0.1070;0.0000;50;52;0.0818;0.0193;0.0018;0.0039;-0.0010;0.0000;0.1969;-0.1360
67.0;0.1071;0.1154;-0.0930;0.0000;50;52;0.0012;0.0193;0.0018;0.0029;-0.0010;0.0000;0.1969;-0.0355
67.5;0.1081;0.1163;-0.0865;0.0000;50;52;-0.0769;0.0193;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.0625
68.0;0.1085;0.1172;-0.0930;0.0000;50;52;0.0794;0.0208;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.1185
68.5;0.1099;0.1181;-0.0870;0.0000;50;52;0.0012;0.0208;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.0625
69.0;0.1113;0.1190;-0.0900;0.0000;50;52;0.0012;0.0193;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.1015
69.5;0.1122;0.1204;-0.0905;0.0000;50;52;-0.0769;0.0193;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.0920
70.0;0.1136;0.1213;-0.0955;0.0000;50;52;0.0012;0.0193;0.0018;0.0039;-0.0010;0.0000;0.2047;-0.1165
70.5;0.1145;0.1223;-0.0930;0.0000;50;52;0.0794;0.0193;0.0018;0.0029;-0.0010;0.0000;0.2047;-0.0820
71.0;0.1154;0.1232;-0.1095;0.0000;50;52;0.0037;0.0179;0.0018;0.0039;-0.0010;0.0000;0.2047;-0.1750
71.5;0.1172;0.1241;-0.1070;0.0000;50;52;0.0037;0.0179;0.0032;0.0039;-0.0010;0.0000;0.2047;-0.0970
72.0;0.1186;0.1255;-0.1110;0.0000;48;52;0.0037;0.0164;0.0032;0.0039;-0.0010;0.0000;0.2047;-0.1285
72.5;0.1204;0.1264;-0.0975;0.0000;48;50;0.0012;0.0135;0.0032;0.0039;-0.0010;0.0000;0.2047;-0.0430
73.0;0.1209;0.1273;-0.0880;0.0000;48;50;0.0012;0.0149;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0505
73.5;0.1223;0.1282;-0.0915;0.0000;50;50;-0.0769;0.0135;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.1040
74.0;0.1227;0.1291;-0.0800;0.0000;50;50;0.0012;0.0149;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0355
74.5;0.1236;0.1305;-0.0750;0.0000;50;52;0.0012;0.0164;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0550
75.0;0.1245;0.1314;-0.0660;0.0000;50;52;0.0012;0.0164;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.0285
75.5;0.1259;0.1323;-0.0630;0.0000;50;52;0.0012;0.0149;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.0530
76.0;0.1273;0.1332;-0.0620;0.0000;50;50;0.0012;0.0135;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.0575
76.5;0.1291;0.1342;-0.0545;0.0000;50;50;0.0012;0.0120;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.0235
77.0;0.1305;0.1351;-0.0645;0.0000;50;50;0.0012;0.0105;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.1040
77.5;0.1319;0.1364;-0.0685;0.0000;48;50;0.0012;0.0091;0.0032;0.0020;-0.0010;0.0000;0.2047;-0.0845
78.0;0.1337;0.1374;-0.0710;0.0000;48;50;0.0012;0.0076;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0820
78.5;0.1351;0.1383;-0.0710;0.0000;48;48;0.0012;0.0062;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0700
79.0;0.1369;0.1392;-0.0840;0.0000;48;48;0.0012;0.0047;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.1360
79.5;0.1383;0.1401;-0.0825;0.0000;46;48;0.0012;0.0047;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0770
80.0;0.1397;0.1415;-0.0850;0.0000;46;48;0.0012;0.0032;0.0032;0.0029;-0.0010;0.0000;0.2047;-0.0945
80.5;0.1410;0.1424;-0.0670;0.0000;46;48;0.0012;0.0018;0.0032;0.0020;-0.0010;0.0000;0.2047;0.0035
81.0;0.1429;0.1433;-0.0500;0.0000;46;48;0.0012;0.0003;0.0032;0.0020;-0.0010;0.0000;0.2047;0.0180
81.5;0.1442;0.1442;-0.0405;0.0000;46;48;0.0012;0.0003;0.0032;0.0010;-0.0010;0.0000;0.2047;-0.0015
82.0;0.1456;0.1451;-0.0315;0.0000;46;48;-0.0012;-0.0012;0.0032;0.0010;-0.0010;0.0000;0.2047;0.0035
82.5;0.1465;0.1461;-0.0260;0.0000;46;46;-0.0012;-0.0012;0.0032;0.0010;-0.0010;0.0000;0.2047;-0.0040
83.0;0.1479;0.1474;-0.0140;0.0000;46;46;-0.0012;-0.0026;0.0032;-0.0000;-0.0010;0.0000;0.2047;0.0350
83.5;0.1493;0.1484;-0.0090;0.0000;46;46;-0.0012;-0.0026;0.0032;-0.0000;-0.0010;0.0000;0.2047;0.0110
84.0;0.1502;0.1493;0.0045;0.0000;48;46;-0.0012;-0.0041;0.0032;-0.0010;-0.0010;0.0000;0.2047;0.0570
84.5;0.1516;0.1502;-0.0015;0.0000;48;48;-0.0012;-0.0041;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0235
85.0;0.1525;0.1511;-0.0045;0.0000;48;48;-0.0012;-0.0041;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0185
85.5;0.1538;0.1525;-0.0100;0.0000;48;48;-0.0012;-0.0041;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0310
86.0;0.1548;0.1534;-0.0080;0.0000;48;48;-0.0012;-0.0041;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0015
86.5;0.1557;0.1543;-0.0045;0.0000;48;48;-0.0012;-0.0041;0.0032;-0.0000;-0.0010;0.0000;0.2047;0.0110
87.0;0.1575;0.1552;-0.0080;0.0000;48;46;-0.0794;-0.0070;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0210
87.5;0.1584;0.1561;-0.0080;0.0000;48;48;0.0769;-0.0056;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0090
88.0;0.1598;0.1571;-0.0095;0.0000;48;48;-0.0794;-0.0070;0.0032;-0.0000;-0.0010;0.0000;0.2047;-0.0160
88.5;0.1616;0.1584;0.0055;0.0000;46;46;0.0769;-0.0100;0.0032;-0.0010;-0.0010;0.0000;0.2047;0.0670
89.0;0.1635;0.1593;0.0175;0.0000;46;46;-0.0012;-0.0114;0.0032;-0.0010;-0.0010;0.0000;0.2047;0.0645
89.5;0.1648;0.1603;0.0375;0.0000;46;46;-0.0037;-0.0114;0.0032;-0.0020;-0.0010;0.0000;0.2047;0.1185
90.0;0.1658;0.1612;0.0360;0.0000;46;46;-0.0037;-0.0114;0.0032;-0.0020;-0.0010;0.0000;0.2047;0.0305
90.5;0.1667;0.1621;0.0240;0.0000;46;46;-0.0012;-0.0114;0.0032;-0.0020;-0.0010;0.0000;0.2047;-0.0235
91.0;0.1676;0.1635;0.0200;0.0000;46;46;-0.0012;-0.0114;0.0032;-0.0010;-0.0010;0.0000;0.2047;0.0035
91.5;0.1690;0.1644;0.0045;0.0000;46;46;0.0769;-0.0129;0.0032;-0.0010;-0.0010;0.0000;0.2047;-0.0575
92.0;0.1703;0.1653;0.0030;0.0000;46;46;-0.0012;-0.0129;0.0032;-0.0010;-0.0010;0.0000;0.2047;-0.0040
